I brought ... and gave ... where ... 	Babylon, my capital city, they saw my ... and ... their ... 
I raged up like a lion, then put on armor (and) placed a helmet suitable for combat on my head. (v 15') In my anger, I rode quickly in my exalted battle chariot, which lays enemies low. I took in my hand the mighty bow that the god Aššur had granted to me (and) I grasped in my hand an arrow that cuts off life.	... I raged up like a ferocious ... , and (then) put on armor (and) placed a helmet suitable for combat on my head. In my anger, I rode quickly in my exalted battle chariot, which lays enemies low. I took in my hands the mighty bow that the god Aššur had granted to me ... my chariot on (their) flanks and front lines ... 
When they came ... 	of the campaign ... 
As for the one who removes my inscriptions and my name: May the goddess Ištar, my mistress, break his weapon (and) hand him over to his enemies.	As for the one who removes my inscriptions and my name: May the god Aššur, my lord, overthrow his sovereignty (and) destroy his name (and) his seed from the land.
the woman (... )kabuttu	Witness Urda-Issar, son of the woman ... 
We shall see ... 	... and shall send ... 
The 'path' and 'well-being' are present ... 	... The 'station' is present. The 'path' is present. The 'strength' and 'well-being' are present. In the left side of the gall bladder a 'foot'-mark is overturned ... 
... of the Review Palace.	Witness Rapi', 'third man' of the palace.
Hana-Si, shepherd;	1 male sheep, 1 lamb — of Nabû-deni-epuš, the chief shepherd;
... , the Sun-image, ... ,	... , the ... day, eponymy of Nabû-šar-aḫḫēšu, governor of the land Samaria (645).
May Adad, canal inspector of heaven and earth, ... so that whatever is therein cannot rise ... 	The god Aššur, the great mountain, father of the gods, the one who decrees fates, ... , who deliberates (only) with himself; the gods Anu, Enlil, (and) Ea, ... the designs of heaven and earth, who designates ... ; the god Sîn (... ), the one who constantly renews himself, the pure god whose signs are inscrutable, ... , (5) the one who makes decisions, the one who makes astrological signs known; the god Šamaš, ... , great judge of the great gods, whose lordly splendor overwhelms all of the lands everywhere; the god Adad, canal inspector of heaven (and) earth, ... , the one who brings barley and flax into being, who makes sattukku-offerings abundant, ... ; the god Šamaš, his signs, without whom ... (10) (and) no ruler is named; the god Nabû, ... of heaven and earth, controller of harmony, ... ; the god Ninurta, heir of the god Enlil, ... the one who breaks up mountains ... ; the goddess Ištar, ... for her great divinity, ... ; (and) the Sebetti, (15) the supreme gods who stand at the side of the king who reveres them and make his weapons prevail over all enemies:
2 cuts of shoulder of an ox  of the temple of Dagan, of the chief treasurer;	7 (cuts of) meat of an ox, of the temple of Dagan — of the commander-in-chief.
... beet-like carnelian	1 piece of beet-like carnelian for 1.
Month Iyyar (II), 14th day, eponym year of Upaq-ana-Arbail.	Month Elul (VI), 18th day, eponym year of Bel-na'id, commander-in-chief.
before the (king) of Hamath ... 	If the day on the west side becomes covered with clouds: it shows famine for the king of the West.
... with them to ... 	... whom the king ... 
NN, gardener, his wife.	NN, gardener, x persons ... ;
Esarhaddon, king of the world, king of Assyria; son of Sennacherib, king of the world (and) king of Assyria; the one who (re)constructed the temple of the god Aššur, (re)built Esagil (5) and Babylon, ... , restored  the shrines of cult centers, completed the rites and ... , (10) (and) (re)confirmed the sattukku offerings ... of the great gods, am I.	I, Aššur-etel-ilāni-mukīn-apli, king of the world, king of Assyria, son of Sennacherib, king of the world (and) king of Assyria, descendant of Sargon (II), king of the world (and) king of Assyria; the one who (re)constructed the temple of the god Aššur, (5) (re)built Esagil and Babylon, restored the shrines of cult centers, completed the rites, (and) (re)confirmed the offerings of the great gods; I am also the one who knows how to greatly revere the gods and goddesses of heaven and netherworld.
a king who before ... 	 before the kings ... 
Nirgî             	Marduk-bani-zeri             
... of the royal road ... 	... the kings, my descendants, ... the people ... the great gods ... 
A tablet of Nabû-ila'i to Puṭiširi. Good health to my brother! May Nabû and Marduk bless my brother.	To the king, my lord: your servant Nabû-šumu-ka''in, the scribe. Good health to the king, my lord! May Nabû and Marduk bless my lord.
Remanni-Adad, chariot driver of the king, has contracted and bought him from Mušezib-Marduk for 1 1/2 minas (of silver) by the (mina) of the king.	Remanni-Adad, chief chariot driver of Assurbanipal, king of Assyria, has contracted and bought it for 10 minas of silver by the (mina) of Carchemish from Bel-šarru-uṣur, Nabû'a and Aššur-ši'i.
x+1 ditto-garment, ditto, the front ... 	... ditto, ditto, the front red, of the port; 4 ... ;
tribute of the month of ... 	Tribute of Adinu, the man of Bīt-Dakkuri, the Chaldean.
Witness Kiṣir-Aššur, ditto.	Witness Silim-Aššur, grand vizier.
Witness Nabû-kenu-balliṭ.	Witness Ikkaru. Witness Nabû-le'i.
... they have given me	... they removed again
In order to be able to draw water by bucket every day, I had bronze wire chains and bronze cables made and, instead of poles, I had tree trunks and date palm(s) of copper placed over wells.	In order to be able to draw water by bucket every day, I had bronze wire chains and bronze cables made and, instead of poles, I had tree trunks together with date palm(s) of copper placed over wells.
Tarhundapî has contracted and bought him for 32 shekels of silver.	Šulmu-šarri, ... has contracted and bought it for 1/2 mina of silver ... 
Ditto by all the gods of Sumer and Akkad!	I, Sîn-šarra-iškun, great king, strong king, king of the world, king of Assyria; son of Ashurbanipal, king of the world, king of Assyria; son of Esarhaddon, king of the world, king of Assyria; (5) son of Sennacherib, king of the world, king of Assyria; descendant of Sargon (II), king of the world, king of Assyria, governor of Babylon, king of the land of Sumer and Akkad: 
The Lady of Babylon, who has black wool on her back and red wool on her front, ... The red wool on her front is the blood of the heart which was shed.	The Lady of Babylon who has black wool on her back and red wool on her front ... : the red wool on her front is blood of the heart which was shed ... 
1 hectare in a meadow adjoining the fields of Addî and Šamaš-iqiša;	6 decares of land adjoining the road to Kar-Issar and the fields of Addî and Šamaš-iqiša;
6 temple stewardesses ... ;	Letter of the temple steward to the temple steward.
I together with ... 	1,514 (items): heavy (and) light copper spears, heavy copper spear-heads, copper purṭû-objects, copper kutāḫu-lances, together with their copper bases;
(Property) of Bēl-... , the ša rēši of the king.	(Property) of Šamaš-mukīn-aḫi, son of Šamaš-nāṣir, the ša rēši of the king.
... resting place	Concerning ... from Tabal and Que about whom they wrote to me  from the Palace - let Aššur, Bel (and) Nabû come into the presence of the king as soon as they lay their ... in Ṭurušpâ and their ... s from ... are visiting  the crown prince in Assyria.
Witness Na'nu, ... 	Witness NN, chariot driver.
... as on the first day	... as they sent Hullî back and as they saw ... 
2 (cuts of) salted meat,	1 (cut of) meat, 1 sheep — the crown prince;
220, the cupbearer(s).	Total 5 litres of honey: the cupbearer ... 
Palace of Sennacherib, king of Assyria. Whoever erases my inscribed name (or) places (it) in the service of a god (or another) person, may the deities ... , Šamaš, Adad, ... , (and) Nergal make his name (and) his seed disappear. Booty of the city Dumetu.	Palace of Sennacherib, king of Assyria: (This is) the audience gift that Karib-il, king of the land Saba, ... I was having (it) incised. Whoever erases my inscribed name (or) places (it) in the service of a god (or another) person, may ... make his name (and) his seed disappear.
To the 'farmer,' my lord: your servant Nabû-naṣir. May Nabû and Marduk bless the 'farmer', my lord!	To the king of the world, my lord: your servant Nabû-iqbi. May Nabû and Marduk bless the king of the world, my lord!
Witness Ahu-lamur, horse trainer.	Witness NN, horse trainer of the crown prince.
... your chosen name ... 	... you have not ... of the king
(... ) should ask (... ) the elders of his land: “Is it true that Šamaš-rēša-uṣur, governor of the land of Sūḫu and the land of Mari, accomplished these tasks?”	I inflicted this defeat by the power of the gods Šamaš and Marduk, Adad and Apla-Adad, the great gods, my lords. Anyone in the future who comes forward and should ask the elders of his land and the elders of the land of Laqû: “Is it true that Ninurta-<kudu>rrī-uṣur, governor of the land of Sūḫu and the land of Mari, 
... in the city Zikkû —	... in the district of the town Balihu ... 
Without the king ... 	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
27 ... ;	Witness ... 
Witness Iqbi-ilu, ... 	Witness Azi-il, scribe.
x, Babylon;	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
5 shekels, for ... 	of the king ... one shekel of it ... They have weighed it in my presence but have not yet received it. 
Of NN ... 	Witness Ubru-Issar, servant of ... 
x, Enuma Anu Enlil,	x one-column tablets, Enuma Anu Enlil,
Sennacherib, king of the world, king of Assyria, the one who fashioned image(s) of the deities Aššur, Anu, Sîn, Šamaš, Adad, Nergal, Ištar of Bīt-Kidmuri, Bēlet-ilī, and the (other) great gods, I: With white limestone, I laid the foundation(s) of the akītu-house, the residence of (the god) Aššur, my lord.	Sennacherib, great king, strong king, king of the world, king of Assyria, king of the four quarters (of the world), leader of a widespread population, the one who fashioned image(s) of the deities Aššur, Anu, Sîn, Šamaš, Adad, Nergal, Ištar of Bīt-Kidmuru, Bēlet-ilī, and the (other) great gods, the one who carries out to perfection the rites of Ešarra and Emašmaš, who knows well how to revere the gods of heaven and the gods of Assyria, the builder of Assyria, the one who brings his cult centers to completion, the one who uproots enemies (and) destroys their settlements, circumspect ruler whose dominion is more praised than (that of all) kings who sit on (royal) daises, the support of his land, the one who is trustworthy in battle and combat, (and) the protection of his troops, I:
2 minas 23 1/3 shekels, NN,	3 minas 30 shekels of silver by the mina of Carchemish, belonging to Silim-Aššur, at the disposal of Marduk-eriba.
There are 5 Hatalleans,	There are 5 unfavorable omens in the extispicy.
Riba-Adad is the guarantor.	... -iddina is the guarantor.
To the king, my lord: your servant Ubru-Libbali. Good health to  the king, my lord!	To the king, my lord: your servant Mar-Issar. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord! May the great gods bestow lasting days, well-being and joy upon the king, my lord!
... entered and	... two bull colossi of white limestone ... the gate of that watercourse, I had erected... the strong wave and wild tide that rise up and ... canal(s), dike(s), and irrigation ditch(es) eroded their bank(s) and ... when there was breach, harvests were submerged ... I had magnificent ... s of iron made and ... the outflow of water ... when its flood was in full spate ... 
... I set a eunuch of mine as provincial governor over them and considered them as people of Assyria ... 	I conquered the lands Ulluba (and) Ḫabḫu, which (are located) behind Mount Nal, in their entirety (and) annexed (them) to Assyria. I set up my royal image on (the face of) Mount Ilimeru. I built a city in the land Ulluba (and) I named it Aššur-iqīša. I brought the people of (foreign) lands conquered by me therein (and) placed a eunuch of mine as provincial governor over them... I conquered the cities at the foot of the mountain ridge ... 
Witness Aqaba. Witness Ba... 	Witness Ahû'a-eriba. Witness Šamaš-nammir, merchant.
... -Adad, chariot owner;	Remanni-Issar, chariot owner;
Ashur-natkil.	Ashurnasirpal, great king, strong king, king of the world, king of Assyria, son of Tukultī-Ninurta (II), great king, strong king, king of the world, king of Assyria, son of Adad-nārārī (II) (who was) also great king, strong king, king of the world, king of Assyria; valiant man who
... without ... I utterly demolished ... of sixteen districts of the land Bīt-Ḫumria (Israel). I carried off (to Assyria) ... captives from ... , (5') 226 captives from ... , ... captives from ... , 400 (and ... ) captives from ... , 656 captives from the city Sa... , ... (altogether) 13,520 people, ... , (10') with their belongings. I ... the cities Arumâ (and) Marum, (... ) which are situated in rugged mountains.	... I enveloped him like a (dense) fog ... I utterly demolished ... of sixteen districts of the land Bīt-Ḫumria (Israel). I carried off (to Assyria) ... captives from the city ... barâ, 625 captives from the city ... a... , ... (5') ... captives from the city Ḫinatuna, 650 captives from the city Ku... , ... captives from the city Yaṭbite, 656 captives from the city Sa... , ... , with their belongings. I ... the cities Arumâ (and) Marum ... 
Whoever, in the future, at any time, whether Addî, or his sons (or) relatives, seeks and starts a lawsuit or litigation (against) Nabû-šarru-uṣur, shall return the money tenfold to its owner. He shall contest in his lawsuit and not succeed.	Whoever in the future, at any time, lodges a complaint, whether Uquwa or Ahu'a-eriba, or their sons, grandsons, brothers or nephews, or any relative of theirs, or their prefect, and seeks a lawsuit or litigation against Inurta-ila'i, his brothers and nephews, shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
... containing ... 	Just as I saw, ... in ... 
I surrounded, conquered, (and) plundered the city Ataun... 	He, Maniye, saw the dust cloud (stirred up) by the feet of my troops, then he abandoned the city Ukku, his royal city, and fled afar. I surrounded, conquered, (and) plundered the city Ukku. I brought out of it every kind of possession (and) property, the treasures of his palace, and I counted (it) as booty.
... from its owner ... 	... someone ... which surrounded ... did not surround ... 
... anniya	... and shall send ... 
... the torch in ... 	... whom the king ... 
“Let me pray to the ... wild bull of heaven and earth,” an eršahunga-psalm to Ea.	“A ... to whom evil has been done weeps at your feet,” an eršahunga-psalm to Ea. “Let me pray to the ... wild bull of heaven and earth,” an eršahunga-psalm to ditto.
Witness Banî, ... 	Witness Luteah... 
the king should send ... 	and who ... ed the kingship ... 
1/2 shekel of thyme;	1 sheep of the temple;
and brought to me ... 	I carried off their people and brought (them) to my land ... 
The bird which they sent to the king, may my lord not eat it!	O king, my lord, concerning (this), in all the letters which I have sent to the king, my lord, there is just this one matter. I have been shamed. On account of the words that I have spoken ... , instead of Aššur-zeru-ibni ... , I have butted Marduk-išmanni ... 
in all 100+x tablets,	31 talents of twine of linen; 80 talents of red wool, of the country; 07 talents of black (wool), of the country, 30 talents of alum, 10 talents of natron. In all, 158 talents.
... tax-exempt field	an estate of 8 hectares (with) x wells, adjoining the wadi, the side road to Yaranu, and the exempt field of the land of Zarutî;
To the king, my lord: your servant Ila'i-Bel. Good health to the king, my lord!	To the king, my lord: your servant Atanha-Šamaš. Good health to the king, my lord!
... we got scared	... he escaped ... in fear.
whether there is ... 	... the god Aššur, my lord, encouraged me and I marched to the land Judah. In the course of my campaign, I received a payment from the kings of ... With the strength of (the god) Aššur, my lord, I ... the district of ... -Yaū (Hezekiah) of the land Judah like ... (5') ... the city Azaqâ, a place upon which he relied, which (is situated) between my ... and the land Judah, ... is situated upon a mountain peak. Like the blade(s) of daggers, without number, they rise up high into the heavens ... were well fortified and rival high mountains. Looking upon (them), like ... from the heavens ... 
Witness Nabû-ahhe-eriba, scribe, keeper of the tablet.	Witness Nabû-eṭir-napšati, scribe, keeper of the tablet.
“The heaped-up lofty hand”: the Gate of Their Prudence.	the city of Aššur, the city wall, the outer wall, the gate of Aššur (and) the brazier of Aššur, the gate of Šamaš (and) the brazier of Šamaš, the gate of Ištar (and) the brazier of Ištar, the Gate of People broken ... , the Gate of Sheep and Goats (and) ... , the Gate of Their Prudence ... , ... ; 
Near Nineveh, in the territory of the city Balāṭāya, by divine will, white limestone was discovered in abundance, and (then) I created bull colossi (and) sphinxes of alabaster, and slabs of alabaster, as well as magnificent slabs of breccia. I cut (them) free on both sides from their mountains, and (then), for the construction of my palace, I had (them) dragged into Nineveh.	Near Nineveh, in the territory of the city Balāṭāya, by divine will, white limestone was discovered in abundance, and (then) I created bull colossi of alabaster that are sculpted from a single stone, (whose) proportions are skillfully made; sphinxes of alabaster whose features are exquisite (and) whose bodies shine like a brilliant day; (and) magnificent slabs of breccia... 
When I was in the town Ur... ,	x vineyards in the town of Bu... ,
Šamaš will ... the king the area ... 	They bar the city gate ... , and ... the king in the rikshaw ... 
You perform a sheep offering before the Igigi gods and before the bed, make a flour/incense-offering, pour oil, honey, beer and wine, and sing, “... ”	You offer fatty tissue and roast meat before Belet-ili, make a flour/incense-offering, pour oil, honey, beer and wine, ... oil, and sing, “O Belet-ili, you sit in the assembly of the Great Gods.”
1 piece of baltu-stone for 1.	1 piece of jasper for 3 gems.
have not ... ;	... the god Aššur, my lord, encouraged me and I marched to the land Judah. In the course of my campaign, I received a payment from the kings of ... With the strength of (the god) Aššur, my lord, I ... the district of ... -Yaū (Hezekiah) of the land Judah like ... (5') ... the city Azaqâ, a place upon which he relied, which (is situated) between my ... and the land Judah, ... is situated upon a mountain peak. Like the blade(s) of daggers, without number, they rise up high into the heavens ... were well fortified and rival high mountains. Looking upon (them), like ... from the heavens ... 
The king, my lord, should ask Balassu: he is familiar with the work.	The king, my lord, should ask them where they buy these valuables, where they sell them, who receives them from their hands, and who lets them pass (the border).
In the future may a later prince, when that site becomes old and dilapidated, repair it. May he restore my monumental inscription (and) my inscribed name to its place. (Then) the god Aššur will listen to his prayers.	In the future may a later prince, when that palace becomes old and dilapidated, restore it. May he anoint with oil my monumental inscription, make sacrifices, (and) return (it) to its place. (Then) the gods Aššur and Adad will listen to his prayers.
... shekels, their silver.	of 2 1/2 minas 3 shekels of silver.
Concerning the wall of the Nergal temple of Cutha about which I wrote to the king, my lord: 	Concerning the application of the ṣillibānu-treatment about which the king, my lord, said: "It is very hot" — 
total, 5 horse trainers of the king's chariots.	Witness Mannu-ki-Harran, horse trainer of the open chariotry.
A tablet of NN to my brother NN. I am well; good health to my brother!	A tablet of Umman-abba to his brother, Aplaya. Good health to my brother! May I hear news of you and your health!
Qurdi-Mullissu.	To the king, my lord: your servant Ṭab-ṣill-Ešarra. Good health to the king, my lord! May Aššur and Mullissu bless the king, my lord!
Will Esarhaddon, king of Assyria, return alive and set foot on Assyrian soil? Does your great divinity know it?	will they instigate insurrection and rebellion against Esarhaddon, king of Assyria, (or) act with evil intent against him? Does your great divinity know it?
In the course of my campaign, I surrounded, conquered, (and) plundered the cities Amatu, Ḫauae, Supapu, Nuqabu, Bīt-Sannabi, Qudayyin, Kidrina, Dūr-Ladini, Bitāti, (and) Bānītu, the land Guzummānu, the cities Dūr-Yanṣuri, Dūr-Abī-Yataʾ, Dūr-Rudumme, Bīt-Raḫê, Ḫapiša, Sadian, Ḫurudu, Ṣaḫrina, Iltuk, Allallu, Marad, Yaqimuna, Kupruna, Bīt-Kudurri, Sūqa-Marusi, altogether 33 fortified cities, fortresses of the land of the Bīt-Dakkūri, together with 250 small(er) settlements in their environs;	In the course of my campaign, I surrounded, conquered, (and) plundered the cities Amatu, Ḫauae, Supapu, Bīt-Sannabi, Qudayyin, Kidrina, Dūr-Ladini, Bitāti, Bānītu, Guzummānu, Dūr-Yanṣuri, Dūr-Abī-Yataʾ, Dūr-Rudumme, Bīt-Raḫê, Ḫapiša, Sadian, Ḫurudu, Ṣaḫrina, Iltuk, Allallu, Sabḫānu, Kār-Nergal, Apak, Bīt-Dannāya, Bīt-Abdāya, Baḫir, Marirâ, Marad, Yaqimuna, Kupruna, Bīt-Kudurri, Sūqa-Marusi, altogether 34 fortified walled cities of the land of the Bīt-Dakkūri, together with 250 small(er) settlements in their environs;
... bowls ... ,	... tables, ... , one litre of vegetables ... , one litre of ... s, one litre of pears, x (loaves of) huhhurtu-bread, five cuts of mutton, one-fifth of ... meat of fish and birds, candy, fruit. 
... "Otherwise you ... 	Let them ... the corpse ... 
A built house with its beams and doors, ... 	A built house with its beams, one of its doors, the upper story together with an exit, adjoining the house of Ah-abû, adjoining the house of Sunaya, adjoining the house of Hana-huru —
x teams of horses:	I had in harness for the forces of my land more chariots and teams of horses than ever before. To Assyria I added land and to its people I added people. I brought contentment to my people (and) provided them with a secure abode.
Witness Adad-milki-... 	Witness Adad-ereš, from ... 
Witness Puhrati-Issar.	Witness Ubru-Issar, servant of ... 
An estate of 5 decares ... adjoining ... 	an estate of 4 hectares of land adjoining the road which leads from the village of Dannaya to the village of ... , a total of 5 (hectares) adjoining the field of Išmanni-... 
eat bread ... 	... he (Argištu) abandoned his camp (and) with a single horse he disappeared... 
x minas of red wool, 25 minas of black wool ... ;	You ... one mina of iron, one mina of lead, one mina of gold, one mina of silver, one mina of copper, one mina of tin, one mina of anzahhu, one mina of dark-blue wool, one mina of blue wool, one mina of red wool
An estate of 15 hectares of land adjoining the road which leads (from) the village of Dannayato the village of Ildiši and adjoining ... ;	an estate of 4 hectares of land adjoining the road which leads from the village of Dannaya to the village of ... , a total of 5 (hectares) adjoining the field of Išmanni-... 
... to the land A... 	... whom the king ... 
... the land of Halzi	I, Šamaš-rēša-uṣur, governor of the land of Sūḫu and the land of Mari, brought down from the mountain of the people of Ḫabḫu the bees which gather honey — which none from among my forefathers had seen or brought down to the land of Sūḫu — and I established them in the gardens of the town Āl-gabbāri-bānî.
The priest of Aššur ... as far as the house of Dagan.	On the 25th day: “My good shepherd for his ... ,” a lamentation. “Honoured one, lord of the path,” an eršemma-lamentation to Aššur in the house of Dagan after the sheep ofering. “O angry sea” of Marduk, a lamentation. “Let me soothe his heart,” an eršemma-lamentation to Aššur in the house of Dagan.
to Marubištu ... 	I turned around (lit. “I turned the front of my yoke”) and took the road to the land Ellipi. Before my arrival, Ispabāra, their king, abandoned his fortified cities (and) his treasury and fled far away. I overwhelmed all of his wide land like a fog. I surrounded, conquered, destroyed, devastated, (and) burned with fire the cities Marʾubištu (and) Akkuddu, cities of his royal house, together with thirty-four small(er) settlements in their environs.
... the ship ... 	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
... for the second time ... 	... of the land Ḫimme ... against/upon ... his city ... their fortresses, their ... , of the land Ḫimme, I conquered and destroyed/plundered. Men and sheep which, like the stars of heaven, had no number, I carried off. All of their cities, of the land Ḫimme, I conquered and destroyed. I did not leave a single warrior alive. I flayed the men, their city-rulers, ... Over against their numerous cities I built into mounds the corpses of their warriors which I had felled with the sword in the battlefield ... Soldiers, armed troops, ... without number I blinded. (Thus) I achieved vengeance for my land which ... their blood/corpses ... 
... said ... 	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
who to the limit(s) of heaven and netherworld ... 	... Esagil ... heaven and netherworld to ... I irrigated; I ... the great gods of heaven and netherworld, the people ... made bow down to his feet, overwhelmed his enemies, ... 
Witness Abnanu.	Witness Ubru-Issar, servant of ... 
30 talents, Que;	20 talents, the house of the queen;
Seal of Nabû-šallim-ahhe.	Witness Nabû-šallim-ahhe, scribe.
... eats me up ... 	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
Why ... the horses ... ?	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
... he wrote ... 	... wherever he goes ... 
... Now from ... 	Concerning ... from Tabal and Que about whom they wrote to me  from the Palace - let Aššur, Bel (and) Nabû come into the presence of the king as soon as they lay their ... in Ṭurušpâ and their ... s from ... are visiting  the crown prince in Assyria.
Witness Mannu-ki-Aššur, ditto of the prince.	Witness ... su, inspector of the Šamaš Gate. Witness Mannu-ki-Ištar,  ditto of the Tigris Gate.
... Nabû'aya.	... Nabû-mar-šarri-uṣur
On its side ... 	The 'increment' is like a ... 
Nabû-nadin-apli;	Nabû-epuš, the priest of Ea, has stolen property from the temple. He peeled off and removed the golden ... from the  massive (offering) table which is in front of Ištar. Nabû-nadin-apli, the  temple guard, caught him red-handed. 
14 mares.	The king, my lord, told me: "When the emissaries come, Aššur-bessunu should come with them" — if the king, my lord, so orders, he may go and speak with them. Let the king, my lord, write me what his orders are.
Eri... —	whether ... 
... city gate	... into the presence ... 
the Dais of Destinies in the palace ... 	The northern gate is the Ursa Major Gate. Its entrance gate is the Gate of the Dais of Destinies.
Stand by and ... 	... which a king of the past had built and ... its walls — which a former king had restored but did not properly adorn its structure — a long time ago became weak, collapsed, and heavy rains and downpours carried away its walls.
... Ariye	... is present. The left of the gall bladder is attached.
Sargon (II), king of the world, king of Assyria ... a city ... residence ... the deity ... 	I, Sargon (II), king of the world, king of Assyria, built a city in accordance with my heart’s desire and named it Dūr-Šarrukīn. I built inside it a palace that was according to my wishes (and) that had no equal in the four quarters (of the world).
x+20 hectares of land in the town ... 	an estate of 4 hectares of land adjoining the road which leads from the village of Dannaya to the village of ... , a total of 5 (hectares) adjoining the field of Išmanni-... 
of the city Kullania	I had bull colossi and sphinxes of white limestone created and their forms perfected through the craft of the deity Ninkura, in the territory of the city Balāṭāya.
in all 3 farmers; ... 	Total 5 farmers; 1 ... garden, 1 ... 
... to drink blood ... 	water for them to drink ... 
... them ... and	We did not perform the ... we will write to the king, our lord, concerning the final accounting of the ... 
I have blocked ... 	I have sent ... to the king, my lord; the king may act as  it (best) suits the king, my lord.
The palace of Adad-nārārī, overseer, son of Arik-dīn-ili (who was) also overseer: (brick) belonging to the facing (of the quay wall) which fronts onto the River (Tigris).	The palace of Adad-nārārī, king of the universe, son of Arik-dīn-ili, king of Assyria: (brick) belonging to the facing (of the quay wall) at the mouth of the canal of the palace complex.
Concerning the observation of the moon and the sun, here is the relevant interpretation:	Perhaps the king, my lord, will say: "... " Venus is approaching the constellation Cancer; here is the relevant interpretation:
... to Silim-Aššur	72 miscellaneous sheep belonging to Silim-Aššur, at the disposal of Hanṭasanu and Marduk.
south and north.	if the brothers of Gidgidanu working with me, if even one of them has gone out of the city gate of Dur-Šarruken and gone to the south or north, may the king my lord not let me live!
total — Ištar of Bit-Eqi.	1 wooden ... of a chariot, (with) ... s on top — Aššur-... , the priest of Ištar of the Bit Eqi.
he went ... Now ... of	What else? Let these ... s go out too, don't let ... grow ... 
the 23rd day in front of Gula ... ;	The guard of the river ... in front of ... 
Babylon for/to ... ,	... and to Babylon ... 
To the palace scribe, my lord: your servant Nahiši, the ... 	To the king, my lord: your servant NN. Good health to the king, my lord!
... I said: "... to	... Esagil ... heaven and netherworld to ... I irrigated; I ... the great gods of heaven and netherworld, the people ... made bow down to his feet, overwhelmed his enemies, ... 
— The 15th day (means) the Westland and ... 	Sivan (III) means the Westland; the 15th day means the Westland.
An estate of 5 decares of field adjoining Ṭab-Bel, adjoining Susî.	an estate of 4 hectares of land adjoining the road which leads from the village of Dannaya to the village of ... , a total of 5 (hectares) adjoining the field of Išmanni-... 
Witness Hara-Dadi.	Witness Marduk-zeru-ibni, scribe.
Bronchitis;	I conquered strong cities, destroyed strongholds; I ... ed them the ... of Assurnasirpal.
the iron sword ... the gods	(The god) Aššur, the father of the gods, the one who ... , the bridle that controls ... ; the god Anu, the powerful, ... whose ... cannot be altered, ... ; the god Ea, the wise, the lord ... who casts ... down on grassland, ... ; the god Enlil, the greatest lord, the foremost of ... ; the god Sîn, the pure god, the lord of the crown, the one who ... the one who widens ... ; the god Šamaš, the exalted judge, ... ; the god Adad, the canal inspector of heaven and earth, the one who gives ... to the people ... 
Witness Luqu, ... 	Witness Aššur-... 
Now Niya and Hi... have returned ... 	... its site had become too small and not ... my wish ... a small palace for my princely residence ... (5') ... I built (and) completed (it) from its foundations to its parapets ... he returned ... days ... 
The king should know all this!	Mars reached Cancer; the king should know and be circumspect until it goes out.
Concerning what the king, my lord, previously wrote to me ... 	As to what the king, my lord, wrote to me: "When are they going to cast the gate column-bases for the portico of the hilānu palaces?"
32 sheaves — Nuraya	112 sheaves — Urda-Nabû
