...𒅅𒀜𒋫𒍝𒀸𒁉𒀉	... ig at-ta-ṣa ina be₂-et 	I brought ... and gave ... where ... 
𒋗𒌑𒀸𒌋𒅗𒈗𒂗𒅀𒌑𒋛𒁉𒆷𒋙𒈗𒁁𒉌𒇺𒀠𒋙𒀀𒁺𒅋𒌨𒀭𒉌𒌑𒋛𒁉𒆷𒋙	šu-u₂ ina UGU LUGAL EN-ia u₂-se-bi-la-šu₂ LUGAL be-li₂ liš-al-šu₂ a-du il-lik-an-ni u₂-se-bi-la-šu₂ 	I am sending him (= the tracker) to the king, my lord. The king, my lord,  may ask him. I sent him as soon as he had come back.
𒐐𒀀𒀭𒋾𒅅𒉿𒈦𒃷𒅆𒆤𒋾𒋙𒉿𒋾𒅅𒌓𒀊𒋾𒅅𒌓𒆷𒀀𒌑𒂷𒇷𒀸𒌗𒄭𒂵𒌓𒈨𒊺𒈨𒂊𒍢𒅕𒌓𒇷𒂊𒋙𒀀𒌓𒀳𒋙𒀜𒁲𒌑𒆥𒈜𒈾𒊍𒋢𒀸𒁉𒊕𒃾𒅗𒋃𒅗𒋙𒀊𒇻𒌌𒄠𒄩𒍝𒊩𒆷𒅈𒋙𒆷𒁉𒅔𒋞𒄭𒀀𒋙𒍝𒁉𒇻𒁾𒋝𒆠𒋙𒀸𒂊𒇷𒇷𒉌𒄖𒌓𒌑𒁄𒌓𒌝𒋙𒀸𒄾𒈨𒌍𒊑𒃻𒀀𒋾𒌌𒌅𒀳𒋙𒀀𒁲𒃮𒁳𒁉𒂊𒋙𒅈𒍦𒂊𒇷𒊭𒈗𒈨𒌍𒀜𒈨𒌍𒅀𒋗𒁁𒋢𒌑𒊐𒄫𒌑𒊬𒊑𒄩𒅁𒊺𒋾𒋙	50.AM₃ ti-ik-pi maš-kan₂ ši-kit-ti-šu₂ pi-ti-iq-tu₂ ap-ti-iq tam-la-a u₂-mal-li ina ITI DUG₃.GA u₄-me še-me-e ṣe-er tam-le-e šu₂-a-tu₂ UŠ₈-šu₂ ad-di u₂-kin lib-na-as-su ina KAŠ.SAG GEŠTIN ka-lak-ka-šu₂ ab-lu-ul am-ha-ṣa šal-la-ar-šu₂ la-bi-in SIG₄.HI.A-šu₂ za-bi-lu tup-šik-ki-šu₂ ina e-le-li ni-gu-tu₂ u₂-bal u₄-um-šu₂ ina HUL₂.MEŠ ri-ša₂-a-ti ul-tu UŠ₈-šu₂ a-di gaba-dib-be₂-e-šu₂ ar-ṣip e-li ša LUGAL.MEŠ AD.MEŠ-ia šu-bat-su u₂-rap-piš u₂-šar-ri-ha ep-še-ti-šu₂ 	On the site of its (original) structure, I fashioned its brickwork fifty courses of brick (high). I filled in the terrace. In a favorable month, (on) an auspicious day, (vi 45) I laid its foundation(s) on that terrace (and thereby) secured its brickwork. I mixed its kalakku-mortar with beer and wine; I blended its šallaru-plaster. Its brick maker(s and) hod carrier(s) spent their days in rejoicing (and) singing. While there were joyous celebrations, I built (it) from its foundation(s) to its crenellations. (vi 50) I made its structure larger (and) its workmanship more splendid than the one of the kings, my ancestors.
𒈫𒈠𒀀𒈾𒀝𒋡𒁀𒉌𒊭𒂵𒈨𒁕𒋼	02 MA a-na aq-qa-ba-ni ša ga-me-da-te 	2 minas for the hind-part of the ... -garments.
𒌌𒄿𒁺𒐌𒈬𒀭𒈾𒀀𒂵𒍦𒋾𒅆𒉡𒂟𒋫𒆪𒃻𒆷𒈗𒂍𒀀𒈾𒀀𒋙𒃻𒋃𒅀𒄷𒌓𒂅𒌑𒀸𒁍𒁀𒀀𒋾𒃻𒃻𒄭𒀀𒄿𒈾𒍦𒋾𒐊𒀀𒈠𒀀𒌅	ul i-du 07 MU.AN.NA a-ga ṣib-ti lem-nu ṣab-ta-ku ša₂ la LUGAL E₂-a na-a-šu₂ NIG₂.ŠID-ia hu-uṭ-ṭu-u₂ ina bu-ba-a-ti ša₂ NINDA-HI.A i-na ṣib-ti-ia₂ a-ma-a-tu 	These seven years I have been held in durance vile. Without the king, they have taken my estate (and) destroyed my property. I am dying of hunger in my imprisonment.
𒀭𒂗𒀭𒉺𒌋𒀭𒌓𒍮𒇷𒂊𒅗𒆠𒄿𒅖𒈬𒌑𒉌𒈗𒋾𒃻𒁕𒊏𒀀𒋫𒁄𒂊𒁍𒁕𒈨𒌍𒀀𒈾𒈗𒁁𒉌𒐊𒀉𒆗𒉡𒅇𒆠𒈠𒍢𒂊𒋫𒀭𒌓𒅆𒆳𒆳𒃮𒁉𒀸𒍢𒂊𒋾𒅗𒉆𒊒𒅇𒀀𒈾𒆪𒀸𒊮𒂊𒂅𒋾𒋼𒀀𒊩𒈨𒈨𒉌𒀀𒁲𒉺𒀭𒈗𒆷𒀀𒌑𒃼𒊐𒀭𒉌𒄩𒁀𒆷𒋫𒅀𒊭𒀀𒈾𒌉𒈗𒌉𒈗𒂗𒐊𒄴𒄯𒌋𒉌𒈗𒁁𒉌𒄑𒋛𒅀𒅖𒁓𒌋𒉌𒈠𒀀𒄭𒉈𒀀𒋼𒋙𒊓𒄩𒊏𒁲𒈾	{d}-EN {d}-PA u {d}-UTU ṣu-le-e-ka ki-i iš-mu-u₂-ni LUGAL-ti ša₂ da-ra-a-ta BALA-e GID₂.DA-MEŠ a-na LUGAL be-li₂-ia₂ it-tan-nu u₃ ki-ma ṣe-e-ta {d}-UTU-ši KUR.KUR gab-bi ina ṣe-e-ti-ka nam-ru u₃ a-na-ku ina ŠA₃ e-ṭu-ti kar-rak me-me-ni a-di pa-an LUGAL la-a u₂-qar-rab-an-ni ha-ba-la-ta-ia ša a-na DUMU—LUGAL DUMU—LUGAL EN-ia₂ ah-hur-u-ni LUGAL be-li₂ is-si-ia iš-pur-u-ni ma-a hi-bil-a-te-šu₂ sa-ha-ra di-na 	Bel, Nabû and Šamaš heard (this) prayer for you, and they gave the king, my lord, an everlasting kingship (and) a long reign. And like sunshine, all the countries are illuminated by your light. But I have been left in darkness; no one brings me before the king. My outstanding debts, because of which I appealed to the crown prince, my lord, and (because of which) the king, my lord, sent (his messenger) with me, saying, "Give his outstanding debts back to him!" —
...𒋙𒀀𒈨𒅇𒄿𒈾𒅗...𒈨𒌍	... šu₂ a-šib u₃ i-na KA ... MEŠ 	... is resident in ... And according to ... 
𒀸𒌗𒆥𒌑𒁄𒆷𒀸𒌷𒅈𒉻𒁕𒀀𒈾𒂗𒉿𒆤𒋼𒂗𒉿𒆤𒋼𒊭𒁹𒀭𒉺𒌆𒌋𒌋𒉽𒄿𒆗o	ina {ITI}-KIN u₂-bal-la ina {URU}-ar-pad-da a-na EN—pi-qit-te EN—pi-qit-te ša {1}-{d}-PA.TUG₂—MAN—PAB i-dan o 	He shall bring in the month Elul (VI) and give (them) to the official of Nusku-šarru-uṣur in Arpadda.
𒁹...𒊭𒋗𒈫𒁹𒍝𒈪...𒁹...𒀪𒀴𒊭𒁹...𒁹...𒄠𒊭𒋗𒈫𒁹𒄯𒈪...𒐈𒁮𒃼𒈨𒌍𒀭𒉡𒌓𒋗𒉡𒅆𒈨𒌍𒅀𒀸𒊮𒆷𒄥𒁍𒉌	{1}-... ša ŠU.2 {1}-za-mi-... {1}-... aʾ ARAD ša {1}-... {1}-... am ša ŠU.2 {1}-har-mi-... 03 {LU₂~v}-DAM.QAR-MEŠ an-nu-tu₂ šu-nu {LU₂~v}-IGI-MEŠ-ia ina ŠA₃ la qur-bu-ni 	NN, a subordinate of Zami... ; ... a', a servant of NN, and ... am, a subordinate of Harmi... — these three merchants are my witnesses; they are not involved.
𒉺𒄢𒌑𒃵𒈥𒀸𒃻𒅗𒊏𒊑𒀭𒈨𒌍𒌒𒉺𒀾𒆠𒄑𒁍𒄿𒁉𒉺𒅁𒇻𒀬𒈨𒌍𒄿𒈾𒆤	pa-gul u₂-gam-mar ina NINDA ka-ra-ri DINGIR-MEŠ up-pa-aš₂ ki-is-pu i-kas₂-sap {UDU}-SISKUR-MEŠ i-na-sah 	He pours out a libation bowl. While bread is being placed (on the table), he treats the gods, performs a funerary offering, and performs sheep offerings.
𒆷𒄿𒊏𒄴𒄷𒊻𒌌𒌅𒁹𒀭𒀝𒈬𒃻𒌦𒅇𒁹𒀭𒌍𒁺𒊑𒋼𒀀𒍢𒐊𒀀𒈾𒈗𒄿𒆪𒇻	la i-ra-ah-hu-uṣ ul-tu {1}-{d}-AG—MU—GAR-un u₃ {1}-{d}-30—du-ri kar-ṣi-ia₂ a-na LUGAL i-ku-lu 	After Nabû-šuma-iškun and Sîn-duri libelled me to the king,
𒀸𒐉𒁄𒈨𒌍𒅀𒀸𒌗𒄞𒌓𒌋𒐈𒆚𒋫𒌷𒉌𒉡𒀀𒀜𒌅𒈲𒀀𒇉𒀀𒋥𒀸𒈪𒇷𒊭𒂊𒋼𒄵𒂕𒁹𒀀𒄷𒉌𒌉𒀀𒁲𒉌𒅈𒋾𒁲𒆳𒅆𒌓𒋥𒆳𒌑𒁀𒀭𒆳𒂊𒊭𒀀𒉺𒀀𒇉𒀀𒋥𒊭𒆠𒈠𒅎𒋛𒀀𒋫𒀭𒂊𒋗𒋡𒇻𒆳𒀀𒈾𒆗𒉡𒋾𒋙𒅖𒆲𒆳𒌑𒁀𒈾𒀜𒆳𒂊𒀀𒋛𒁉𒀝𒋫𒆳𒁹𒀀𒄷𒉌𒀀𒁲𒀭𒈨𒌍𒉌𒋙𒄑𒇀𒈨𒌍𒋙𒀲𒆳𒊏𒈨𒌍𒋙𒌋𒌋𒅆𒈫𒅆𒂟𒈨𒌍𒋙𒀀𒋢𒄩𒋗𒀀𒈾𒌷𒅀𒀸𒋩𒌒𒆷	ina 4 BALA.MEŠ-ia ina {ITI}-GU₄ UD.13.KAM₂ TA {URU}-ni-nu-a at-tu-muš {ID₂}-A.RAD ina mi-li-ša e-te-bir EGIR {m}-a-hu-ni DUMU-a-di-ni ar-ti-di {KUR}-ši-tam-rat {KUR}-u₂-ba-an KUR-e ša a-hat {ID₂}-A.RAD ša ki-ma DUNGU TA AN-e šu-qa-lu-lat a-na dan-nu-ti-šu₂ iš-kun {KUR}-u₂-ba-na-at KUR-e a-si-bi ak-ta-šad {m}-a-hu-ni a-di DINGIR.MEŠ-ni-šu₂ {GIŠ}-GIGIR.MEŠ-šu₂ ANŠE.KUR.RA.MEŠ-šu₂ 20 LIM 2 LIM ERIM.MEŠ-šu₂ a-su-ha-šu a-na URU-ia aš-šur ub-la 	In my fourth regnal year, on the thirteenth day of the month Ayyāru, I moved out from Nineveh (and) crossed the Euphrates in flood in pursuit of Aḫunu, the man of Bīt-Adini. He had made as his stronghold (ii 5) Mount Šītamrat, a mountain peak on the bank of the Euphrates which is suspended from heaven like a cloud. I besieged (and) captured the mountain peak. Aḫunu, together with his gods, his chariots, his horses, (and) 22,000 of his troops I uprooted (and) brought to my city, Aššur. 
𒌑𒋡𒀪𒌑𒂗𒈾𒆠𒄿𒀾𒈬𒌑𒀸𒋗𒈫𒋙𒉡𒀉𒋼𒄴𒅋𒋼𒈨𒋙𒉡𒌓𒀀𒈾𒉿𒉿𒋙𒉡𒀉𒋫𒋃𒆳𒉏𒈠𒆠𒃮𒁉𒉈𒂊𒈨𒅋𒋳𒉌𒍥𒁕𒆜𒈫𒋢𒉡𒄿𒄭𒊒	u₂-qa-ʾu-u₂ en-na ki-i aš₂-mu-u₂ ina ŠU.2-šu₂-nu it-te-eh il-te-me-šu₂-nu-tu₂ a-na pi pi-šu₂-nu it-ta-lak {KUR}-NIM.MA {KI} gab-bi ṭe₃-e-me il-tak-ni ZID₂.DA.KASKAL.2-su-nu i-hi-ru 	Now I have heard that he has relented in their hands (and) listened to them, (and) has gone (and) given orders to the whole of Elam in accordance with their command. They have prepared their travel provisions ... 
𒇽𒋃𒇻𒀬𒀬𒈨𒌍𒄿𒈾𒆤...𒈠𒆷𒄷𒂊𒉺𒀾𒀀𒈾...𒌑𒉺𒊕𒊓𒊑𒌑𒊺𒋳...	{LU₂}-SANGA {UDU}-SISKUR.SISKUR-MEŠ i-na-sah ... ma-la-hu e-pa-aš₂ a-na ... u₂-pa-sak sa-ri u₂-še-taq ... 	The priest performs sheep offerings, ... , does malāhu, ... s to ... , cleans the table, (and) sweeps the room with a broom ... 
𒀀𒈾𒁹𒀭𒉺𒋢𒉽...	a-na {1}-{d}-PA—SU—PAB ... 	to Nabû-tartiba-uṣur
𒀭𒁀𒀠𒊓𒈨𒈨𒀭𒁀𒀠𒈠𒆷𒄀𒂊𒀭𒁀𒀠𒍝𒁍𒉡𒅎𒅆𒉡𒀸𒄑𒈣𒈨𒌍𒆪𒉡𒇻𒆳𒁀𒄑𒈥𒆜𒅆𒈾𒈜𒂅𒌨𒄑𒋻𒆰𒆷𒅆𒈾𒇷𒄑𒋢𒄷𒂊𒁺𒌋𒆗𒉡𒀸𒌓𒁴𒇷𒁕𒁉𒅆𒈾𒌑𒊒𒀀𒄖𒌋𒂊𒇷𒆪𒉡𒇷𒇷𒀀	{d}-ba-al—sa-me-me {d}-ba-al—ma-la-ge-e {d}-ba-al—ṣa-pu-nu TU₁₅ lem-nu ina {GIŠ}-MA₂-MEŠ-ku-nu lu-šat-ba {GIŠ}-mar-kas-ši-na lip-ṭu-ur {GIŠ}-ṭar-kul-la-ši-na li-is-su-hu e-du-u dan-nu ina tam-tim li-ṭa-bi-ši-na šam-ru a-gu-u e-li-ku-nu li-li-a 	May Baal Shamaim Baal Malagê and Baal Saaphon raise an evil wind against your ships to undo their moorings and tear out their mooring pole, may a strong wave sink them in the sea and a violent tide rise against you.
𒌑𒆷𒀀𒀀...𒀸𒌋𒅗𒁹𒆠𒈲𒀸𒋩...	u₂-la-a a-... ina UGU {1}-ki-ṣir—aš-šur ... 	Otherwise, ... to Kiṣir-Aššur.
𒌣𒆬𒄀𒈠𒀀𒆬𒄀𒇻𒋥𒁺𒌦𒈾𒅆	{LU₂~v}-SIMUG.KUG.GI ma-a KUG.GI lu-rad-du-un-na-ši 	The goldsmiths say they need more gold.
𒌉𒆍𒀭𒊏𒆠𒌉𒆍𒀭𒊏𒆠𒋗𒌋𒀸𒌋𒅗𒄭𒅀𒀉𒊑𒅗𒈠𒀀𒁲𒁉𒀸𒅗𒅀𒈠𒀀𒀸𒂍𒃲𒇻𒁉𒇻𒌋𒉌	DUMU—KA₂.DINGIR.RA {KI} DUMU—KA₂.DINGIR.RA {KI} šu-u ina UGU-hi-ia it-tal-ka ma-a di-bi ina KA-ia ma-a ina E₂.GAL lu-bi-lu-u-ni 	A Babylonian has come to me, saying: "I have things to say; let them take me to the Palace" —
𒈗𒁁𒉌𒀸𒌋𒅗𒁹𒊓𒉌𒅀𒂊𒂗𒌷𒂗𒌷𒇺𒁓𒁹𒆪𒈠𒀀𒀀𒀭𒉡𒋼𒇻𒍝𒁉𒀉𒀸𒌋𒅗𒈗𒁁𒉌𒐊	LUGAL be-li₂ ina UGU {1}-sa-ni-ie-e EN—URU EN—URU liš-pur {1}-ku-ma-a.a an-nu-te lu-ṣa-bi-it ina UGU LUGAL be-li₂-ia₂ 	The king, my lord, should write to Saniye, the city lord, that he should arrest these Kummeans and send them to the king, my lord.
o𒃻𒀪𒀠𒋙𒉡𒌦𒈨𒌍𒄠𒈥...𒋾𒄑𒋛𒋙𒉡𒌑𒁺𒌋𒉌𒇷𒅅𒁍𒊩𒌨𒅗𒌦𒈨𒌍𒀭𒉡𒋾𒇷𒈬𒌓𒆷𒋫𒉺𒈛𒀭𒂗𒀭𒉺𒀭𒊩𒌆𒆤𒄑𒋛𒅗𒄑𒍝𒍪𒌒𒌓𒌦𒈨𒌍	o ša₂-ʾa-al-šu₂-nu UN-MEŠ am—mar ... ti is-si-šu₂-nu u₂-du-u-ni li-iq-bu-nik-ka UN-MEŠ an-nu-ti li-mu-tu₂ la ta-pa-lah₃ {d}-EN {d}-PA {d}-NIN.LIL₂ is-si-ka iz-za-zu ar₂-hiš UN-MEŠ 	Interrogate them! Let them tell you the ... people who conspire with them, and let these people die! Have no fear; Bel, Nabû and Mullissu are standing with you. Let the people die quickly, and rescue your life!
𒁹𒀭𒀸𒋩𒋀𒋧𒈾𒈗𒆳𒀸𒋩𒆠𒇷𒄑𒆸𒌨𒉿𒀉𒈠𒇽𒂗𒉆𒆳...𒀀𒁲𒂟𒈨𒌍𒀲𒆳𒊏𒈨𒌍𒂊𒈬𒄣𒈠𒀠𒊮𒁀𒋙𒌒𒇻𒇷𒀉𒆠𒀀𒈾𒂊𒋛𒅕𒌋𒌋𒁕𒀜𒋾𒃻𒀲𒆳𒊏𒈨𒌍𒇺𒁓𒈠	{1}-{d}-aš-šur—ŠEŠ—SUM-na LUGAL KUR—aš-šur {KI} li-iṣ-rim lik-pi-id-ma {LU₂}-EN.NAM {KUR}-... a-di ERIM-MEŠ {ANŠE}-KUR.RA-MEŠ e-mu-qu ma-al ŠA₃-ba-šu₂ ub-lu li-id-ki a-na e-se-er man-da-at-ti ša₂ {ANŠE}-KUR.RA-MEŠ liš-pur-ma 	Should Esarhaddon, king of Assyria, strive and plan? Should he summon the governor of ... along with men, horses, and army, as (great as) he wishes, and send them to collect a tribute of horses?
𒀀𒈾𒆪...𒋙𒉡	a-na-ku ... šu₂-nu 	I will come out ... with them
𒉽𒐈𒀸𒆳𒇽...	PAB 03 ina KUR {LU₂}-... 	total, 3, in the Land of the ... Official;
𒌓𒌋𒌋𒆚𒊭𒌗𒋗𒃲𒈨𒌍𒋬𒊮𒌷𒅀𒂊𒊑𒌑𒋫𒈪𒋗𒀀𒈾𒌷𒄵𒋼𒊭𒁹𒌋𒀖𒀀𒉌𒄿𒊑𒆪𒁹𒀭𒂍𒀀𒌋𒌋𒆕𒄿𒋛𒋗𒉡𒄿𒋫𒋃𒀀𒈾𒆪𒀸𒊮𒌷𒅀𒂊𒊑𒀀𒈾𒆪𒀀𒆠𒈗𒁁𒉌𒅅𒁍𒌋𒉌𒂗𒉣𒊭𒁹𒀀𒇉𒍝𒁀𒁀𒃻	UD 20-KAM₂ ša {ITI}-ŠU {LU₂~v}-GAL-MEŠ TA@v ŠA₃ {URU}-ie-e-ri u₂-ta-mi-šu a-na {URU}-bir-te ša {1}-10—rem₂-a-ni i-tal-ku {1}-{d}-E₂.A—MAN—DU₃ i-si-šu-nu i-ta-lak a-na-ku ina ŠA₃ {URU}-ie-e-ri a-na-ku a-ki LUGAL be-li₂ iq-bu-u-ni EN.NUN ša {1}-{ID₂}-za-ba—BA-ša₂ 	The magnates departed from Yeri on the 20th of Tammuz (IV) and went to Fort Adad-remanni; Ea-Šarru-ibni went with them. I am in Yeri, keeping watch over Zaba-iqiša, as the king, my lord, told me.
𒈾𒈪𒊑𒊭𒆍𒃲𒃮𒋛𒋼𒊭𒆍𒃲𒊭𒋡𒉌𒄿𒌅𒄣𒌅𒂍𒁹𒋼𒂍𒁹𒋼𒁹𒀉𒊭𒋡𒉌o𒂍𒈠𒇡𒋼𒂍𒈠𒇡𒋼𒊭𒌷𒂍𒁹𒋼𒂍𒁹𒋼𒁹𒀉𒋬𒊮𒁉𒋫𒌅𒄣𒌓	na-mi-ri ša KA₂.GAL qab-si-te ša KA₂.GAL ša qa-ni i-tu-qu-tu E₂—01-te E₂—01-te 01-et ša qa-ni o E₂—ma-ṣar-te E₂—ma-ṣar-te ša URU E₂—01-te E₂—01-te 01-et TA@v ŠA₃-bi ta-tu-qu-ut 	The watchtowers of the middlemost gate and the outer gate have collapsed; (and) one ... house outside the city garrison and one inside it have collapsed.
...𒆠𒀀𒁕𒈾...𒀀𒈾𒇽𒂇𒂍𒃲𒇽𒂇𒂍𒃲...𒄑𒉿𒀀𒁕𒈾	... ki a-da-na ... a-na {LU₂}-NIGIR—E₂.GAL {LU₂}-NIGIR—E₂.GAL ... is-pi a-da-na 	I shall deliver the ... to the governor of Arbela in ... ; I shall deliver the ... to the Palace Herald in ... ispi.
𒅎𒊩𒁕𒋫𒀀𒀀𒈾𒁹𒈬𒈬𒋀𒋙	IM {MI₂}-da-ta-a a-na {1}-MU—MU ŠEŠ-šu₂ 	A tablet of Datâ to her brother Šumu-iddina.
𒆷𒋼𒉺𒃻𒈠𒀀...𒄿𒂄𒄷𒂅...𒅅𒉼𒉌𒀀...	la te-pa-ša₂ ma-a ... i-šah₂-hu-ṭu ... iq-ban-ni a-... 	They said: "... are glazing ... commanded me ... "
𒅎𒁹𒋫𒆠𒃻𒀀𒈾𒁹𒀸𒋩𒈗𒉽	IM {1}-ta-qi₂-ša₂ a-na {1}-aš-šur—LUGAL—PAB 	Letter of Taqiša to Aššur-šarru-uṣur.
𒆷𒀀𒄯𒂍...	la a-mur E₂ ... 	which I didn't see, the house ... 
𒅗𒀀𒁺𒌋𒂗𒉣	ka-a-du u EN.NUN 	the outpost and the garrison
...𒇻𒌑𒉣𒇻𒌑𒄊𒀴𒇻𒌑𒇽𒀝𒈝𒇻𒌑𒇽𒉡𒌉...	... lu-u₂ NUN lu-u₂ GIR₃.NITA₂ lu-u₂ {LU₂}-ak-lu₄ lu-u₂ {LU₂}-NU.BANDA₃ ... 	... whether prince, or viceroy, or overseer, or lieutenant ... 
𒁁𒈝𒉆𒊒𒂊𒌀𒀭𒈨𒌍...	be-lum nam-ru e-tel DINGIR-MEŠ ... 	You sing: “Bright Lord, king of the gods” ... 
𒀀𒈨𒌍𒊭𒀀𒇉𒁍𒋥𒋾𒈠𒆷...	A-MEŠ ša {ID₂}-pu-rat-ti ma-la ... 	All water from the Euphrates that ... 
𒈾𒄀𒌋...𒄿𒃮𒁍𒌋𒌋𒋙	na-gi-u ... i-qab-bu-niš-šu₂ 	A district of Urarṭu called ... 
𒀸𒁹𒂗𒌓𒈪𒌋𒐋𒆪𒋫𒀀𒀀𒀸𒆍𒃲𒀭𒍝𒂷𒂷𒃻𒆠𒆗𒁷𒌁𒆠𒀸𒉈𒅅𒈝	ina 1-en u₄-mi 16 ku-ta-a-a ina KA₂.GAL-{d}-za-ba₄-ba₄ ša₂ qe₂-reb TIN.TIR {KI} ina IZI iq-lu₄ 	On a <single> day he burned (alive) sixteen Cuthians with fire in the gate of the god Zababa, which is inside Babylon.
𒄑𒋢𒄷𒊏𒌷𒋙𒋗𒌋𒌷...𒄴𒆏𒆏𒄿𒋡𒁍𒉌𒋙...𒊒𒋗𒌓𒀸𒃮𒀀𒀸𒊮𒁉𒀉𒊑𒅗𒆠𒄿𒊭𒈗𒁁𒉌𒉈𒂊𒈬𒅖𒆪𒈾𒀭𒉌𒉌𒄑𒋛𒋙𒀜𒁺𒁍𒌒𒉡𒆪𒁀𒋢𒊌...	is-su-hu-ra URU-šu₂ šu-u {URU}-... ah-kap-kap i-qa-bu-ni-šu₂ ... ru šu-tu₂ ina GABA-a ina ŠA₃-bi it-tal-ka ki-i ša LUGAL be-li₂ ṭe₃-e-mu iš-ku-na-an-ni-ni is-si-šu₂ ad-du-bu-ub nu-ku ba-su-uk-... 	That city of his is called ... ahkapkap, it is ... He met me there, and I spoke with him as the king, my lord, had ordered me, saying: "... 
𒈗𒄿𒋫𒁉𒄿𒈾𒊺𒄴𒋾𒊭𒋼𒇷𒋛𒌑𒊺𒋳𒐈𒋙𒋆𒂗𒁲𒀉𒆗𒈠𒆥𒂊𒋗𒌑𒂵𒈠𒅈𒅋𒋃𒄿𒈾𒌋𒅗𒄑𒍎𒍜𒁺𒊏𒀪𒀸𒊮𒀝𒇷𒃻𒀭𒀭𒇷𒋛𒆪𒌅𒌑𒃻𒆗𒇽𒈜𒈠𒉡𒄿𒁀𒋼𒂍𒁉𒉿𒄿𒍝𒄯𒍪𒈠𒊒𒄿𒅗𒃻𒁕𒄿𒈾𒀾𒅆𒄿𒈾𒊮𒀀𒉿𒄿𒋼𒀀𒊏𒅈𒋭𒈨𒌍𒉌𒈨𒌍𒁉𒈨𒌍𒃾𒈨𒌍𒄿𒈾𒌋𒅗𒄭𒄿𒋫𒁀𒀝	LUGAL i-ta-bi i-na še-eh-ti ša—te-li-si u₂-še-taq 03-šu₂ {ŠEM}-en-di id-dan ma-qe-e-šu u₂-ga-ma-ar il-lak i-na UGU {GIŠ}-BANŠUR {UZU}-du-ra-ʾu ina ŠA₃ ak-li GAR-an {d}-li-si-ku-tu u₂-ša₂-kal {LU₂}-NAR ma-nu i-ba-te E₂ kas₂-pi i-za-mur zu-ma-ru i-ka-ša₂-da i-na-aš₂-ši i-na ŠA₃ a-pi i-kar-ra-ar LAL₃-MEŠ I₃-MEŠ KAŠ-MEŠ GEŠTIN-MEŠ i-na UGU-hi i-ta-ba-ak 	The king rises and swings the purification device on the censer, gives incense thrice, and completes his libations. He goes to place the foreleg on the loaves upon the table and feeds Lisikutu. The singer intones, “Who opens the house of silver?” (When) he reaches the refrain, he lifts it up, throws it into the pit, and pours honey, oil, beer and wine upon it.
𒇯𒇻𒈠𒆷𒉌𒉺𒀾	du₆-lu-ma la ne₂-pa-aš₂ 	we cannot do the work.'"
𒁹𒀭𒀝𒈗𒅁𒉌𒇽𒊕𒈾𒋗𒈫𒀀𒈾𒊮𒁉𒌷𒆠𒄿...𒈠	{1}-{d}-AG—LUGAL—ib-ni {LU₂}-šak-na ŠU.2 a-na ŠA₃-bi URU ki-i ... ma 	When Nabû-šarra-ibni, the prefect, laid hands on the city, ... 
𒅅𒁲𒁉𒅀𒈠𒀀𒁹𒈠𒈾𒆬𒄀𒁹𒀭𒌍𒋾𒋢𒅅𒁉𒌉𒁹𒀭𒊩𒌆𒃲𒋧𒈾𒀸𒋗𒈫𒇽𒈬𒆸𒋢𒉺𒈨𒌍𒇽𒈬𒆸𒋢𒉺𒈨𒌍𒀀𒈾𒁹𒊓𒋛𒄿𒄩𒍝𒉡𒊭𒌉𒌋𒌋𒌉𒌋𒌋𒌑𒊺𒁉𒆷𒈠𒀀𒈨𒄿𒉡𒊭𒈗𒁁𒉌𒄿𒃮𒁍𒌑𒉌	iq-ṭi-bi-ia ma-a 01 MA.NA KUG.GI {1}-{d}-30—TI-su—iq-bi DUMU {1}-{d}-NIN.GAL—SUM-na ina ŠU.2 {LU₂}-mu-kil—{KUŠ}-PA-MEŠ {LU₂}-mu-kil—{KUŠ}-PA-MEŠ a-na {1}-sa-si-i {LU₂~v}-ha-za-nu ša DUMU—MAN DUMU—MAN u₂-še-bi-la ma-a mi₃-i-nu ša LUGAL be-li₂ i-qab-bu-u₂-ni 	Sîn-balassu-iqbi, son of Nikkal-iddina, has sent 1 mina of gold with a chariot driver to Sasî, the superintendent of the crown prince, saying, 'What is it that the king, my lord, commands?'"
...𒁹𒈜𒇻𒂅𒁹𒀭𒀸𒋩𒍪	... {1}-lib-lu-ṭu {1}-{d}-aš-šur—ZU 	NN, Libluṭu, Aššur-le'i,
𒀭𒌋𒐊𒀯𒈨𒌍𒀭𒌋𒐊...𒀭𒈠𒉣𒃲𒀭𒄖𒍝𒇲𒌑...𒀭𒁁𒆳𒂔𒀭𒁁𒆳...𒀭𒋡𒊏𒁕𒀀𒋼𒀭...𒀭𒆪𒀖𒋫𒈾𒀀𒋼𒀭𒍝𒂷𒂷𒀭𒁕𒅅𒌅𒀭𒂗𒅁𒊑𒀀...	{d}-15—MUL-MEŠ {d}-15 ... {d}-MA.NUN.GAL {d}-GU.ZA.LA₂-u₂ ... {d}-be-lat—EDIN {d}-be-lat—... {d}-qa-ra-da-a-te {d}-... {d}-ku-lit-ta-na-a-te {d}-za-ba₄-ba₄ {d}-da-ik-tu {d}-EN—ib-ri-a ... 	Ištar-of-Stars, Ištar ... , Manungal, Guzalû ... , Belat-ṣeri, Belat-... , the Heroines, ... , the Kulittus, Zababa, Daiktu, Bel-labria ... ; 
