not to harm ... 	... to conquer a land not obedient to me ... 
Witness Banî, ... 	Witness ... 
The (eastern) gate overlooking the river is the Gate of the Firmament, its entrance gate is the Entrance-of-the-Igigi Gate.	The Eastern gate overlooking the river is the Gate of the Firmament, its entrance gate is the Entrance-of-the-Igigi Gate.
the king should send ... 	May the king send word that they should stand ... 
1/2 shekel of thyme;	1/2 shekel of cedar;
and brought to me ... 	As to PN the servant of Adad-remanni about whom the king my lord wrote to me: "I gave him to Nabû-šumu-iddina but he  took his clothes and his ... and fled; send (word) that the should be arrested wherever he is and brought to me!" — 
in all 100+x tablets,	in all 342 tablets,
To the king, my lord: your servant Ila'i-Bel. Good health to the king, my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
... we got scared	... they got scared ... 
whether there is ... 	Now, the king, my lord, should ask Mannu-ki-ahhe, the royal bodyguard who extracted the corn-tax, whether there is any barley (here).
Witness Nabû-ahhe-eriba, scribe, keeper of the tablet.	Witness Nabû-eṭir-napšati, scribe, keeper of the tablet.
Near Nineveh, in the territory of the city Balāṭāya, by divine will, white limestone was discovered in abundance, and (then) I created bull colossi (and) sphinxes of alabaster, and slabs of alabaster, as well as magnificent slabs of breccia. I cut (them) free on both sides from their mountains, and (then), for the construction of my palace, I had (them) dragged into Nineveh.	In the territory of the city Balāṭāya,  white limestone was discovered in abundance, and (then) I created bull colossi (and) sphinxes of alabaster, and slabs of alabaster, as well as magnificent slabs of breccia. I cut (them) free on both sides from their mountains, and (then), for the construction of my palace, I had (them) dragged into Nineveh.
When I was in the town Ur... ,	When I was in the city Urku... , 200 men ... of the city they ... 
You perform a sheep offering before the Igigi gods and before the bed, make a flour/incense-offering, pour oil, honey, beer and wine, and sing, “... ”	You perform a sheep offering before the Anunnaki gods, make a flour/incense offering, pour oil, honey, beer and wine, and sing, “... ”
1 piece of baltu-stone for 1.	1 piece of abašmu-stone for one gem;
have not ... ;	Nabû-ušabši, the haruspex, has incited the ... , the palace supervisor, and the magnates against me. I have sent ... a letter about it to the king, my lord. The king should summon him and have him brought in. He must not conceal ... 
May a later prince restore its ruined (portions) (and) return my inscription to its place. (Then) the gods Aššur (and) Adad, the great gods, will listen to his prayers. May he return my clay cone to its place.	May a later prince restore its weakened (portions) and return my inscription to its place. (Then) Aššur, the god Anu, and the god Adad will listen to his prayers. May he return my clay cone to its place.
In the future may a later prince, when that site becomes old and dilapidated, repair it. May he restore my monumental inscription (and) my inscribed name to its place. (Then) the god Aššur will listen to his prayers.	In the future may a later prince, when that palace becomes old and dilapidated, restore it. May he anoint with oil my monumental inscription, make sacrifices, (and) return (it) to its place. (Then) the gods Aššur and Adad will listen to his prayers.
... shekels, their silver.	Bur-il of Gubla, a servant of Anu-... , has deserted to me. I am herewith  sending him to the king, my lord. (As to) the news of the town of Bar-Uri,  he told me as follows: "They are selling half a (homer of) barley for ... shekels of silver. 
total, 5 horse trainers of the king's chariots.	Witness Se'-dalâ,  horse trainer of the open chariotry.
Qurdi-Mullissu.	Witness Urdu-Mullissu.
In the course of my campaign, I surrounded, conquered, (and) plundered the cities Amatu, Ḫauae, Supapu, Nuqabu, Bīt-Sannabi, Qudayyin, Kidrina, Dūr-Ladini, Bitāti, (and) Bānītu, the land Guzummānu, the cities Dūr-Yanṣuri, Dūr-Abī-Yataʾ, Dūr-Rudumme, Bīt-Raḫê, Ḫapiša, Sadian, Ḫurudu, Ṣaḫrina, Iltuk, Allallu, Marad, Yaqimuna, Kupruna, Bīt-Kudurri, Sūqa-Marusi, altogether 33 fortified cities, fortresses of the land of the Bīt-Dakkūri, together with 250 small(er) settlements in their environs;	In the course of my campaign, I surrounded, conquered, (and) plundered the cities Amatu, Ḫauae, Supapu, Bīt-Sannabi, Qudayyin, Kidrina, Dūr-Ladini, Bitāti, Bānītu, Guzummānu, Dūr-Yanṣuri, Dūr-Abī-Yataʾ, Dūr-Rudumme, Bīt-Raḫê, Ḫapiša, Sadian, Ḫurudu, Ṣaḫrina, Iltuk, Allallu, Sabḫānu, Kār-Nergal, Apak, Bīt-Dannāya, Bīt-Abdāya, Baḫir, Marirâ, Marad, Yaqimuna, Kupruna, Bīt-Kudurri, Sūqa-Marusi, altogether 34 fortified walled cities of the land of the Bīt-Dakkūri, together with 250 small(er) settlements in their environs;
... bowls ... ,	... holds ... ; ... have passed into the possession of the people of Kannu'.
... "Otherwise you ... 	... , Ahi-duri came to me. I gave him a field, saying: “It may not come out ... from the presence of Ištar; Ištar will ... where you ... 
A built house with its beams and doors, ... 	A built house with its beams, one of its doors, the upper story together with an exit, adjoining the house of Ah-abû, adjoining the house of Sunaya, adjoining the house of Hana-huru —
x teams of horses:	I had in harness for the forces of my land more chariots and teams of horses than ever before. To Assyria I added land and to its people I added people. I brought contentment to my people (and) provided them with a secure abode.
Witness Adad-milki-... 	Witness Adad-... 
Witness Puhrati-Issar.	Witness Urda-Issar, son of the woman ... 
An estate of 5 decares ... adjoining ... 	an estate of 2 decares adjoining ... and a wadi;
eat bread ... 	until alongside the road ... 
x minas of red wool, 25 minas of black wool ... ;	x minas of red wool, 5 minas of black wool from within the Palace.
An estate of 15 hectares of land adjoining the road which leads (from) the village of Dannayato the village of Ildiši and adjoining ... ;	an estate of 4 hectares of land adjoining the road which leads from the village of Dannaya to the village of ... , a total of 5 (hectares) adjoining the field of Išmanni-... 
... to the land A... 	... of the land Ḫimme ... against/upon ... his city ... their fortresses, their ... , of the land Ḫimme, I conquered and destroyed/plundered. Men and sheep which, like the stars of heaven, had no number, I carried off. All of their cities, of the land Ḫimme, I conquered and destroyed. I did not leave a single warrior alive. I flayed the men, their city-rulers, ... Over against their numerous cities I built into mounds the corpses of their warriors which I had felled with the sword in the battlefield ... Soldiers, armed troops, ... without number I blinded. (Thus) I achieved vengeance for my land which ... their blood/corpses ... 
... the land of Halzi	a bull colossus: length 10 cubits, width 5 cubits; ... the land of Habruri.
... the ship ... 	... these ... 
... for the second time ... 	... qu has come and taken fodder from the fodder and ... stores... He took once when I was in the king my lord's presence in Arbela, and now he  has done it again and taken it for the second time!
... said ... 	... his ... in the town of ... 
who to the limit(s) of heaven and netherworld ... 	The tireless one, who watches over all of heaven and netherworld ... 
Witness Abnanu.	Witness Zabinu. A total of 5 residents of his city.
30 talents, Que;	20 talents, Review Palace of ditto;
Seal of Nabû-šallim-ahhe.	And the temple stewardess says: "When Nabû-zer-ketti-lešir  returned from the Inner City, he entered the presence of  Nabû-šallim-ahhe. Nabû-šallim-ahhe questioned him over and over,  saying: 'From where have you come?' He replied: 'I came from the Inner  City.' (Whereupon Nabû-šallim-ahhe) said: 'You! You! — Why do you  want to die as a liar?! Produce the ... goods in your possession and  bring them to me!' Then Nabû-abu-da''in, the cook, cried out. He picked  up Warrior Erra and gave it to him along with one set of clothing... That evening and the following morning, he produced 2 ... -containers... This cook, Nabû-abu-da''in, was beaten on the fifth day and died from  the beatings." 
... eats me up ... 	... sent me ... 
Why ... the horses ... ?	Let them ... the corpse ... 
... he wrote ... 	they wrote ... 
... Now from ... 	Concerning ... from Tabal and Que about whom they wrote to me  from the Palace - let Aššur, Bel (and) Nabû come into the presence of the king as soon as they lay their ... in Ṭurušpâ and their ... s from ... are visiting  the crown prince in Assyria.
Witness Mannu-ki-Aššur, ditto of the prince.	Witness ... su, inspector of the Šamaš Gate. Witness Mannu-ki-Ištar,  ditto of the Tigris Gate.
... Nabû'aya.	... Zabaya ... 
On its side ... 	We did indeed find a writing-board inside (the house), just as the king my lord had written; I sealed it and put it inside (... ).
Nabû-nadin-apli;	Nabû-epuš, the priest of Ea, has stolen property from the temple. He peeled off and removed the golden ... from the  massive (offering) table which is in front of Ištar. Nabû-nadin-apli, the  temple guard, caught him red-handed. 
14 mares.	x black horses, 9 mares.
Eri... —	... Bit-Dakuri ... 
very much; a golden star ornament ... 	under the golden star ornament ... 
... city gate	If on the 15th day the moon and sun are seen together: a strong enemy will raise his weapons against the land; the enemy will tear down the city gate.
the Dais of Destinies in the palace ... 	After Aššur has gone to the Dais of Destinies in the palace,
Stand by and ... 	... the land and ... 
... Ariye	... Arbela
x+20 hectares of land in the town ... 	Padî, gardener; 1 son; 3 women; 4,000 stalks of vine; x+2 hectares of arable land in the town of Ṣaidina near Harran.
of the city Kullania	My battle troops (who were stationed) in the land Mangisu — which is inside (the territory of) the city Sumandir —
in all 3 farmers; ... 	in all 6 farmers.
... to drink blood ... 	... the king's ... to drink ... 
... them ... and	... these ... 
I have blocked ... 	I have hauled ... 
... to Silim-Aššur	72 miscellaneous sheep belonging to Silim-Aššur, at the disposal of Hanṭasanu and Marduk.
south and north.	I am writing to you right now: You have sent many of them to the south and to the north or wherever on (various) errands; summon them wherever they are, they must be there before my eunuch arrives. I shall now send my eunuch to make a review of them.
he went ... Now ... of	I did not take away. When the ... gave ... to me, I went ... on ... 
the 23rd day in front of Gula ... ;	the 24th day, the 25th day in front of ... ;
Babylon for/to ... ,	be it a citizen of Babylon or ... ,
To the palace scribe, my lord: your servant Nahiši, the ... 	To the palace scribe, my lord: your servant Tabnî. The best of health to my lord! May Nabû and Marduk bless my lord! Enter Nineveh in good spirits and see the face of Nabû (and) the face of the king in peace!
... I said: "... to	... I said: "He should know!" Wholeheartedly
— The 15th day (means) the Westland and ... 	Sivan (III) means the Westland; the 15th day means the Westland.
An estate of 5 decares of field adjoining Ṭab-Bel, adjoining Susî.	An estate of 3 decares of field adjoining ... , adjoining the field ... ,  adjoining ditto ... —
Witness Hara-Dadi.	Witness Sara-il.
the iron sword ... the gods	the one whom ... the god Nabû, (and) the goddess Tašmētu, with their benevolent glance, steadfastly looked upon and selected for kingship; (i 5') (the one) who the luminary of the heavens, the god Sîn, crowned with the crown of lordship to make the foundation of the land firm, to organize the people, to bring order to what is confused, (and) repair what is destroyed; (i 10') (the one) in whose hands the god Nabû, overseer of the universe, placed a just scepter (and) legitimate rod for shepherding a widespread population; broad-minded, discerning, who comprehends rational thought and counsel, the one who learned deliberation, reliable judge, the one who speaks about truth and justice; (i 20') to whom treacherous talk is taboo (and) lies an abomination; pious prince, competent governor,  
Witness Luqu, ... 	Witness ... 
The king should know all this!	The king should know (this) and be circumspect; let him guard himself. On an unfavorable day the king must not go out into the street, until the term of the (ominous) sign has expired.
Concerning what the king, my lord, previously wrote to me ... 	Concerning what the king, my lord, wrote to me: "Review the implements and ... in Bab-bitqi, seal them with your seals, and entrust them in the hands of Nergal-belu-uṣur!" — now then I have reviewed them ... 
32 sheaves — Nuraya	2 sheaves — Aplaya
Shalmaneser, king of all people, prince, vice-regent of Aššur, strong king, king of Assyria, king of all the four quarters, sun(god) of all people, (15) ruler of all lands, the king (who is the) desired object of the gods, chosen of the god Enlil, trustworthy appointee of Aššur, attentive prince, who has seen remote and rugged regions, who has trodden upon the mountain peaks in all the highlands, receiver of booty (20) and tax from all the (four) quarters, who opens paths above and below, at whose strong attack for combat the (four) quarters are distressed... 	Shalmaneser, king of all people, prince, vice-regent of Aššur, strong king, king of all (5) the four quarters, sun(god) of all people, ruler of all lands, king, desired object of the gods, chosen of the god Enlil, (10) trustworthy appointee of Aššur, attentive prince, who has seen remote and rugged regions, who has trodden upon the mountain peaks in all the highlands, receiver of booty (and) tax from all the (four) quarters, who opens paths above and below, at whose strong attack for combat (15) the (four) quarters are distressed (and) cities convulsed, strong male who acts with the support of Aššur (and) the god Šamaš, the gods his allies, and has no rival among the princes of the four quarters, magnificent king of lands, who has kept progressing by difficult ways through mountains and seas;
Nemed-Issar             	               Concerning those messages             
“The God Ea Is the One Who Properly Directs (Water Flow into) My Cisterns”: (this is) the Mašqû Gate. (vii 65) “The One Who Brings in Income from the Settlements”: (this is) the Quay Gate. “The One Who Regulates Everything”: (this is) the Armory Gate. In total, three gates (facing) towards the west (and) I gave them (these) names.	“The God Ea Is the One Who Properly Directs (Water Flow into) My Cisterns”: (this is) the Mašqû Gate. (vii 20') “The One Who Brings in Income from the Settlements”: (this is) the Quay Gate. “The One Who Regulates Everything”: (this is) the Armory Gate. In total, three gates (facing) towards the west (and) I gave them (these) names.
There is a 'weapon'-mark on the right side of the 'turban' of the lung and it faces upward... 	If there is a 'weapon'-mark on the right side of the 'turban' of the lung and it faces upward: the gods of my army will abandon it... 
Witness Sunu... 	Witness ... 
... two feet	... to the bodyguard and to ... 
Witness Dunqi-Issar.	Witness Habur-Issar.
... let them enter ... and	... let them send ... 
15 cavalry mounts:	The ... cavalry mounts did not arrive, and the ... about  which I wrote to the king, my lord, are in Adia. If the king, my  lord, commands, they should cross over to Nineveh. Let king, my lord,  send a letter in reply to (this) letter. 
The line count of the inscription is 71 (lines). Sibūti, eponymy of Nabû-lēʾi, governor of the city Arbela (702).	The line count of the inscription is 63 (lines). Sibūti, eponymy of Nabû-lēʾi, governor of the city Arbela (702).
... have ... ed against you.	have ... ed against the palace herald.
In the future, one of the kings, my descendants, whom the god Aššur and the goddess Ištar name for shepherding the land and (vi 55) people — when that palace becomes old and dilapidated, may a future ruler renovate its dilapidated section(s) when that palace becomes old and dilapidated. May he find an inscribed object bearing my name, anoint (it) with oil, make an offering, (and) return (it) to its place. The god Aššur and the goddess Ištar will (then) hear his prayers.	In the future, may one of the kings, my descendants, whom the god Aššur names for shepherding the land and people, renovate its dilapidated section(s) when that wall becomes old and dilapidated. May he find an inscribed object bearing my name, (viii 70) anoint (it) with oil, make an offering, (and) return (it) to its place. The god Aššur and the goddess Ištar will (then) hear his prayers.
I shall write to the king, my lord, ... whatever it is.	Concerning the report about which the king, my lord, wrote to me: "Write to NN" — I have written to him, and as soon as he has provided a detailed report, I shall send to the king, my lord, whatever there is to report.
... this news,	... his messenger
Witness Bel-lamur, scribe.	Witness Barruqu, scribe.
(... ) Aššur-dān, appointee of the god Enlil, vice-regent of Aššur (... ), son of Adad-nārārī (III), appointee of the god Enlil, vice-regent of Aššur (... ), son of Šamšī-Adad (V), (who was) also appointee of the god Enlil and vice-regent of Aššur (... ) :	Shalmaneser, appointee of the god Enlil, vice-regent of Aššur, son of Adad-nārārī (I), appointee of the god Enlil, vice-regent of Aššur, son of Arik-dīn-ili (who was) also appointee of the god Enlil (and) vice-regent of Aššur:
At that time, Nineveh, the exalted cult center, the city loved by the goddess Ištar in which all of the rituals for gods and goddesses are present; the enduring foundation (and) eternal base whose plan had been designed by the stars (lit. “writing”) of the firmament and whose arrangement was made manifest since time immemorial; (65) a sophisticated place (and) site of secret lore in which every kind of skilled craftsmanship, all of the rituals, (and) the secret(s) of the lalgar (cosmic subterranean water) are apprehended; 	At that time, Nineveh, the exalted cult center, the city loved by the goddess Ištar in which all of the rituals for gods and goddesses are present; the enduring foundation (and) eternal base whose plan had been designed by the stars (lit. “writing”) of the firmament and whose arrangement was made manifest since time immemorial; a sophisticated place (and) site of secret lore in which every kind of skilled craftsmanship, all of the rituals, (and) the secret(s) of the lalgar (cosmic subterranean water) are apprehended; 
their names ... 	to the teams ... 
You ... a pot ... 	You ... two ... 
Witness Ramman-ram.	Witness Šamaš-ra'im-ketti.
If the moon's horns at its appearance are pointed: the king will strike down the land of his enemy.	If the moon's horns at its appearance are pointed: the king of Akkad will rule the land wherever he goes, variant: the king of Akkad will weaken the land wherever he intends.
fingernail of Abzî,	fingernail of Šamaš-šallim,
5 hectares 2 decares, ditto, ... ;	3 hectares 3 decares, the town ... ;
the (grand) total is 88  fortified walled cities of Chaldea, together with 820 small(er) settlements in their environs.	the cities Dūr-Appê, Dūr-Tanê, Dūr-Samaʾ, Sarrabātu, Ṣalaḫatu, Dūr-Abdāya, Sappi-ḫimari, Ṣibtu-ša-Makkamê, altogether 8 fortified walled cities of the land of the Bīt-Saʾalli, together with 120 small(er) settlements in their environs;
... , who does not go out with Bel to the Akitu House, holds the fetter of the prisoner and sits with him.	... who does not go out with Bel to the Akitu House, carries the fetter of the prisoner and sits with him. The ... , which they place on the marinaded roasted meat in front of Bel, is that of ... 
“Should the kamanu-cakes be removed?” Favourable. 	“Should the saplišhu be removed?” Favourable. 
... those who are with him	You wrote me that in addition to the 500 logs of ... and the 500 of ... , another ... have been piled up on the river  bank. That's exactly why the governor of Til-Barsip did ... ! I  (gave the order): "These should go to ... Aššur-šarru-uṣur plus the ... who are with him, and ... the logs into ... of 40 (pieces) each." To no avail; they did not do any work ... (break of two lines) ... have rebelled ... 
... Ṭurušpâ	I went down to ... as far as the ... of the Na'iri land. I received tribute horses from the cities of Tikki and Hubuškia; the rest of the tribute I received (in) Ṭurušpâ.
If he does not, he shall pay (in) silver according to the market price of Nineveh.	If he does not, he shall pay according to the market price of Nineveh.
he will speak malicious words of evil against Esarhaddon, and make an insurrection or revolt against him.	he will speak malicious words, evil things against Esarhaddon, king of Assyria, and make insurrection and rebellion against him.
... the land to your hands ... 	... the land and ... 
do not ... this ... 	That cook whom the king, my lord ... sent me, saying: "Show (him) the ... " — I showed (him) the ... He said, "I do not ... " The ... which he brought ... 
Witness ... -ila'i, 'third man' of the crown prince.	... manu, 'third man' of the crown prince;
Umban-kidinni             	Aššur-kallimanni             
From the booty of those lands that I had plundered, I conscripted 30,000 archers (and) 20,000 shield bearers and added (them) to my royal contingent. (v 20) I divided up the rest of the substantial enemy booty like sheep and goats among my entire camp and my governors, (and) the people of my great cult centers.	From the booty of those lands, I conscripted 30,500 archers (and) 20,200 shield bearers and added (them) to my royal contingent. I divided up the rest of the substantial enemy booty like sheep and goats among my entire camp and my governors, (and) the people of my cult centers.
shall place 10 minas of refined silver (and) one mina of pure gold in  the lap of Ninurta residing in Calah.	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
13 Kushite horses,	24 Kushite horses total;
(Property) of Nabû-šumu-libūr, king of the world.	(Property) of Nabû-mukīn-apli, king of the world.
... -ilani, farmer; 1 woman; 2 daughters, of 3 spans' height: a total of 4 people.	Hanî, son of Palṭi, formerly of the scarf weavers, farmer; Nusku-šezibanni, his son, of 4 spans' height; 1 woman; 1 daughter, of 3 spans' height: a total of 4 people.
You pour a libation bowl of wine on the head of the ram, throw finest flour on it, ... , place a libation bowl of water on it, place a ‘heart’ and a ‘wrist’ in his hands, and bind his hands with a tuft of red wool.	You pour a libation bowl of wine on the head of the ram, throw finest flour on it, ... , place a libation bowl of water on it, place a ‘heart’ and a ‘wrist’ (bread) in his hands, and bind his hands with a tuft of red wool. You sing, “... ” You sing: “I am exhausted, I pray to the Lord of Radiance.” You sing, “O Anu, father of the gods, creator of everything.”
Disregard that an angry man, or one in distress, spoke angrily the words of his report... 	Disregard that an angry, furious man spoke angrily the words of his report... 
Witness Kabtî.	Witness Nabû-zeru-... 
The  ... wrote (to me), saying: "my ... 	concerning whom my brother ... wrote me, saying: “... 
Perhaps the king, my lord, will say: "What is the news of Urarṭu?"	Perhaps the king, my lord, will say: "What is the news of the king of Elam?" The king of Elam is in the mountain, in the town Burati. He has not set out, he is still there.
Adad-... , bodyguard of the crown prince;	Concerning the people of Barik-il about whom the king, my lord, wrote to me, now then Nabû-šallim of Larak has seized 53 souls and given them to Umadi, the bodyguard of the crown prince.
As to (... ) what you wrote	As to what you wrote to me: "I went to Der. Der is a great metropolis whose foundations are as firm as the mass of a mountain... I surrounded and captured that city. The gods  dwelling in Der together with their extensive property, the property of the palace ... ,
For 12 bows for the king's own use — Bazazanu.	For 22 bows for the king's own use, the sinews for the bowstrings — Sasî.
They argued about the house of Hunanu as long as it existed. Now they are arguing about Kar-Šarrukin. Not a day passes without their quarreling about the spoils.	They argued about the house of Hunanu as long as it existed. Now they are arguing about Kar-Šarrukin... Not a day passes without their quarreling about the spoils.
Witness Nabû-rim-ilani, mayor of Nineveh.	Witness Nabû-belu-uṣur, mayor of Nineveh.
1 tureen of soup.	A tureen of bouillon;
The 15th: perfect seed;	The 15th day: perfect seed.
... were received ... 	... , who nobody among the kings, my ancestors, ... I received ... as his audience gift. 
the woman Nikkal-... ;	the woman Nikkal-amat.
his royal couch, the treasure of his palace, his palace women, his sons and his daughters, 30,000 captives, their cattle  and sheep without number you took as spoils. Four hundred and seventy-six cities in the vicinity you razed, destroyed and burned.	his royal bed, the treasure of his palace, his palace women, his sons and his daughters, 30,000 captives, their cattle and their sheep without number I took as spoil. Four hundred and seventy-six cities in their vicinity I razed, destroyed and burned."
Month Ab (V), 10th day, eponym year of Sagab, governor of Harran (651).	Month Ab (V), 11th day, eponym year of Sagab (651).
Witness NN, cohort commander of the queen.	Witness NN, cohort commander.
A basket of (mixed) fruit.	1 basket of (mixed) fruit.
Witness Ahu-eriba, palace manager.	Witness Ubru-Nabû, palace manager.
... the sartinnu; take ... 	... to the sartinnu ... 
A built house ... 	A built house with its beams,
If the moon and sun are in balance: the land will become stable; reliable  speech will be placed in the mouth of people; the king of the land will  make his throne last long.	If the moon and sun are in balance: the land will become stable; reliable speech will be placed in the mouth of people; the king ... will make the throne last long.
Concerning the ... about which the king, my lord, wrote to me:  "Right now ... 	Concerning the work of ... about which the king, my lord, wrote  to me, saying: "Let them process the gold according to this ... " —  we have now weighed out the gold and silver which are the property of  Sin and carry the seal of Nabû-zeru-ibni. We have melted down 23 minas  of gold in the agate-standard, including the votive gifts. Now they  will hammer (it) as thin as the king commands.
Belonging to the temple of the god Aššur. Shalmaneser, vice-regent of the god Aššur, son of Adad-nārārī (I) (who was) also vice-regent of the god Aššur, made it at his tākultu.	Belonging to the temple of the god Aššur. Shalmaneser, king of the universe, son of Adad-nārārī (I) (who was) also king of the universe, made it at his tākultu.
portions                            	Issar-šimanni                            
x ... ditto, the front black;	... , ditto, the front ditto, 1 1/4 mina;
An estate of 4 decares of field ... adjoining Šamaš-kenu-dugul, adjoining ... ,	an estate of 8 decares of field adjoining Lu-balaṭ, adjoining ... 
On my fourth campaign, I marched to the land Bīt-Yakīn. In the course of my campaign, I defeated Šūzubu (Mušēzib-Marduk), a Chaldean who lives in the marshes, at the city Bittūtu. As for him, he  became frightened of my weapons, and (then) he fled alone and his (hiding) place could not be found.	On my fourth campaign, the god Aššur, my lord, encouraged me so that I mustered my numerous troops and (iii 45) ordered the march to the land Bīt-Yakīn. In the course of my campaign, I defeated Šūzubu (Mušēzib-Marduk), a Chaldean who lives in the marshes, at the city Bittūtu. As for him, terror of doing battle with me fell upon him and his heart pounded. He fled alone like a lynx and his (hiding) place could not be found.
The 2nd day. Care of Nabû-šarru-uṣur.	Of the wedding night of Mullissu — of the crown prince. Care of Nabû-šarru-uṣur.
... šallim... 	Witness ... -šallim.
Hanunu and his people, ... ,	Danduru and his people, ... ,
... containing ... 	... constant ... 
Witness Rimu'a.	Witness Rapi', 'third man' of the palace.
Witness NN, deputy of the palace scribe.	Witness Nabû-dammiq, deputy of the palace scribe.
To the king, my lord: your servant, Nergal-šarrani. Good health to the king, my lord. May Nabû and Marduk bless the king, my lord... 	To the king, my lord: your servant Mar-Issar. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord! May the great gods bestow lasting days, well-being and joy upon the king, my lord!
... Now then the messenger ... 	Disregard that the messenger ... 
They put their hands on the possessions of Esagil and the citizens of Babylon and plundered its goods, gold, silver, ... from inside the temple (and) sold (it) at market value to the land Elam. 	... the slave girl did not listen to her mistress. They led their gods away, neglected their goddesses, abandoned their rites, and embraced quite different (rites); ... they were inciting criminal acts (and) infringing on a taboo; ... they discontinued sattukku offerings. They fomented a conspiracy. They (Babylon’s citizens) put their hands on the possessions of Esagil and the citizens of Babylon and they plundered its goods, gold, silver, (and) stones from inside the temple (and) sold (them) at market value to the land Elam.
