not to harm ... 	not to ... 
... said ... 	... as ... 
Witness Abnanu.	Witness Bananî.
... eats me up ... 	... sent me ... 
... he wrote ... 	they wrote ... 
... Now from ... 	... from ... 
Nabû-nadin-apli;	Nabû-nadin-šumi;
14 mares.	4 mares.
3 ... -garments ... ;	1 ... -garment ... ,
very much; a golden star ornament ... 	under the golden star ornament ... 
I ask you, Šamaš, great lord, whether Assurbanipal, king of Assyria,	... I ask you, Šamaš, great lord, whether Esarhaddon, king of Assyria, should ... 
x+20 hectares of land in the town ... 	x hectares of field in the town of Azma... ,
in all 3 farmers; ... 	in all 6 farmers.
... them ... and	... these ... 
I have blocked ... 	I have hauled ... 
... I said: "... to	... said: "... 
— The 15th day (means) the Westland and ... 	The 15th day means the Westland.
An estate of 5 decares of field adjoining Ṭab-Bel, adjoining Susî.	An estate of 1 hectare of field adjoining ... , adjoining ... 
Witness Hara-Dadi.	Witness Sara-il.
Witness Luqu, ... 	Witness ... 
Concerning what the king, my lord, previously wrote to me ... 	Concerning what the king, my lord, wrote to me: "... "
32 sheaves — Nuraya	2 sheaves — Aplaya
“The God Ea Is the One Who Properly Directs (Water Flow into) My Cisterns”: (this is) the Mašqû Gate. (vii 65) “The One Who Brings in Income from the Settlements”: (this is) the Quay Gate. “The One Who Regulates Everything”: (this is) the Armory Gate. In total, three gates (facing) towards the west (and) I gave them (these) names.	“The God Ea Is the One Who Properly Directs (Water Flow into) My Cisterns”: (this is) the Mašqû Gate. (vii 20') “The One Who Brings in Income from the Settlements”: (this is) the Quay Gate. “The One Who Regulates Everything”: (this is) the Armory Gate. In total, three gates (facing) towards the west (and) I gave them (these) names.
There is a 'weapon'-mark on the right side of the 'turban' of the lung and it faces upward... 	If there is a 'weapon'-mark on the right side of the 'turban' of the lung and it faces upward: the gods of my army will abandon it... 
Witness Sunu... 	Witness ... 
The horses ... 	1 horse ... 
any ... 	and you ... 
... two feet	... to greet
Witness Dunqi-Issar.	Witness Habur-Issar.
... let them enter ... and	... let them send ... 
15 cavalry mounts:	17 cavalry mounts,
The line count of the inscription is 71 (lines). Sibūti, eponymy of Nabû-lēʾi, governor of the city Arbela (702).	The line count of the inscription is 63 (lines). Sibūti, eponymy of Nabû-lēʾi, governor of the city Arbela (702).
In the future, one of the kings, my descendants, whom the god Aššur and the goddess Ištar name for shepherding the land and (vi 55) people — when that palace becomes old and dilapidated, may a future ruler renovate its dilapidated section(s) when that palace becomes old and dilapidated. May he find an inscribed object bearing my name, anoint (it) with oil, make an offering, (and) return (it) to its place. The god Aššur and the goddess Ištar will (then) hear his prayers.	In the future, may one of the kings, my descendants, whom the god Aššur names for shepherding the land and people, renovate its dilapidated section(s) when that wall becomes old and dilapidated. May he find an inscribed object bearing my name, (viii 70) anoint (it) with oil, make an offering, (and) return (it) to its place. The god Aššur and the goddess Ištar will (then) hear his prayers.
Witness Bel-lamur, scribe.	Witness Barruqu, scribe.
(... ) Aššur-dān, appointee of the god Enlil, vice-regent of Aššur (... ), son of Adad-nārārī (III), appointee of the god Enlil, vice-regent of Aššur (... ), son of Šamšī-Adad (V), (who was) also appointee of the god Enlil and vice-regent of Aššur (... ) :	Shalmaneser, appointee of the god Enlil, vice-regent of Aššur, son of Adad-nārārī (I), appointee of the god Enlil, vice-regent of Aššur, son of Arik-dīn-ili (who was) also appointee of the god Enlil (and) vice-regent of Aššur:
At that time, Nineveh, the exalted cult center, the city loved by the goddess Ištar in which all of the rituals for gods and goddesses are present; the enduring foundation (and) eternal base whose plan had been designed by the stars (lit. “writing”) of the firmament and whose arrangement was made manifest since time immemorial; (65) a sophisticated place (and) site of secret lore in which every kind of skilled craftsmanship, all of the rituals, (and) the secret(s) of the lalgar (cosmic subterranean water) are apprehended; 	At that time, Nineveh, the exalted cult center, the city loved by the goddess Ištar in which all of the rituals for gods and goddesses are present; the enduring foundation (and) eternal base whose plan had been designed by the stars (lit. “writing”) of the firmament and whose arrangement was made manifest since time immemorial; a sophisticated place (and) site of secret lore in which every kind of skilled craftsmanship, all of the rituals, (and) the secret(s) of the lalgar (cosmic subterranean water) are apprehended; 
their names ... 	they came ... 
You ... a pot ... 	You ... two ... 
Witness Ramman-ram.	Witness Sammû-ram.
If the moon's horns at its appearance are pointed: the king will strike down the land of his enemy.	If the moon's horns at its appearance are pointed: the king of Akkad will rule the land wherever he wants.
5 hectares 2 decares, ditto, ... ;	3 hectares 3 decares, the town ... ;
“Should the kamanu-cakes be removed?” Favourable. 	“Should the saplišhu be removed?” Favourable. 
... Ṭurušpâ	... of Ṭurušpâ
If he does not, he shall pay (in) silver according to the market price of Nineveh.	If he does not, he shall pay according to the market price of Nineveh.
he will speak malicious words of evil against Esarhaddon, and make an insurrection or revolt against him.	he will speak malicious words, evil things against Esarhaddon, king of Assyria, and make insurrection and rebellion against him.
... the land to your hands ... 	... the land and ... 
do not ... this ... 	do not ... to you ... 
Witness ... -ila'i, 'third man' of the crown prince.	... manu, 'third man' of the crown prince;
From the booty of those lands that I had plundered, I conscripted 30,000 archers (and) 20,000 shield bearers and added (them) to my royal contingent. (v 20) I divided up the rest of the substantial enemy booty like sheep and goats among my entire camp and my governors, (and) the people of my great cult centers.	From the booty of those lands, I conscripted 30,500 archers (and) 20,200 shield bearers and added (them) to my royal contingent. I divided up the rest of the substantial enemy booty like sheep and goats among my entire camp and my governors, (and) the people of my cult centers.
13 Kushite horses,	4 Kushite horses:
(Property) of Nabû-šumu-libūr, king of the world.	(Property) of Nabû-mukīn-apli, king of the world.
Disregard that an angry man, or one in distress, spoke angrily the words of his report... 	Disregard that an angry, furious man spoke angrily the words of his report... 
Witness Kabtî.	Witness Labaṭî.
Perhaps the king, my lord, will say: "What is the news of Urarṭu?"	Perhaps the king, my lord, will say: "What news is there?"
Adad-... , bodyguard of the crown prince;	NN, bodyguard of the crown prince;
... eans	... and
They argued about the house of Hunanu as long as it existed. Now they are arguing about Kar-Šarrukin. Not a day passes without their quarreling about the spoils.	They argued about the house of Hunanu as long as it existed. Now they are arguing about Kar-Šarrukin... Not a day passes without their quarreling about the spoils.
Witness Nabû-rim-ilani, mayor of Nineveh.	Witness Nabû-belu-uṣur, mayor of Nineveh.
1 tureen of soup.	a tureen of soup.
The 15th: perfect seed;	The 15th day: perfect seed.
Witness Bel-le'i.	Witness Bel-naṣir.
... were received ... 	... I have received ... 
the woman Nikkal-... ;	the woman Nikkal-amat.
Venus ... 	tents ... 
his royal couch, the treasure of his palace, his palace women, his sons and his daughters, 30,000 captives, their cattle  and sheep without number you took as spoils. Four hundred and seventy-six cities in the vicinity you razed, destroyed and burned.	his royal bed, the treasure of his palace, his palace women, his sons and his daughters, 30,000 captives, their cattle and their sheep without number I took as spoil. Four hundred and seventy-six cities in their vicinity I razed, destroyed and burned."
we have ... 	I have ... 
Month Ab (V), 10th day, eponym year of Sagab, governor of Harran (651).	Month Ab (V), 11th day, eponym year of Sagab (651).
Witness NN, cohort commander of the queen.	Witness NN, cohort commander.
A basket of (mixed) fruit.	1 basket of (mixed) fruit.
Witness Ahu-eriba, palace manager.	Witness Ubru-Nabû, palace manager.
... the sartinnu; take ... 	... to the sartinnu ... 
If the moon and sun are in balance: the land will become stable; reliable  speech will be placed in the mouth of people; the king of the land will  make his throne last long.	If the moon and sun are in balance: the land will become stable; reliable speech will be placed in the mouth of people; the king ... will make the throne last long.
The lower part is elevated... 	The upper part is elevated.
which on ... 	which he ... 
Concerning the ... about which the king, my lord, wrote to me:  "Right now ... 	Concerning the ... about which the king, my lord, wrote to me
Belonging to the temple of the god Aššur. Shalmaneser, vice-regent of the god Aššur, son of Adad-nārārī (I) (who was) also vice-regent of the god Aššur, made it at his tākultu.	Belonging to the temple of the god Aššur. Shalmaneser, king of the universe, son of Adad-nārārī (I) (who was) also king of the universe, made it at his tākultu.
portions                            	Issar-šimanni                            
An estate of 4 decares of field ... adjoining Šamaš-kenu-dugul, adjoining ... ,	an estate of 8 decares of field adjoining Lu-balaṭ, adjoining ... 
The 2nd day. Care of Nabû-šarru-uṣur.	The 21st day. Care of Nabû-šarru-uṣur.
... šallim... 	... all ... 
Hanunu and his people, ... ,	Danduru and his people, ... ,
15 ... 	11 ... 
... containing ... 	... constant ... 
Good health to the king, my lord! May DNN bless the king, my lord.	Good health to the king, my lord! May Nabû and Marduk bless the king, my lord!
Witness Rimu'a.	Witness Risaya.
Witness NN, deputy of the palace scribe.	Witness Nabû-dammiq, deputy of the palace scribe.
To the king, my lord: your servant, Nergal-šarrani. Good health to the king, my lord. May Nabû and Marduk bless the king, my lord... 	To the king, my lord: your servant Nabû-zeru-uṣur, the scribe of the palace supervisor. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord.
... Now then the messenger ... 	... their messenger ... 
two ... my servants	... my servant
... up to two days	... two days
Now nothing ... 	Now then ... 
Witness Remanni-ilu.	Witness Immani-il.
Mannu-ki-Arbail has contracted and bought it from Balṭaya for 4 minas of silver (by the mina) of Carchemish.	Nabû'a has contracted and bought him from Sangû-Issar for one mina of silver by the mina of Carchemish.
there are no ... 	they are ... 
The kettledrum (performance)s for the processions of the gods, for the entire year: 	The kettledrum (performance)s for divine processions for the entire year: 
5 whole sheep;	One whole sheep;
... them there	... whether
Witness Nabû-taqqinanni, scribe.	Witness Nabû-nammir, scribe.
... I have dispatched to the king, my lord.	... I gave to the king, my lord.
Atar-yatê, the ... ,	Atar-yatî, ... 
Month Tammuz (IV), 18th day, eponym year of Dananu of Manṣuati.	Month Tammuz (IV), 17th day, eponym year of Zababa-eriba.
they belong to Aššur. The palace manager responsible for ... 	... ; they belong to Aššur. The palace manager responsible for ... 
This is good for the king my lord.	This is doubly good for the king my lord.
the cities Sapīya (Šapīya), Sarrabānu, Larak, Parak-Marri, Bīt-Ilu-bāni, Aḫudu, Ša-iṣṣur-Adad, Šaḫarratu, Manaḫḫu, Ša-amēlê, Dūr-Aqqīya, Nagītu, Nūr-abīnu, Ḫar-Ṣuarra, Dūr-Rukbi, Danda-Ḫulla, Dūr-Bir-Dada, Bīt-Reʾê, Dūr-Ugurri, Ḫindaina, Dūr-Uayyit, Bīt-Taurâ, Sapḫuna, Bu-ḫarru, (45) Ḫarbat-Iddina, Ḫarbat-Kalbi, Ša-barê, Bīt-Bāni-ilūya, Sulādu, Bīt-Iltama-samaʾa, Bīt-Dīni-ili, Daqala, Ḫameza, Bēlā, Tairu, Kiprānu, Iltaratu, Aqqar-ša-kīna, Sagabatu-ša-Mardukīya, altogether 39 fortified cities of the land of the Bīt-Amukāni, together with 350 small(er) settlements in their environs;	the cities Sapīya (Šapīya), Sarrabānu, Larak, Parak-Mar­ri, Bīt-I­lu-bā­ni, A­ḫu­du, Ša-iṣ­ṣur-A­dad, Ša­ḫar­ra­tu, Manaḫḫu, Ša-amēlê, Dūr-Aqqīya, Nagītu, Nūr-abīnu, Ḫar-Ṣuarra, Dūr-Rukbi, Danda-Ḫulla, Dūr-Bir-Dada, Bīt-Reʾê, Dūr-Ugurri, Gindaina, Dūr-Uayyit, Bīt-Taurâ, Sapḫuna, Bu-ḫarru, (45) Ḫarbat-Iddina, Ḫarbat-Kalbi, Ša-barê, Bīt-Bāni-ilūya, Sulādu, Bīt-Iltama-samaʾa, Bīt-Dīni-ili, Daqala, Ḫameza, Bēlā, Tairu, Kip­rā­nu, Il­ta­ra­tu, Aq­qar-ša-kī­na, Sa­ga­ba­tu-ša-Mar­du­kī­ya, altogether 39  fortified walled cities of the land of the Bīt-Amukāni, together with 350 small(er) settlements in their environs;
Witness NN, chariot driver ... 	Witness NN, chariot driver.
... will bring in	... is bringing
into the charge of ... 	to the chief ... 
If the Plough star comes close to Scorpius: the ruler will die by a sting of a scorpion; after him his son will not take the throne; the mind of the land will change, the land will get another lord; the border of the land will not be stable; lamentation of the great gods over the land.	If the Plough star comes close to Scorpius: the ruler will die from a sting of a scorpion, variant: he will be seized in his palace; after him, his son will not take the throne; the mind of the land will change, the land will get another lord and the dwelling of the land will not become stable; lamentation of the great gods for the land. — Mars stands in Scorpius.
Urda-Belet and his people, ... ,	Ṭab-ahhe and his people, ... ,
28 tablets, 10 one-column tablets, Enuma Anu Enlil,	x one-column tablets, Enuma Anu Enlil,
adjoining the road ... 	adjoining the side road of ... 
x trays of cakes	2 trays of cakes;
Now then I am writing to you:	Now then I’m writing to you:
Witness Hara-Dadi, ditto.	Witness Hallabayu, ditto.
The king's word to Bel-eṭir: I am well; you can be glad.	The king's word to the Babylonians: I am well; you can be glad.
... of Chaldea ... 	... of the ... 
Witness Da... , ... of the crown prince.	Witness NN, chief ... of the crown prince.
the hem ... 	with him ... 
Witness Aya-niri.	Witness Ahaṭunri.
I have not ... 	may he not ... 
now the messenger ... 	The messengers ... 
Witness Aššur-šarru-uṣur, cohort commander, son of Ahi-bašte.	Witness Aššur-šarru-uṣur, cohort commander.
To the king, my lord: your servant Bel-iddina: I would gladly die for the king, my lord! May Nabû and Marduk bless the king, my lord! Say to the king, my lord:	Your servant Bel-iqiša: I would gladly die for the king of the universe, my lord! May Nabû and Marduk bless the king, my lord! Say to the king, my lord:
(As for) the one who destroys an inscribed object bearing my name or the name of the father of the father who had engendered me, makes (it) disappear by some crafty device, (or) does not place (it) with an inscribed object bearing his name, may the great gods of heaven and netherworld overthrow his kingship (and) make his name (and) seed disappear from the land.	(As for) the one who destroys an inscribed object bearing my name, the name of Esarhaddon, my father, or (the name of) Sennacherib, my grandfather, (or) does not place (it) with an inscribed object of his (own), may the great gods who reside in heaven and netherworld angrily curse him, overthrow  his kingship, (and) make his name (and) seed disappear from the land.
Satarpānu of the land Barikānu,	Satarpānu of the land Uppuria,
Disregard that he who touches the forehead of the sheep is dressed in his ordinary soiled garments, (or) has touched anything unclean... 	Disregard that he who touches the forehead of the sheep is dressed in his ordinary soiled garments... 
As for the one who removes my inscription and my name: May the goddess Dinitu, my mistress, extinguish his sovereignty, break his weapon, cause his manhood to dwindle away, (and) hand him over to his enemies.	As for the one who removes my inscriptions and my name: May the goddess Dinitu, my mistress, break his weapon (and) hand him over to his enemies.
Ṣalam-šarri-iqbi	... s, Ṣalam-šarri-iqbi,
The coils of the colon are 14 in number. The heart of the ram is normal. Second extispicy... 	The coils of the colon are 14 in number. The heart of the ram is normal... 
x, Arrapha;	25, Arrapha;
... the scholars ... 	... the archers ... 
seal of Bel-... ,	Seal of ... ,
Witness Ahû'a-eriba, chariot driver.	Witness Aššur-šezibanni, chariot driver.
... Assyrian ... 	... Assyrian ... s
... and the people	... and his people,
In all, 2 ... 	in all ... 
59 ditto, ditto, the front ditto, 1 1/3 mina;	... ditto, ditto, the front ditto, 1 1/3 mina;
Month Nisan (I), 23rd day, eponym year of Mari-larim (668). In the Succession Palace.	Month Nisan (I), 4th day, eponym year of NN, in the Succession Palace.
If Adad shouts on a day without clouds: there will be darkness, variant: famine in the land.	If Adad shouts on a cloudless day: there will be darkness, variant: famine in the land.
Be present in this ram, place in it a firm positive answer, and may I see (it)!	Be present in this ram, place (in it) a firm positive answer ... 
To the king, my lord: your servant Issar-šumu-eres. Good health to the king, my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
... the treasurer ... 	... the archers ... 
There are x unfavorable omens.	There are ... unfavorable omens... 
Ba... , son of Šep-... 	... NN, son of ... 
(As for) the rest of his magnates, who had raised their arms because they were terrified of doing battle with me, I captured them alive in the thick of battle. 	(As for) the rest of his magnates, including Nabû-šuma-iškun, a son of Marduk-apla-iddina (II) (Merodach-baladan), who had raised their arms because they were terrified of doing battle with me, I captured them alive in the thick of battle. 
Moreover, (as for) Ṣidqâ, the king of the city Ashkelon who had not bowed down to my yoke, I forcibly removed the gods of his father’s house, himself, his wife, his sons, (ii 90) his daughters, his brothers, (and other) offspring of his father’s house and took him to Assyria. 	Moreover, (as for) Ṣidqâ, the king of the city Ashkelon who had not bowed down to my yoke, I forcibly removed the gods of his father’s house, himself, his wife, his sons, his daughters, his brothers, (and other) offspring of his father’s house and took him to Assyria. 
... they spoke	... they come
Witness ... -apli, scribe.	Witness Nabû-... , scribe.
Haza'-il ... 	... Haza'-il ... 
Disregard that I, the haruspex your servant, am dressed in my ordinary soiled garments, have eaten, drunk or anointed myself with anything unclean, have touched the (libation) beer, the maṣhatu-flour, the water, the container and the fire, have changed or altered the proceedings, or have jumbled the oracle query in my mouth... 	Disregard that I, the haruspex your servant, am dressed in my ordinary soiled garments, have eaten, drunk, or anointed myself with anything unclean, changed or altered the proceedings, or jumbled the oracle query in my mouth... 
Month of Tammuz (IV), 28th day.	Month of Nisan (I), 8th day.
From the booty of those lands that I had plundered, I conscripted 20,000 archers (and) 15,000 shield bearers and added (them) to my royal contingent. I divided up the rest of the substantial enemy booty (v 15) like sheep and goats among my entire camp (and) my governors, (and) the people of my great cult centers.	From the booty of those lands, I conscripted 30,500 archers (and) 20,200 shield bearers and added (them) to my royal contingent. I divided up the rest of the substantial enemy booty like sheep and goats among my entire camp and my governors, (and) the people of my cult centers.
... has contracted and bought them from Šulmu-beli for three minas of silver by the mina of the king.	Balṭayu has contracted and bought them from Na'di-ilu for 8 1/2 minas of silver by the mina of the king.
his words ... 	a word ... 
As for him, Hezekiah, fear of my lordly brilliance overwhelmed him and, after my (departure), he had the auxiliary forces (and) his elite troops whom he had brought inside to strengthen the city Jerusalem, his royal city, thereby gaining reinforcements, (along with) 30 talents of gold, 800 talents of silver, choice antimony, large blocks of ... , ivory beds, armchairs of ivory, elephant hide(s), elephant ivory, ebony, boxwood, garments with multi-colored trim, linen garments, blue-purple wool, red-purple wool, utensils of bronze, iron, copper, tin, (and) iron, chariots, shields, lances, armor, iron belt-daggers, bows and uṣṣu-arrows, equipment, (and) implements of war, (all of) which were without number, together with his daughters, his palace women, male singers, (and) female singers brought into Nineveh, my capital city, and he sent a mounted messenger of his to me to deliver (this) payment and to do obeisance.	As for him, Hezekiah, fear of my lordly brilliance overwhelmed him and, after my (departure), he had the auxiliary forces and his elite troops (iii 35) whom he had brought inside to strengthen the city Jerusalem, his royal city, thereby gaining reinforcements, along with 30 talents of gold, 800 talents of silver, choice antimony, large blocks of ... , ivory beds, armchairs of ivory, elephant hide(s), elephant ivory, ebony, boxwood, every kind of valuable treasure, as well as his daughters, (iii 40) his palace women, male singers, (and) female singers brought into Nineveh, my capital city, and he sent a mounted messenger of his to me to deliver (this) payment and to do obeisance.
I saw ... 	He saw ... 
To aid the gods Bēl (Marduk) and Nabû, lords of mine whose divinity I constantly revered, I mustered my battle troops and set out on the road. He heard about the advance of my expeditionary force and (v 70) (then) fear overwhelmed him and he returned to his (own) land. I went after him (and) brought about his defeat. I drove him away as far as the border of his land. 	To aid the gods Bēl (Marduk) and Nabû, lords of mine whose divinity I constantly revered, I mustered my battle troops and set out on the road. He heard about the advance of my expeditionary force and (then) fear overwhelmed him and he returned to his (own) land. (v 15) I went after him (and) brought about his defeat. I drove him away as far as the border of his land.
was damaged ... 	was delayed ... 
In the course of my campaign, I surrounded, conquered, (and) plundered the cities Bīt-Daganna, Joppa, Banayabarqa, (and) Azuru, the cities of Ṣidqâ that had not submitted to me quickly. (As for) the governors, the nobles, ... 	In the course of my campaign, I surrounded, conquered, (and) plundered the cities Bīt-Daganna, Joppa, Banayabarqa, (and) Azuru, (iii 5') the cities of Ṣidqâ that had not submitted to me quickly.
Disregard that I, the haruspex, your servant, have jumbled the oracle query in my mouth, (or) changed or altered the proceedings... 	Disregard that I, the haruspex your servant, have jumbled the oracle query in my mouth, or changed (or) altered the proceedings... 
of the 11th day... 	the 1xth day ... 
Witness Nabû-tabni-uṣur, city scribe.	Witness Nabû-rehtu-uṣur, scribe.
x mina(s), Ahu-kenu, 1/2 mina ditto;	x mina(s), Harimî, 1/2 mina ditto;
Iyyar (II), 1st day, eponym year of Atar-il, governor of Lahiru.	Month Nisan (I), ... th day, eponym year of Atar-il, governor of Lahiru.
Witness Qua.	Witness Kusayu.
Eṭir-... 	Eṭir-... ;
... the temple ... 	in the temple ... 
I turned around (lit. “I turned the front of my yoke”) and took the road to the land Ellipi. (ii 5'') Before my arrival, Ispabāra, their king, abandoned his fortified cities (and) his treasury and fled far away. I overwhelmed all of his wide land like a fog. I surrounded, conquered, destroyed, devastated, (and) burned with fire the cities Marʾubištu (and) Akkuddu, (ii 10'') cities of his royal house, together with thirty-four small(er) settlements in their environs.	I turned around (lit. “I turned the front of my yoke”) and took the road to the land Ellipi. Before my arrival, Ispabāra, their king, abandoned his fortified cities (and) his treasury and fled far away. I overwhelmed all of his wide land like a fog. I surrounded, conquered, destroyed, devastated, (and) burned with fire the cities Marʾubištu (and) Akkuddu, cities of his royal house, together with thirty-four small(er) settlements in their environs.
... they appoint	... the amount
The king, my lord, should do as he deems best.	The king may happily do as he deems best.
1 ditto — the house ... ,	to the house ... 
This ... Nabû-... 	... Nabû-... 
Will Esarhaddon, king of Assyria, ... be troubled and worried?	Will Esarhaddon, king of Assyria, be troubled and angry?
Aššur-nārārī, vice-regent of the god Aššur, son of Išme-Dagan (II), (who was) also vice regent of the god Aššur:	Aššur-nārārī, vice-regent of the god Aššur, son of Išme-Dagan (II) (who was) also vice-regent of the god Aššur:
In the middle surface of the 'finger' there is a fissure... 	In the middle surface of the 'finger' there is a ... and ... 
(As for) the governors, the nobles, and the people of the city Ekron who had thrown Padî, their king who was bound by treaty and oaths to Assyria, into iron fetters and who had handed him over to Hezekiah of the land Judah in a hostile manner, (iii 10) they became frightened on account of the villainous acts they had committed. They formed a confederation with the kings of Egypt (and) the archers, chariots, (and) horses of the king of the land Meluḫḫa, forces without number, and they came to their aid.	(As for) the governors, the nobles, and the people of the city Ekron (ii 70) who had thrown Padî, their king who was bound by treaty and oaths to Assyria, into iron fetters and who had handed him over to Hezekiah of the land Judah in a hostile manner, they became frightened on account of the villainous acts they had committed. They formed a confederation with the kings of Egypt (and) the archers, chariots, (ii 75) (and) horses of the king of the land Meluḫḫa, forces without number, and they came to their aid.
He shall enjoy the usufruct of the field for three crop years.	He shall have the usufruct (of the field) for a number of years.
belonging to Bahianu, at their disposal. They have taken it as a loan.	(barley) belonging to Bahianu, at their disposal. They have taken it as a loan.
... his ... s 	... as ... 
The money is paid completely. That man is purchased, acquired, paid off, and cleared. Any revocation, lawsuit or litigation is void.	The money is paid completely. That field is purchased and acquired. Any revocation, lawsuit, or litigation is void.
It shall increase 1 shekel of silver per mina.	It will increase 4 shekels of silver per month.
An estate of 2 hectares "thin" (land) adjoining ... 	An estate of one hectare of land adjoining ... 
Palace of Ashurnasirpal, king of the world, king of Assyria, son of Tukultī-Ninurta (II), (who was) also king of the world and king of Assyria.	Palace of Ashurnasirpal, king of the world, king of Assyria, son of Tukultī-Ninurta (II), king of the world, king of Assyria, son of Adad-nārārī (II) (who was) also king of the world and king of Assyria.
... Šamulu, son of NN;	... tu, son of NN
Bel-u... 	Bel-... 
fills ... 	filled ... 
Should Esarhaddon, king of Assyria, appoint the man whose name is written in this papyrus and placed before your great divinity, to the office which is written in this papyrus?	I ask you, Šamaš, great lord, whether, (should) Esarhaddon, king of Assyria, appoint the (man) whose name is written in this papyrus and placed before your great divinity, to the position which is written in this papyrus,
Bit-Zabidi ... 	of Bit-Zabidaya ... 
On the 23rd day the king came down to the House of God. He brought forth a censer and a torch. He performed the sheep offerings before Aššur and Mullissu. He performed those before the gods of heaven.	On the 23rd day the king goes down to the House of God. He illuminates the face. He performs the regular offering before Aššur and Mullissu. He performs one before the gods of heaven.
Hulî, servant of NN —	servants of NN —
shall place 10 minas of silver (and) one mina of gold in the lap of Inurta residing in Calah, and shall return the money tenfold to its owner. He shall contest in his  non-lawsuit and not succeed.	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
Seal of Marduk-napšati-... , owner of the ... being sold.	Seal of ... , owner of the ... being sold.
On the day that he pays the silver, he shall redeem his land.	On the day that he pays the silver, he shall redeem his servant.
Witness Ubbuku.	Witness Ubraku.
... will they attack (him), and kill and plunder him? Will Esarhaddon, king of Assyria, be troubled and angry? Will he who can see, see it? Will he who can hear, hear it?	Will Esarhaddon, king of Assyria, be troubled and angry? Will he who can see, see it? Will he who can hear, hear it?
Witness Nusku-emuranni.	Witness Bel-emuranni.
(As for) the one who alters the work of my hands, mutilates my features (on a relief), obliterates the reliefs that I have engraved (lit.: “engrave”), (or) effaces my own representation(s), may the gods Aššur, Šamaš, Adad, and the gods who dwell there remove his name (and) his descendant(s) from the land and make him live in bondage under his enemy.	(As for) the one who alters the work of my hands, mutilates my features (on a relief), obliterates the reliefs that I have engraved, or effaces my own representation(s), may the gods Sîn, Šamaš, Adad, and the great gods who dwell there remove his name (and) his descendant(s) from the land and make him live in bondage under his enemy.
Moving on from this camp I marched to the cities in the plain of Mount Niṣir which no one had ever seen. I conquered the city Larbusa, the fortified city (iii 5) which (was ruled by) Kirteara, (and) eight cities in its environs. The troops were frightened (and) took to a rugged mountain. The mountain was as jagged as the point of a dagger. The king with his troops climbed up after them. I threw down their corpses within the mountain, massacred 172 of their fighting men, (iii 10) (and) piled up many troops on the precipices of the mountain. I brought back captives, possessions, oxen, (and) sheep from them (and) burnt their cities. I hung their heads on trees of the mountain (and) burnt their adolescent boys. I returned to my camp (and) spent the night.	Moving on from this camp I marched to the cities in the plain of Mount Niṣir which no one had ever seen. I conquered the city Larbusa, the fortified city which (was ruled by) Kirtiara, (and) eight cities in its environs. The troops were frightened (and) took to a rugged mountain. The mountain was as jagged as the point of a dagger. The king with his troops climbed up after them. I threw down their corpses in the mountain, massacred 172 of their fighting-men, (and) piled up many troops on the precipices of the mountain. I brought back captives, possessions, oxen, (and) sheep from them (and) burnt their cities. I hung their heads on trees of the mountain (and) burnt their adolescent boys (and) girls. I returned to my camp (and) spent the night.
Total 26 ... 	Total, 35 ... 
... in the middle ... there is a 'request'-mark... 	... in the middle of the right side, a 'request'-mark ... 
5 urnutu-garments, ditto, ditto, ditto, ... ;	4 urnutu-garments, ditto, ditto, ditto ... ;
he said: "... 	I said: "No ... 
In my tenth regnal year I crossed the Euphrates for the eighth time. <I captured> the cities of Sangara, the Carchemishite. Moving on from the cities of the Carchemishite I approached the cities of Aramu (and) captured Arne, his royal city, together with one hundred cities in its environs.	In my tenth regnal year I crossed the Euphrates for the eighth time. I captured the cities of Sangara, the Carchemishite. I approached the cities of Aramu (and) captured Arnê, his royal city, together with one hundred cities (in its environs).
... we	... wine;
10 shekels of silver ... 	10+x shekels of silver
I heard of this and sent word to Bel-iqbi; he came and we went together to meet the booty. He saw us, ambushed us from behind, and we had a fight. 1,500 booty sheep from the city of Huzaza, 1,500 sheep ... city of ... , ... 2 men ... men ... 	I heard of this and sent word to Bel-iqbi; he came and we went together to meet the booty. He saw us, ambushed us from behind, and we had a fight. 1,500 booty sheep from the city of Huzaza, 1,500 sheep ... city of ... , ... 100 men ... men ... 
10 ditto, in the inner precinct;	1 ditto, in the inner precinct;
When I had seized ... 	When I seized ... 
... watch	... what
Disregard that treachery ... 	Disregard that for ... 
For the god Marduk, his lord: Ashurbanipal, king of the world (and) king of Assyria, for the sake of his life had baked bricks made anew for Etemenanki.	For the god Marduk, his lord: Ashurbanipal, king of the world (and) king of Assyria, son of Esarhaddon, king of the world, king of Assyria, (and) king of Babylon, had baked bricks made anew for Etemenanki.
1 basket of silver;	1 block of silver;
ask ... 	as ... 
Those who entreat ... 	those who enter ... 
1 duck;	1 duck,
Witness Immani-il, ... 	Witness Il-immi, ... 
... in ... ; ... 	... -drink ... ; ... 
As to what the king, my lord, wrote me: "The ... ean who ... 	As to what the king, my lord, wrote to me: "Set out ... !
me ... 	come ... 
he said ... 	heard ... 
... Šamaš	... Kar-Šamaš
