x talents, Sam'al;	x talents, Ṣimirra;
The (eastern) gate overlooking the river is the Gate of the Firmament, its entrance gate is the Entrance-of-the-Igigi Gate.	The Eastern gate overlooking the river is the Gate of the Firmament, its entrance gate is the Entrance-of-the-Igigi Gate.
the king should send ... 	they should sit ... 
1/2 shekel of thyme;	2 shekels of turmeric;
and brought to me ... 	brought me (... )
in all 100+x tablets,	in all 342 tablets,
To the king, my lord: your servant Ila'i-Bel. Good health to the king, my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
... we got scared	... we captured
whether there is ... 	there is ... 
Witness Nabû-ahhe-eriba, scribe, keeper of the tablet.	Witness Nabû-eṭir-napšati, scribe, keeper of the tablet.
Near Nineveh, in the territory of the city Balāṭāya, by divine will, white limestone was discovered in abundance, and (then) I created bull colossi (and) sphinxes of alabaster, and slabs of alabaster, as well as magnificent slabs of breccia. I cut (them) free on both sides from their mountains, and (then), for the construction of my palace, I had (them) dragged into Nineveh.	Near Nineveh, in the territory of the city Balāṭāya, by divine will, white limestone was discovered in abundance, and (then) I created bull colossi and (other) statues with limbs of alabaster that are sculpted from a single stone, (whose) proportions are perfect, (and) who stand high on their own pedestals; sphinxes of alabaster whose features are exquisite (and) whose bodies shine like a brilliant day; (and) magnificent slabs of breccia. I cut (them) free on both sides from their mountains, and (then), for the construction of my palace, I had (them) dragged into Nineveh.
You perform a sheep offering before the Igigi gods and before the bed, make a flour/incense-offering, pour oil, honey, beer and wine, and sing, “... ”	You perform a sheep offering before the Anunnaki gods, make a flour/incense offering, pour oil, honey, beer and wine, and sing, “... ”
... his lord	his lord:
1 piece of baltu-stone for 1.	1 piece of abašmu-stone for one gem;
have not ... ;	may he not ... 
May a later prince restore its ruined (portions) (and) return my inscription to its place. (Then) the gods Aššur (and) Adad, the great gods, will listen to his prayers. May he return my clay cone to its place.	May a later prince restore its weakened (portions) and return my inscription to its place. (Then) Aššur, the god Anu, and the god Adad will listen to his prayers. May he return my clay cone to its place.
In the future may a later prince, when that site becomes old and dilapidated, repair it. May he restore my monumental inscription (and) my inscribed name to its place. (Then) the god Aššur will listen to his prayers.	In the future may a later prince, when that temple becomes dilapidated and he renovates (it), anoint my monumental inscriptions with oil, make a sacrifice, and return (them) to their places. (Then) the god Šamaš will listen to his prayers.
Concerning the wall of the Nergal temple of Cutha about which I wrote to the king, my lord: 	Concerning the elephant skin about which I wrote to the king, my lord, ... 
Witness Remanni-ilu.	Witness Immani-il.
total, 5 horse trainers of the king's chariots.	Dadî, horse trainer of the open chariotry
who ... have lifted ... from my presence	... agreeable ... from my presence
... on	... once
In the course of my campaign, I surrounded, conquered, (and) plundered the cities Amatu, Ḫauae, Supapu, Nuqabu, Bīt-Sannabi, Qudayyin, Kidrina, Dūr-Ladini, Bitāti, (and) Bānītu, the land Guzummānu, the cities Dūr-Yanṣuri, Dūr-Abī-Yataʾ, Dūr-Rudumme, Bīt-Raḫê, Ḫapiša, Sadian, Ḫurudu, Ṣaḫrina, Iltuk, Allallu, Marad, Yaqimuna, Kupruna, Bīt-Kudurri, Sūqa-Marusi, altogether 33 fortified cities, fortresses of the land of the Bīt-Dakkūri, together with 250 small(er) settlements in their environs;	In the course of my campaign, I surrounded, conquered, (and) plundered the cities Amatu, Ḫauae, Supapu, Bīt-Sannabi, Qudayyin, Kidrina, Dūr-Ladini, Bitāti, Bānītu, Guzummānu, Dūr-Yanṣuri, Dūr-Abī-Yataʾ, Dūr-Rudumme, Bīt-Raḫê, Ḫapiša, Sadian, Ḫurudu, Ṣaḫrina, Iltuk, Allallu, Sabḫānu, Kār-Nergal, Apak, Bīt-Dannāya, Bīt-Abdāya, Baḫir, Marirâ, Marad, Yaqimuna, Kupruna, Bīt-Kudurri, Sūqa-Marusi, altogether 34 fortified walled cities of the land of the Bīt-Dakkūri, together with 250 small(er) settlements in their environs;
... bowls ... ,	... to ... 
... "Otherwise you ... 	... these ... 
A built house with its beams and doors, ... 	A built house with its beams,
x teams of horses:	... a team of horses
Witness Adad-milki-... 	Witness Adad-... 
Witness Puhrati-Issar.	Witness Habur-Issar.
An estate of 5 decares ... adjoining ... 	an estate of 2 decares adjoining ... and a wadi;
eat bread ... 	heard ... 
x minas of red wool, 25 minas of black wool ... ;	In all, 26 minas of red wool, 26 minas of black.
An estate of 15 hectares of land adjoining the road which leads (from) the village of Dannayato the village of Ildiši and adjoining ... ;	an estate of 4 hectares of land adjoining the road which leads from the village of Dannaya to the village of ... , a total of 5 (hectares) adjoining the field of Išmanni-... 
... to the land A... 	... of the ... 
... the land of Halzi	... the land of Sūḫu 
returned.	return,
... the ship ... 	... these ... 
... for the second time ... 	... or the chariot men ... 
... said ... 	... s to ... 
Witness Abnanu.	Witness Saklu.
30 talents, Que;	30 talents, Arpad;
... eats me up ... 	... you move up ... "
Why ... the horses ... ?	... horses ... 
... he wrote ... 	... who ... 
... Now from ... 	... who ... 
... Nabû'aya.	... Nabû
On its side ... 	... is said ... 
Nabû-nadin-apli;	Nabû-nadin-šumi;
14 mares.	4 mares.
Eri... —	... —
3 ... -garments ... ;	1 ... -garment ... ,
very much; a golden star ornament ... 	under the golden star ornament ... 
... city gate	... city
I ask you, Šamaš, great lord, whether Assurbanipal, king of Assyria,	... I ask you, Šamaš, great lord, whether Esarhaddon, king of Assyria, should ... 
Stand by and ... 	and the land ... 
... Ariye	... rises
x+20 hectares of land in the town ... 	x hectares of land ... 
in all 3 farmers; ... 	in all 6 farmers.
... to drink blood ... 	... our lord ... 
... them ... and	... these ... 
I have blocked ... 	I have hauled ... 
saying: "... , the ‘mule house man' ... 	... the 'mule-house man' ... 
the 23rd day in front of Gula ... ;	the xth day in front of Marduk ... ;
Babylon for/to ... ,	Babylon ... 
To the palace scribe, my lord: your servant Nahiši, the ... 	To the king, my lord: your servant Nadin... 
... I said: "... to	... I and ... 
— The 15th day (means) the Westland and ... 	The 15th day means the Westland.
An estate of 5 decares of field adjoining Ṭab-Bel, adjoining Susî.	An estate of 1 hectare of field adjoining ... , adjoining ... 
Witness Hara-Dadi.	Witness Hana-kiṣir.
Witness Luqu, ... 	Witness ... 
The king should know all this!	... The king should know it.
Concerning what the king, my lord, previously wrote to me ... 	Concerning what the king, my lord, wrote to me: "... "
32 sheaves — Nuraya	2 sheaves — Aplaya
Shalmaneser, king of all people, prince, vice-regent of Aššur, strong king, king of Assyria, king of all the four quarters, sun(god) of all people, (15) ruler of all lands, the king (who is the) desired object of the gods, chosen of the god Enlil, trustworthy appointee of Aššur, attentive prince, who has seen remote and rugged regions, who has trodden upon the mountain peaks in all the highlands, receiver of booty (20) and tax from all the (four) quarters, who opens paths above and below, at whose strong attack for combat the (four) quarters are distressed... 	Shalmaneser, king of all people, prince, vice-regent of Aššur, strong king, king of all (5) the four quarters, sun(god) of all people, ruler of all lands, king, desired object of the gods, chosen of the god Enlil, (10) trustworthy appointee of Aššur, attentive prince, who has seen remote and rugged regions, who has trodden upon the mountain peaks in all the highlands, receiver of booty (and) tax from all the (four) quarters, who opens paths above and below, at whose strong attack for combat (15) the (four) quarters are distressed (and) cities convulsed, strong male who acts with the support of Aššur (and) the god Šamaš, the gods his allies, and has no rival among the princes of the four quarters, magnificent king of lands, who has kept progressing by difficult ways through mountains and seas;
Nemed-Issar             	Sangu-Issar             
“The God Ea Is the One Who Properly Directs (Water Flow into) My Cisterns”: (this is) the Mašqû Gate. (vii 65) “The One Who Brings in Income from the Settlements”: (this is) the Quay Gate. “The One Who Regulates Everything”: (this is) the Armory Gate. In total, three gates (facing) towards the west (and) I gave them (these) names.	“The God Ea Is the One Who Properly Directs (Water Flow into) My Cisterns”: (this is) the Mašqû Gate. (vii 95) “The One Who Brings in Income from the Settlements”: (this is) the Quay Gate. “The Presents of the People of Sumuʾel and Tēma (viii 1) Enter Through It”: (this is) the Desert Gate. “The One Who Regulates Everything”: (this is) the Armory Gate. “The God Šarur Is the One Who Cuts Down the King’s Enemy”: (this is) the Ḫandūru Gate. In total, five gates (facing) towards the west (and) I gave them (these) names.
There is a 'weapon'-mark on the right side of the 'turban' of the lung and it faces upward... 	If there is a 'weapon'-mark on the right side of the 'turban' of the lung and it faces upward: the gods of my army will abandon it... 
Witness Sunu... 	Witness ... 
The horses ... 	here ... 
any ... 	and you ... 
... two feet	... who went
Witness Dunqi-Issar.	Witness Habur-Issar.
... let them enter ... and	... the letter ... 
15 cavalry mounts:	17 cavalry mounts,
If cloudbanks lie in the path of the sun: the gods will make a favorable decision about the land.	If the moon is not seen: the gods will make an unfavorable decision about the land.
The line count of the inscription is 71 (lines). Sibūti, eponymy of Nabû-lēʾi, governor of the city Arbela (702).	The line count of the inscription is 63 (lines). Sibūti, eponymy of Nabû-lēʾi, governor of the city Arbela (702).
In the future, one of the kings, my descendants, whom the god Aššur and the goddess Ištar name for shepherding the land and (vi 55) people — when that palace becomes old and dilapidated, may a future ruler renovate its dilapidated section(s) when that palace becomes old and dilapidated. May he find an inscribed object bearing my name, anoint (it) with oil, make an offering, (and) return (it) to its place. The god Aššur and the goddess Ištar will (then) hear his prayers.	In the future, may one of the kings, my descendants, whom the god Aššur names for shepherding the land and people, renovate its dilapidated section(s) when that wall becomes old and dilapidated. May he find an inscribed object bearing my name, (viii 70) anoint (it) with oil, make an offering, (and) return (it) to its place. The god Aššur and the goddess Ištar will (then) hear his prayers.
I shall write to the king, my lord, ... whatever it is.	I have written to the king, my lord ... 
... this news,	... this man
Witness Bel-lamur, scribe.	Witness Azi-il, scribe.
(... ) Aššur-dān, appointee of the god Enlil, vice-regent of Aššur (... ), son of Adad-nārārī (III), appointee of the god Enlil, vice-regent of Aššur (... ), son of Šamšī-Adad (V), (who was) also appointee of the god Enlil and vice-regent of Aššur (... ) :	Shalmaneser, appointee of the god Enlil, vice-regent of Aššur, son of Adad-nārārī (I), appointee of the god Enlil, vice-regent of Aššur, son of Arik-dīn-ili (who was) also appointee of the god Enlil (and) vice-regent of Aššur:
At that time, Nineveh, the exalted cult center, the city loved by the goddess Ištar in which all of the rituals for gods and goddesses are present; the enduring foundation (and) eternal base whose plan had been designed by the stars (lit. “writing”) of the firmament and whose arrangement was made manifest since time immemorial; (65) a sophisticated place (and) site of secret lore in which every kind of skilled craftsmanship, all of the rituals, (and) the secret(s) of the lalgar (cosmic subterranean water) are apprehended; 	At that time, Nineveh, the exalted cult center, the city loved by the goddess Ištar in which all of the rituals for gods and goddesses are present; the enduring foundation (and) eternal base whose plan had been designed by the stars (lit. “writing”) of the firmament and whose arrangement was made manifest since time immemorial; a sophisticated place (and) site of secret lore in which every kind of skilled craftsmanship, all of the rituals, (and) the secret(s) of the lalgar (cosmic subterranean water) are apprehended; 
their names ... 	there is ... 
You ... a pot ... 	... all not ... 
Witness Ramman-ram.	Witness Immani-il.
If the moon's horns at its appearance are pointed: the king will strike down the land of his enemy.	If the moon's horns at its appearance are very pointed: the king will knock down wherever he wants to subdue.
5 hectares 2 decares, ditto, ... ;	3 hectares 3 decares, the town ... ;
To the king, my lord: your servant Marduk-šakin-šumi. The best of  health to the king, my lord! May Nabû and Marduk bless the king, my  lord! May Ištar of Arbela give happiness and health to the king, my  lord! May she sate the king, my lord, with old age and fullness of life!  May she present the king, my lord, with long-lasting days!	To the king, my lord: your servant Marduk-šakin-šumi. The best  of health to the king, my lord! May Nabû and Marduk bless the king,  my lord! May they sate the king, my lord, with old age and fullness of life!
“Should the kamanu-cakes be removed?” Favourable. 	“Should the saplišhu be removed?” Favourable. 
... Ṭurušpâ	... of Ṭurušpâ
If he does not, he shall pay (in) silver according to the market price of Nineveh.	If he does not, he shall pay according to the market price of Nineveh.
he will speak malicious words of evil against Esarhaddon, and make an insurrection or revolt against him.	he will speak malicious words, evil things against Esarhaddon, king of Assyria, and make insurrection and rebellion against him.
... the land to your hands ... 	... the land of Raši ... 
do not ... this ... 	... his ... 
He pours ... beer, (while) he sings, “... of the army.”	He pours ... , (while) he sings, “Awesome queen.”
Witness ... -ila'i, 'third man' of the crown prince.	Witness Rapi', 'third man' of the palace.
Umban-kidinni             	Qarnini             
From the booty of those lands that I had plundered, I conscripted 30,000 archers (and) 20,000 shield bearers and added (them) to my royal contingent. (v 20) I divided up the rest of the substantial enemy booty like sheep and goats among my entire camp and my governors, (and) the people of my great cult centers.	From the booty of those lands, I conscripted 30,500 archers (and) 20,200 shield bearers and added (them) to my royal contingent. I divided up the rest of the substantial enemy booty like sheep and goats among my entire camp and my governors, (and) the people of my cult centers.
shall place 10 minas of refined silver (and) one mina of pure gold in  the lap of Ninurta residing in Calah.	shall place ... mina of pure gold in the lap of Ninurta residing in Calah.
13 Kushite horses,	4 Kushite horses:
(Property) of Nabû-šumu-libūr, king of the world.	(Property) of Adad-apla-iddina, king of the world.
Disregard that an angry man, or one in distress, spoke angrily the words of his report... 	Disregard that an angry, furious man spoke angrily the words of his report... 
Witness Kabtî.	Witness Kusayu.
Perhaps the king, my lord, will say: "What is the news of Urarṭu?"	Perhaps the king, my lord, will say: "Why are they assembling troops?"
Adad-... , bodyguard of the crown prince;	NN, bodyguard of the crown prince;
... eans	... Luhuteans
Total, in the town of ... butu near the town of Galali.	Total, (in) the town of Yanatâ, near the town of Haurina.
They argued about the house of Hunanu as long as it existed. Now they are arguing about Kar-Šarrukin. Not a day passes without their quarreling about the spoils.	They argued about the house of Hunanu as long as it existed. Now they are arguing about Kar-Šarrukin... Not a day passes without their quarreling about the spoils.
Witness Nabû-rim-ilani, mayor of Nineveh.	Witness Nabû-šarrani, city overseer of Nineveh.
1 tureen of soup.	a tureen of soup.
The 15th: perfect seed;	The 15th day: perfect seed.
Witness Bel-le'i.	Witness Bel-kibsi-ila'i.
... were received ... 	... I have received ... 
the woman Nikkal-... ;	the woman Nikkal-amat.
Venus ... 	tents ... 
his royal couch, the treasure of his palace, his palace women, his sons and his daughters, 30,000 captives, their cattle  and sheep without number you took as spoils. Four hundred and seventy-six cities in the vicinity you razed, destroyed and burned.	his royal bed, the treasure of his palace, his palace women, his sons and his daughters, 30,000 captives, their cattle and their sheep without number I took as spoil. Four hundred and seventy-six cities in their vicinity I razed, destroyed and burned."
we have ... 	when ... 
Month Ab (V), 10th day, eponym year of Sagab, governor of Harran (651).	Month Tishri (VII), 11th day, eponym year of Sagab (651).
Witness NN, cohort commander of the queen.	Witness NN, cohort commander.
A basket of (mixed) fruit.	1 basket of (mixed) fruit.
Witness Ahu-eriba, palace manager.	Witness Ubru-Nabû, palace manager.
... the sartinnu; take ... 	... to the sartinnu ... 
If the moon and sun are in balance: the land will become stable; reliable  speech will be placed in the mouth of people; the king of the land will  make his throne last long.	If the moon and sun are in balance: the land will become stable; reliable speech will be placed in the mouth of people; the king ... will make the throne last long.
The lower part is elevated... 	The upper part is elevated.
which on ... 	who ... 
Concerning the ... about which the king, my lord, wrote to me:  "Right now ... 	... about which the king, my lord wrote me: "... "
Belonging to the temple of the god Aššur. Shalmaneser, vice-regent of the god Aššur, son of Adad-nārārī (I) (who was) also vice-regent of the god Aššur, made it at his tākultu.	Belonging to the temple of the god Aššur. Shalmaneser, king of the universe, son of Adad-nārārī (I) (who was) also king of the universe, made it at his tākultu.
portions                            	Issar-šimanni                            
x ... ditto, the front black;	... ditto, red (and) black;
An estate of 4 decares of field ... adjoining Šamaš-kenu-dugul, adjoining ... ,	An estate of 1 hectare of field adjoining ... , adjoining ... 
The 2nd day. Care of Nabû-šarru-uṣur.	eponym year of Nabû-šarru-uṣur.
... šallim... 	... fallow ... 
Hanunu and his people, ... ,	Danduru and his people, ... ,
15 ... 	4 ... 
... containing ... 	... king ... 
Good health to the king, my lord! May DNN bless the king, my lord.	Good health to my lord! May Nabû (and) Marduk bless the king, my  lord!
Witness Rimu'a.	Witness Ninuayu.
Witness NN, deputy of the palace scribe.	Witness Nabû'a, deputy of the tracker.
To the king, my lord: your servant, Nergal-šarrani. Good health to the king, my lord. May Nabû and Marduk bless the king, my lord... 	To the king, my lord: your servant Nabû-naṣir. May Nabû and  Marduk bless the king, my lord!
... Now then the messenger ... 	of the messenger ... 
two ... my servants	... servants
... up to two days	... two days
Now nothing ... 	of the king ... 
... -šumu-ukin, gate-guard;	... me, gate-guard;
Witness Remanni-ilu.	Witness Immani-il.
Mannu-ki-Arbail has contracted and bought it from Balṭaya for 4 minas of silver (by the mina) of Carchemish.	NN has contracted and bought from NN for x minas of silver by the mina of ... 
there are no ... 	... there is no ... 
... the nešakku-priest ... 	... the harvest ... 
The kettledrum (performance)s for the processions of the gods, for the entire year: 	The kettledrum (performance)s for divine processions for the entire year: 
5 whole sheep;	One whole sheep;
... them there	... together
I consulted ... 	I lifted ... 
Witness Nabû-taqqinanni, scribe.	Witness Nabû-bel-šumati, scribe.
... I have dispatched to the king, my lord.	... the father of the king, my lord
Witness Na'id-Aššur, architect.	Witness Batiti, architect.
By the command of the gods Aššur, Anu, and AIdad, the great gods, my lords, ... in pursuit of the Arameans, which twice in one year I crossed the Euphrates. I brought about their defeat from the city Anat of the land Sūḫu and the city Tadmar as far as the city Rapiqu of Karduniaš (Babylonia). I brought their tribute and tax to my city Aššur. The ... -daiu, Sutu, ... miraiu, who live at the foot of Mount Lebanon ... in rafts (made of inflated) goatskins I crossed the Euphrates. I conquered the city ... which (is) on the opposite bank of the Euphrates, (on the River Saggurru). At that time the region of the Aḫlamu which ... the city Mi... 	By the command of the gods Aššur (and) Adad, the great gods, my lords, ... in pursuit of the Arameans, which twice in one year I crossed the Euphrates. The Sutu, Naa... who live at the foot of Mount Lebanon ... in rafts (made of inflated) goatskins I crossed the Euphrates. I conquered the city ... which (is) (on the opposite bank of the Euphrates), on the River Saggurru. At that time the region of the Aḫlamu which ... numerous ... 
Atar-yatê, the ... ,	Atar-yatî, ... 
Month Tammuz (IV), 18th day, eponym year of Dananu of Manṣuati.	Month Tammuz (IV), 15th day, eponym year of Sennacherib, king of Assyria.
they belong to Aššur. The palace manager responsible for ... 	... ; they belong to Aššur. The palace manager responsible for ... 
Previously ... 	... previous ... 
This is good for the king my lord.	This is doubly good for the king my lord.
the cities Sapīya (Šapīya), Sarrabānu, Larak, Parak-Marri, Bīt-Ilu-bāni, Aḫudu, Ša-iṣṣur-Adad, Šaḫarratu, Manaḫḫu, Ša-amēlê, Dūr-Aqqīya, Nagītu, Nūr-abīnu, Ḫar-Ṣuarra, Dūr-Rukbi, Danda-Ḫulla, Dūr-Bir-Dada, Bīt-Reʾê, Dūr-Ugurri, Ḫindaina, Dūr-Uayyit, Bīt-Taurâ, Sapḫuna, Bu-ḫarru, (45) Ḫarbat-Iddina, Ḫarbat-Kalbi, Ša-barê, Bīt-Bāni-ilūya, Sulādu, Bīt-Iltama-samaʾa, Bīt-Dīni-ili, Daqala, Ḫameza, Bēlā, Tairu, Kiprānu, Iltaratu, Aqqar-ša-kīna, Sagabatu-ša-Mardukīya, altogether 39 fortified cities of the land of the Bīt-Amukāni, together with 350 small(er) settlements in their environs;	the cities Sapīya (Šapīya), Sarrabānu, Larak, Parak-Mar­ri, Bīt-I­lu-bā­ni, A­ḫu­du, Ša-iṣ­ṣur-A­dad, Ša­ḫar­ra­tu, Manaḫḫu, Ša-amēlê, Dūr-Aqqīya, Nagītu, Nūr-abīnu, Ḫar-Ṣuarra, Dūr-Rukbi, Danda-Ḫulla, Dūr-Bir-Dada, Bīt-Reʾê, Dūr-Ugurri, Gindaina, Dūr-Uayyit, Bīt-Taurâ, Sapḫuna, Bu-ḫarru, (45) Ḫarbat-Iddina, Ḫarbat-Kalbi, Ša-barê, Bīt-Bāni-ilūya, Sulādu, Bīt-Iltama-samaʾa, Bīt-Dīni-ili, Daqala, Ḫameza, Bēlā, Tairu, Kip­rā­nu, Il­ta­ra­tu, Aq­qar-ša-kī­na, Sa­ga­ba­tu-ša-Mar­du­kī­ya, altogether 39  fortified walled cities of the land of the Bīt-Amukāni, together with 350 small(er) settlements in their environs;
... they stay ... his ... 	... they say ... 
Witness NN, chariot driver ... 	Witness NN, chariot driver.
... will bring in	... is bringing
into the charge of ... 	to the chief ... 
Total 5 1/2 minas 2 shekels... 	total 7 1/2 minas ... 
deported ... of	or deportees ... 
... sâ, his son,	... his sons
If the Plough star comes close to Scorpius: the ruler will die by a sting of a scorpion; after him his son will not take the throne; the mind of the land will change, the land will get another lord; the border of the land will not be stable; lamentation of the great gods over the land.	If the Plough star comes close to Scorpius: the ruler will die from a sting of a scorpion, variant: he will be seized in his palace; after him, his son will not take the throne; the mind of the land will change, the land will get another lord and the dwelling of the land will not become stable; lamentation of the great gods for the land. — Mars stands in Scorpius.
Witness Mannu-ki-Adad, porter.	Witness Mannu-ki-Aššur.
Urda-Belet and his people, ... ,	Danduru and his people, ... ,
28 tablets, 10 one-column tablets, Enuma Anu Enlil,	x one-column tablets, Enuma Anu Enlil,
adjoining the road ... 	adjoining the field of ... ,
x trays of cakes	2 trays of cakes;
Now then I am writing to you:	Now then I’m writing to you:
Witness Hara-Dadi, ditto.	Witness Arbailayu, ditto.
The king's word to Bel-eṭir: I am well; you can be glad.	The king's word to the Babylonians: I am well; you can be glad.
... of Chaldea ... 	... of the ... 
30 Kushite horses from Parsua,	11 Kushite horses from Arrapha;
Witness Da... , ... of the crown prince.	Witness NN, servant of the crown prince.
the hem ... 	whether ... 
Witness Aya-niri.	Witness Ahaṭunri.
I have not ... 	may he not ... 
Qabaya ... 	... Zabaya ... 
now the messenger ... 	your messenger ... 
Witness Aššur-šarru-uṣur, cohort commander, son of Ahi-bašte.	Witness Nabû-šarru-uṣur, cohort commander of ditto.
To the king, my lord: your servant Bel-iddina: I would gladly die for the king, my lord! May Nabû and Marduk bless the king, my lord! Say to the king, my lord:	To the king, my lord: your servant Nabû-ahhe-eriba. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord!
Month Kislev (IX), 26th day, eponym year of Bel-dan, governor of Calah, during his second term.	Month ... , 6th day, eponym year of Bel-dan, during his second term.
(As for) the one who destroys an inscribed object bearing my name or the name of the father of the father who had engendered me, makes (it) disappear by some crafty device, (or) does not place (it) with an inscribed object bearing his name, may the great gods of heaven and netherworld overthrow his kingship (and) make his name (and) seed disappear from the land.	(As for) the one who destroys an inscribed object bearing my name or the name of Esarhaddon, my father, (or) does not place (it) with an inscribed object of his (own), (x 25''') may the gods who reside in heaven and netherworld angrily curse him, overthrow  his kingship, (and) make his name (and) seed disappear from the land.
In my twelfth regnal year I moved out from Nineveh (and) crossed the Euphrates for the tenth time. I marched to the land Paqaraḫubunu, (where) the people became frightened (and) took to a rugged mountain. I besieged (and) captured the mountain peak. I massacred them (and) (iii 20) brought plunder and possessions of theirs down from the mountain.	In my twelfth regnal year I crossed the Euphrates for the tenth time (and) marched to the city Paqaraḫubunu. The people took to a rugged mountain. I massacred them (and) brought plunder (and) possessions of theirs down from the mountain. 
Satarpānu of the land Barikānu,	Satarpānu of the land Uppuria,
Disregard that he who touches the forehead of the sheep is dressed in his ordinary soiled garments, (or) has touched anything unclean... 	Disregard that he who touches the forehead of the sheep is dressed in his ordinary soiled garments... 
As for the one who removes my inscription and my name: May the goddess Dinitu, my mistress, extinguish his sovereignty, break his weapon, cause his manhood to dwindle away, (and) hand him over to his enemies.	As for the one who removes my inscriptions and my name: May the goddess Dinitu, my mistress, break his weapon (and) hand him over to his enemies.
Ṣalam-šarri-iqbi	... s, Ṣalam-šarri-iqbi,
The coils of the colon are 14 in number. The heart of the ram is normal. Second extispicy... 	The breast-bone is thick. The coils of the colon are 16 in number. The heart of the ram is normal. Check-up... 
x, Arrapha;	25, Arrapha;
If the moon is not seen with the sun on the 14th of Tammuz (IV): the king will be shut up in his palace.	If the moon in Tammuz (IV) is seen with the sun neither on the 14th nor on the 15th day: the king will be shut up in his palace.
... the scholars ... 	... the troops ... 
seal of Bel-... ,	Seal of ... ,
Witness Ahû'a-eriba, chariot driver.	Witness NN, chariot driver.
... Assyrian ... 	... Assyrian ... s
... and the people	... and his people,
In all, 2 ... 	I shall go ... 
59 ditto, ditto, the front ditto, 1 1/3 mina;	... ditto, ditto, the front ditto, 1 1/3 mina;
Month Nisan (I), 23rd day, eponym year of Mari-larim (668). In the Succession Palace.	Month Nisan (I), 4th day, eponym year of NN, in the Succession Palace.
If Adad shouts on a day without clouds: there will be darkness, variant: famine in the land.	If Adad shouts on a cloudless day: there will be darkness, variant: famine in the land.
... (and) chosen ... 	... and shall send ... 
Be present in this ram, place in it a firm positive answer, and may I see (it)!	Be present in this ram, place (in it) a firm positive answer ... 
To the king, my lord: your servant Issar-šumu-eres. Good health to the king, my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
... the treasurer ... 	... these ... 
There are x unfavorable omens.	There are ... unfavorable omens... 
... he (a eunuch of mine) plundered (those cities) and brought (that booty) to the land Ḫatti (Syria-Palestine), before me. I settled 600 captives of the city Amlatu of the (tribe) Damunu (and) 5,400 captives of the city Bīt-Dērāya in the cities Kunalīa, ... , Ḫuzarra, Tae, Tarmanazi, Kulmadara, Ḫatatirra, (and) Irgillu, cities of the land Unqi. 	I settled 600 captives of the city Amlatu of the (tribe) Damunu (and) 5,400 captives of the city Dēr (Bīt-Dērāya) in the cities Kunalīa, ... , Ḫuzarra, Tae, Tarmanazi, Kulmadara, Ḫatatirra, (and) Irgillu, (5) cities of the land Unqi. 
Ba... , son of Šep-... 	... maš, son of Sa... 
(As for) the rest of his magnates, who had raised their arms because they were terrified of doing battle with me, I captured them alive in the thick of battle. 	(As for) the rest of his magnates, including Nabû-šuma-iškun, a son of Marduk-apla-iddina (II) (Merodach-baladan), who had raised their arms because they were terrified of doing battle with me, I captured them alive in the thick of battle. 
Moreover, (as for) Ṣidqâ, the king of the city Ashkelon who had not bowed down to my yoke, I forcibly removed the gods of his father’s house, himself, his wife, his sons, (ii 90) his daughters, his brothers, (and other) offspring of his father’s house and took him to Assyria. 	Moreover, (as for) Ṣidqâ, the king of the city Ashkelon who had not bowed down to my yoke, I forcibly removed the gods of his father’s house, himself, his wife, his sons, his daughters, his brothers, (and other) offspring of his father’s house and took him to Assyria. 
... they spoke	... they come
Witness ... -apli, scribe.	Witness Azi-il, scribe.
Haza'-il ... 	... Haza'-il ... 
1 male sheep of NN, the governor of Mazamua.	1 male sheep — of Bel-naṣir, the governor of Calah.
Disregard that I, the haruspex your servant, am dressed in my ordinary soiled garments, have eaten, drunk or anointed myself with anything unclean, have touched the (libation) beer, the maṣhatu-flour, the water, the container and the fire, have changed or altered the proceedings, or have jumbled the oracle query in my mouth... 	Disregard that I, the haruspex your servant, am dressed in my ordinary soiled garments, have eaten, drunk, or anointed myself with anything unclean, changed or altered the proceedings, or jumbled the oracle query in my mouth... 
Month of Tammuz (IV), 28th day.	Month of Nisan (I), 8th day.
From the booty of those lands that I had plundered, I conscripted 20,000 archers (and) 15,000 shield bearers and added (them) to my royal contingent. I divided up the rest of the substantial enemy booty (v 15) like sheep and goats among my entire camp (and) my governors, (and) the people of my great cult centers.	From the booty of those lands, I conscripted 30,500 archers (and) 20,200 shield bearers and added (them) to my royal contingent. I divided up the rest of the substantial enemy booty like sheep and goats among my entire camp and my governors, (and) the people of my cult centers.
... has contracted and bought them from Šulmu-beli for three minas of silver by the mina of the king.	NN has contracted and bought from NN for x minas of silver by the mina of ... 
his words ... 	holds ... 
