x talents, Sam'al;	x talents, Ṣimirra;
I opened up a foundation pit for the outer wall, Badnigerimḫuluḫa, (which means) “Terrorizer of Enemies,” then ... (vii 45') Until I had (it) reach the water table, I dug down into the water forty-five nindanu, then I bound together strong mountain stone below and above I expertly carried out its construction with large limestone (blocks) up to its copings.	I opened up a foundation pit for the outer wall, Badnigerimḫuluḫa, (which means) “Terrorizer of Enemies,” then I dug down forty-five nindanu and made (it) reach the water table. I bound together strong mountain stone in the water below and above I expertly carried out its construction with large limestone (blocks) up to its copings.
Nirgî             	Babilayu             
... of the royal road ... 	... of the king, my lord ... 
Remanni-Adad, chariot driver of the king, has contracted and bought him from Mušezib-Marduk for 1 1/2 minas (of silver) by the (mina) of the king.	Zazî, eunuch of the king, has contracted and bought it from Eṭir-Marduk for 5 3/4 minas of silver by the mina of the merchant.
x cans of beer	x cans of oil,
x+1 ditto-garment, ditto, the front ... 	x urnutu-garments, ditto, ditto ... ;
tribute of the month of ... 	... of the month ... 
Witness Kiṣir-Aššur, ditto.	Witness Šar-Aššur.
Witness Nabû-kenu-balliṭ.	Witness Nabû-zeru-... 
... they have given me	... I have given ... 
In order to be able to draw water by bucket every day, I had bronze wire chains and bronze cables made and, instead of poles, I had tree trunks and date palm(s) of copper placed over wells.	In order to be able to draw water by bucket every day, I had bronze wire chains and bronze cables made and, instead of poles, I had tree trunks together with date palm(s) of copper placed over wells.
Tarhundapî has contracted and bought him for 32 shekels of silver.	Puṭi-athiš has contracted and bought him for 10 shekels of silver to be his son.
Witness Ahi-ila'i.	Witness Azi-il, scribe.
Ditto by all the gods of Sumer and Akkad!	Ditto by all the gods of Nineveh!
The Lady of Babylon, who has black wool on her back and red wool on her front, ... The red wool on her front is the blood of the heart which was shed.	The Lady of Babylon who has black wool on her back and red wool on her front ... : the red wool on her front is blood of the heart which was shed ... 
1 hectare in a meadow adjoining the fields of Addî and Šamaš-iqiša;	6 decares of land adjoining the road to Kar-Issar and the fields of Addî and Šamaš-iqiša;
6 temple stewardesses ... ;	the temple steward ... 
I together with ... 	... treaty with ... 
the exempts ... 	to the teams ... 
40 hectares of land in the town of Ṣelâ, assigned to Kalhayu, the ša šepi guard(sman).	40 hectares of land in the town of Apiani, assigned to Barbiri, the Gurrean ... 
... resting place	... in its place
Witness Na'nu, ... 	Witness ... 
... as on the first day	... around the city
Babylon, ... 	... Babylon ... 
2 (cuts of) salted meat,	7 (cuts of) meat;
220, the cupbearer(s).	220, the cupbearer(s);
Palace of Sennacherib, king of Assyria. Whoever erases my inscribed name (or) places (it) in the service of a god (or another) person, may the deities ... , Šamaš, Adad, ... , (and) Nergal make his name (and) his seed disappear. Booty of the city Dumetu.	Palace of Sennacherib, king of Assyria. Whoever erases my inscribed name (or) places (it) in the service of a god (or another) person, may the deity ... make his name (and) his seed disappear. Booty of the city Dumetu.
To the 'farmer,' my lord: your servant Nabû-naṣir. May Nabû and Marduk bless the 'farmer', my lord!	To the king, my lord: your servant Nabû-naṣir. May Nabû and  Marduk bless the king, my lord!
Witness Ahu-lamur, horse trainer.	Witness Nabû-na'id, horse trainer ... 
... your chosen name ... 	... you go ... 
... Jupiter 	... Jupiter
... in the city Zikkû —	... in the city ... 
Without the king ... 	... whom the king ... 
27 ... ;	4 ... 
Witness Iqbi-ilu, ... 	Witness ... 
x, Babylon;	... Babylon
5 shekels, for ... 	17 shekels, in one ... ;
Of NN ... 	to NN ... 
If a planet in ... 	a planet ... 
my people ... 	the people ... 
x, Enuma Anu Enlil,	x polyptychs of Enuma Anu Enlil,
Sennacherib, king of the world, king of Assyria, the one who fashioned image(s) of the deities Aššur, Anu, Sîn, Šamaš, Adad, Nergal, Ištar of Bīt-Kidmuri, Bēlet-ilī, and the (other) great gods, I: With white limestone, I laid the foundation(s) of the akītu-house, the residence of (the god) Aššur, my lord.	Sennacherib, king of the world, king of Assyria, the one who fashioned image(s) of (the god) Aššur and the great gods, I: With white limestone, I laid the foundation(s) of the courtyard of Ešarra, the palace of the gods.
2 minas 23 1/3 shekels, NN,	x+3 minas 13 1/2 shekels
Riba-Adad is the guarantor.	... -iddina is the guarantor.
which to ... 	which he/they ... 
To the king, my lord: your servant Ubru-Libbali. Good health to  the king, my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
... entered and	... there are
Witness Aqaba. Witness Ba... 	Witness Kanunayu. Witness NN.
... -Adad, chariot owner;	NN, chariot owner;
Ashur-natkil.	Ashur-taklak.
... without ... I utterly demolished ... of sixteen districts of the land Bīt-Ḫumria (Israel). I carried off (to Assyria) ... captives from ... , (5') 226 captives from ... , ... captives from ... , 400 (and ... ) captives from ... , 656 captives from the city Sa... , ... (altogether) 13,520 people, ... , (10') with their belongings. I ... the cities Arumâ (and) Marum, (... ) which are situated in rugged mountains.	... I enveloped him like a (dense) fog ... I utterly demolished ... of sixteen districts of the land Bīt-Ḫumria (Israel). I carried off (to Assyria) ... captives from the city ... barâ, 625 captives from the city ... a... , ... (5') ... captives from the city Ḫinatuna, 650 captives from the city Ku... , ... captives from the city Yaṭbite, 656 captives from the city Sa... , ... , with their belongings. I ... the cities Arumâ (and) Marum ... 
Whoever, in the future, at any time, whether Addî, or his sons (or) relatives, seeks and starts a lawsuit or litigation (against) Nabû-šarru-uṣur, shall return the money tenfold to its owner. He shall contest in his lawsuit and not succeed.	Whoever in the future, at any time, lodges a complaint, whether Bel-Harran-isse'a or his sons, grandsons, brothers or relatives, and seeks a lawsuit or litigation against Šumma-ilani, his sons and grandsons, shall pay x minas of silver, and shall return the money tenfold to its owners. He shall contest in his non-lawsuit and not succeed.
... containing ... 	... front ... 
I surrounded, conquered, (and) plundered the city Ataun... 	I surrounded, conquered, (and) plundered (the city) Dilbat.
... from its owner ... 	... front ... 
... anniya	... ayu
... the torch in ... 	... whom the king ... 
Witness Banî, ... 	Witness ... 
The (eastern) gate overlooking the river is the Gate of the Firmament, its entrance gate is the Entrance-of-the-Igigi Gate.	The Eastern gate overlooking the river is the Gate of the Firmament, its entrance gate is the Entrance-of-the-Igigi Gate.
the king should send ... 	The king, our lord, should ask ... 
1/2 shekel of thyme;	1 sheep of the temple;
and brought to me ... 	and to my men ... 
in all 100+x tablets,	in all 342 tablets,
To the king, my lord: your servant Ila'i-Bel. Good health to the king, my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
... we got scared	... we captured
whether there is ... 	whether ... 
Witness Nabû-ahhe-eriba, scribe, keeper of the tablet.	Witness Nabû-eṭir-napšati, scribe, keeper of the tablet.
Near Nineveh, in the territory of the city Balāṭāya, by divine will, white limestone was discovered in abundance, and (then) I created bull colossi (and) sphinxes of alabaster, and slabs of alabaster, as well as magnificent slabs of breccia. I cut (them) free on both sides from their mountains, and (then), for the construction of my palace, I had (them) dragged into Nineveh.	Near Nineveh, in the territory of the city Balāṭāya, by divine will, white limestone was discovered in abundance, and (then) I created bull colossi and (other) statues with limbs of alabaster that are sculpted from a single stone, (whose) proportions are perfect, (and) who stand high on their own pedestals; sphinxes of alabaster whose features are exquisite (and) whose bodies shine like a brilliant day; (and) magnificent slabs of breccia. I cut (them) free on both sides from their mountains, and (then), for the construction of my palace, I had (them) dragged into Nineveh.
When I was in the town Ur... ,	While I was in ... ,
Šamaš will ... the king the area ... 	... the king in the palace ... 
You perform a sheep offering before the Igigi gods and before the bed, make a flour/incense-offering, pour oil, honey, beer and wine, and sing, “... ”	You perform a sheep offering before the Anunnaki gods, make a flour/incense offering, pour oil, honey, beer and wine, and sing, “... ”
... his lord	his lord:
1 piece of baltu-stone for 1.	1 (piece of) frit for 1.
have not ... ;	does not ... 
May a later prince restore its ruined (portions) (and) return my inscription to its place. (Then) the gods Aššur (and) Adad, the great gods, will listen to his prayers. May he return my clay cone to its place.	May a later prince restore its weakened (portions) and return my inscription to its place. (Then) Aššur, the god Anu, and the god Adad will listen to his prayers. May he return my clay cone to its place.
The king, my lord, should ask Balassu: he is familiar with the work.	The king, my lord, should ask him what ... 
In the future may a later prince, when that site becomes old and dilapidated, repair it. May he restore my monumental inscription (and) my inscribed name to its place. (Then) the god Aššur will listen to his prayers.	May a later prince restore it (and) return my monumental inscriptions and clay inscriptions to their places. (Then) the god Aššur will listen to his prayers.
Concerning the wall of the Nergal temple of Cutha about which I wrote to the king, my lord: 	Concerning the salves and fumigants about which I wrote to the king, my lord, ten ... 
Witness Remanni-ilu.	Witness Mannu-ki-Ninua.
total, 5 horse trainers of the king's chariots.	Witness Se'-dalâ,  horse trainer of the open chariotry.
who ... have lifted ... from my presence	... agreeable ... from my presence
A tablet of NN to my brother NN. I am well; good health to my brother!	A tablet of NN to NN, my brother. May Bel and Nabû bless my brother!
... on	... ?
In the course of my campaign, I surrounded, conquered, (and) plundered the cities Amatu, Ḫauae, Supapu, Nuqabu, Bīt-Sannabi, Qudayyin, Kidrina, Dūr-Ladini, Bitāti, (and) Bānītu, the land Guzummānu, the cities Dūr-Yanṣuri, Dūr-Abī-Yataʾ, Dūr-Rudumme, Bīt-Raḫê, Ḫapiša, Sadian, Ḫurudu, Ṣaḫrina, Iltuk, Allallu, Marad, Yaqimuna, Kupruna, Bīt-Kudurri, Sūqa-Marusi, altogether 33 fortified cities, fortresses of the land of the Bīt-Dakkūri, together with 250 small(er) settlements in their environs;	In the course of my campaign, I surrounded, conquered, (and) plundered the cities Amatu, Ḫauae, Supapu, Bīt-Sannabi, Qudayyin, Kidrina, Dūr-Ladini, Bitāti, Bānītu, Guzummānu, Dūr-Yanṣuri, Dūr-Abī-Yataʾ, Dūr-Rudumme, Bīt-Raḫê, Ḫapiša, Sadian, Ḫurudu, Ṣaḫrina, Iltuk, Allallu, Sabḫānu, Kār-Nergal, Apak, Bīt-Dannāya, Bīt-Abdāya, Baḫir, Marirâ, Marad, Yaqimuna, Kupruna, Bīt-Kudurri, Sūqa-Marusi, altogether 34 fortified walled cities of the land of the Bīt-Dakkūri, together with 250 small(er) settlements in their environs;
... bowls ... ,	... s to ... 
... "Otherwise you ... 	... the overseer of ... "
A built house with its beams and doors, ... 	A built house with its beams,
x teams of horses:	... a team of horses
Witness Adad-milki-... 	Witness Na... 
Witness Puhrati-Issar.	Witness Habur-Issar.
An estate of 5 decares ... adjoining ... 	an estate of 2 decares adjoining ... and a wadi;
eat bread ... 	heard ... 
x minas of red wool, 25 minas of black wool ... ;	In all, 26 minas of red wool, 26 minas of black.
An estate of 15 hectares of land adjoining the road which leads (from) the village of Dannayato the village of Ildiši and adjoining ... ;	an estate of 4 hectares of land adjoining the road which leads from the village of Dannaya to the village of ... , a total of 5 (hectares) adjoining the field of Išmanni-... 
... to the land A... 	... whom the king ... 
... the land of Halzi	... the son of Yakin
returned.	return,
to Marubištu ... 	to Marduk-... 
... the ship ... 	... whom the king ... 
... for the second time ... 	... into the presence ... 
... said ... 	... s to ... 
Witness Abnanu.	Witness Saklu.
30 talents, Que;	x talents, Alihu;
... eats me up ... 	... these ... 
Why ... the horses ... ?	... these ... 
... he wrote ... 	... s to ... 
... Now from ... 	... s to ... 
Witness Mannu-ki-Aššur, ditto of the prince.	Witness Nabû-zeru-iddina, ditto of the crown prince.
... Nabû'aya.	... Nabû
On its side ... 	outside ... 
Nabû-nadin-apli;	1, Nabû-nadin-šumi;
14 mares.	x+8 mares.
Eri... —	Ni... 
3 ... -garments ... ;	1 ... -garment ... ,
very much; a golden star ornament ... 	under the golden star ornament ... 
... city gate	... city
I ask you, Šamaš, great lord, whether Assurbanipal, king of Assyria,	... I ask you, Šamaš, great lord, whether Esarhaddon, king of Assyria, should ... 
the Dais of Destinies in the palace ... 	... the king in the palace ... 
Stand by and ... 	and the land ... 
... Ariye	... Arbela
Sargon (II), king of the world, king of Assyria ... a city ... residence ... the deity ... 	... strong king, king of the world, king of Assyria ... shrine ... the great gods ... 
x+20 hectares of land in the town ... 	x hectares of land ... 
Witness Tardiya. Witness Ṣalmu. Witness Šemanni-... 	Witness Ribate. Witness Na'dî. Witness Ṭuri... 
in all 3 farmers; ... 	in all 6 farmers.
... to drink blood ... 	... our lord ... 
... them ... and	... who ... 
I have blocked ... 	we have counted ... 
saying: "... , the ‘mule house man' ... 	... , saying: "... these men ... "
The palace of Adad-nārārī, overseer, son of Arik-dīn-ili (who was) also overseer: (brick) belonging to the facing (of the quay wall) which fronts onto the River (Tigris).	The palace of Adad-nārārī, overseer, son of Arik-dīn-ili, overseer: (brick) belonging to the city Ša-ama ... 
Concerning the observation of the moon and the sun, here is the relevant interpretation:	Jupiter stood behind the moon; here is the relevant interpretation:
... to Silim-Aššur	... Kiṣir-Aššur,
he went ... Now ... of	have not ... your ... 
the 23rd day in front of Gula ... ;	the xth day in front of Marduk ... ;
Babylon for/to ... ,	Babylon in ... 
To the palace scribe, my lord: your servant Nahiši, the ... 	To the king, my lord: your servant Šarru-... 
... I said: "... to	... I shall give ... 
— The 15th day (means) the Westland and ... 	The 15th day means the Westland.
An estate of 5 decares of field adjoining Ṭab-Bel, adjoining Susî.	An estate of 3 decares of field adjoining ... , adjoining the field ... ,  adjoining ditto ... —
Witness Hara-Dadi.	Witness Issar-na'id.
the iron sword ... the gods	their word ... 
Witness Luqu, ... 	Witness ... 
The king should know all this!	The king, our lord, should know (this).
Concerning what the king, my lord, previously wrote to me ... 	As to what the king, my lord, wrote to me: "Set out ... !
32 sheaves — Nuraya	112 sheaves — Urda-Nabû
Shalmaneser, king of all people, prince, vice-regent of Aššur, strong king, king of Assyria, king of all the four quarters, sun(god) of all people, (15) ruler of all lands, the king (who is the) desired object of the gods, chosen of the god Enlil, trustworthy appointee of Aššur, attentive prince, who has seen remote and rugged regions, who has trodden upon the mountain peaks in all the highlands, receiver of booty (20) and tax from all the (four) quarters, who opens paths above and below, at whose strong attack for combat the (four) quarters are distressed... 	Shalmaneser, king of all people, prince, vice-regent of Aššur, strong king, king of all (5) the four quarters, sun(god) of all people, ruler of all lands, king, desired object of the gods, chosen of the god Enlil, (10) trustworthy appointee of Aššur, attentive prince, who has seen remote and rugged regions, who has trodden upon the mountain peaks in all the highlands, receiver of booty (and) tax from all the (four) quarters, who opens paths above and below, at whose strong attack for combat (15) the (four) quarters are distressed (and) cities convulsed, strong male who acts with the support of Aššur (and) the god Šamaš, the gods his allies, and has no rival among the princes of the four quarters, magnificent king of lands, who has kept progressing by difficult ways through mountains and seas;
Nemed-Issar             	Damascus             
“The God Ea Is the One Who Properly Directs (Water Flow into) My Cisterns”: (this is) the Mašqû Gate. (vii 65) “The One Who Brings in Income from the Settlements”: (this is) the Quay Gate. “The One Who Regulates Everything”: (this is) the Armory Gate. In total, three gates (facing) towards the west (and) I gave them (these) names.	“The God Ea Is the One Who Properly Directs (Water Flow into) My Cisterns”: (this is) the Mašqû Gate. (vii 95) “The One Who Brings in Income from the Settlements”: (this is) the Quay Gate. “The Presents of the People of Sumuʾel and Tēma (viii 1) Enter Through It”: (this is) the Desert Gate. “The One Who Regulates Everything”: (this is) the Armory Gate. “The God Šarur Is the One Who Cuts Down the King’s Enemy”: (this is) the Ḫandūru Gate. In total, five gates (facing) towards the west (and) I gave them (these) names.
There is a 'weapon'-mark on the right side of the 'turban' of the lung and it faces upward... 	There is a 'foot'-mark in the right side of the lung ... 
Witness Sunu... 	Witness ... 
The horses ... 	there is ... 
any ... 	when ... 
... two feet	... went
Witness Dunqi-Issar.	Witness Issar-na'id.
... let them enter ... and	... letter ... 
15 cavalry mounts:	17 cavalry mounts,
If cloudbanks lie in the path of the sun: the gods will make a favorable decision about the land.	If the moon is not seen: the gods will make an unfavorable decision about the land.
The line count of the inscription is 71 (lines). Sibūti, eponymy of Nabû-lēʾi, governor of the city Arbela (702).	The line count of the inscription is 63 (lines). Sibūti, eponymy of Nabû-lēʾi, governor of the city Arbela (702).
... have ... ed against you.	... have ... ed me ... 
In the future, one of the kings, my descendants, whom the god Aššur and the goddess Ištar name for shepherding the land and (vi 55) people — when that palace becomes old and dilapidated, may a future ruler renovate its dilapidated section(s) when that palace becomes old and dilapidated. May he find an inscribed object bearing my name, anoint (it) with oil, make an offering, (and) return (it) to its place. The god Aššur and the goddess Ištar will (then) hear his prayers.	May any future ruler, whom (the god) Aššur names for shepherding the land and people (and) during whose reign that temple becomes dilapidated, (25) renovate its dilapidated section(s). May he find (this) inscribed object, anoint (it) with oil, make an offering, (and) put (it back) in its place. (The god) Aššur and the goddess Ištar will (then) hear his prayers.
I shall write to the king, my lord, ... whatever it is.	I have now written to the king, my lord; my heart is ... 
... this news,	... this
Witness Bel-lamur, scribe.	Witness Azi-il, scribe.
(... ) Aššur-dān, appointee of the god Enlil, vice-regent of Aššur (... ), son of Adad-nārārī (III), appointee of the god Enlil, vice-regent of Aššur (... ), son of Šamšī-Adad (V), (who was) also appointee of the god Enlil and vice-regent of Aššur (... ) :	Shalmaneser, appointee of the god Enlil (and) vice-regent of Aššur, builder of Eḫursagkurkurra the temple of Aššur his lord, son of Adad-nārārī (I), appointee of the god Enlil (and) vice-regent of Aššur, son of Arik-dīn-ili who was also appointee of the god Enlil (and) vice-regent of Aššur: ... 
At that time, Nineveh, the exalted cult center, the city loved by the goddess Ištar in which all of the rituals for gods and goddesses are present; the enduring foundation (and) eternal base whose plan had been designed by the stars (lit. “writing”) of the firmament and whose arrangement was made manifest since time immemorial; (65) a sophisticated place (and) site of secret lore in which every kind of skilled craftsmanship, all of the rituals, (and) the secret(s) of the lalgar (cosmic subterranean water) are apprehended; 	At that time, Nineveh, the exalted cult center, the city loved by the goddess Ištar in which all of the rituals for gods and goddesses are present; the enduring foundation (and) eternal base whose plan had been designed by the stars (lit. “writing”) of the firmament and whose arrangement was made manifest since time immemorial; a sophisticated place (and) site of secret lore in which every kind of skilled craftsmanship, all of the rituals, (and) the secret(s) of the lalgar (cosmic subterranean water) are apprehended; 
their names ... 	there is ... 
Riba-ilani the merchant has contracted and bought it from Mannu-ki-ahhe for 3 2/3 minas of silver.	Aplaya has contracted and bought (said property) from them for 2 minas of silver.
You ... a pot ... 	... s to ... 
15 talents 10 minas, the deputy.	1 talent 10 minas, NN ... 
Witness Ramman-ram.	Witness Immani-il.
If the moon's horns at its appearance are pointed: the king will strike down the land of his enemy.	If the moon's horns at its appearance are short and not blunt: there will be a good word in the land.
fingernail of Abzî,	Fingernail of NN.
5 hectares 2 decares, ditto, ... ;	2 hectares 5 decares, Nabû-za... ;
To the king, my lord: your servant Marduk-šakin-šumi. The best of  health to the king, my lord! May Nabû and Marduk bless the king, my  lord! May Ištar of Arbela give happiness and health to the king, my  lord! May she sate the king, my lord, with old age and fullness of life!  May she present the king, my lord, with long-lasting days!	To the king, my lord: your servant Nabû-šumu-iddina. The very  best of health to the king, my lord! May Nabû and Marduk bless the  king, my lord! May Bel, Nabû, and Nergal guard the life of the king,  my lord! May they preserve the rule of the king, my lord, for all  eternity! 
“Should the kamanu-cakes be removed?” Favourable. 	“Should the saplišhu be removed?” Favourable. 
... those who are with him	... speak with him
... Ṭurušpâ	... of Ṭurušpâ
If he does not, he shall pay (in) silver according to the market price of Nineveh.	If he does not, he shall pay according to the market price of Nineveh.
he will speak malicious words of evil against Esarhaddon, and make an insurrection or revolt against him.	he will speak malicious words, evil things against Esarhaddon, king of Assyria, and make insurrection and rebellion against him.
... the land to your hands ... 	... and to Babylon ... 
do not ... this ... 	... these ... 
He pours ... beer, (while) he sings, “... of the army.”	He pours ... , (while) he sings, “Awesome queen.”
Witness ... -ila'i, 'third man' of the crown prince.	Witness NN, horse trainer of the crown prince.
Umban-kidinni             	Nabû-taqqinanni             
... second dipper, 2 litres of honey, 2 litres of  ... 	... to be heated. One litre of honey, 1 litre of ... 
From the booty of those lands that I had plundered, I conscripted 30,000 archers (and) 20,000 shield bearers and added (them) to my royal contingent. (v 20) I divided up the rest of the substantial enemy booty like sheep and goats among my entire camp and my governors, (and) the people of my great cult centers.	From the booty of those lands, I conscripted 30,500 archers (and) 20,200 shield bearers and added (them) to my royal contingent. I divided up the rest of the substantial enemy booty like sheep and goats among my entire camp and my governors, (and) the people of my cult centers.
shall place 10 minas of refined silver (and) one mina of pure gold in  the lap of Ninurta residing in Calah.	(shall place) x mina of refined silver and one mina of pure gold
I/He traversed ... 	He retired to ... 
13 Kushite horses,	24 Kushite horses total;
(Property) of Nabû-šumu-libūr, king of the world.	(Property) of Adad-apla-iddina, king of the world.
... -ilani, farmer; 1 woman; 2 daughters, of 3 spans' height: a total of 4 people.	A... , farmer; NN, a son of 4 spans' height; 2 women; a total of 4 people.
You pour a libation bowl of wine on the head of the ram, throw finest flour on it, ... , place a libation bowl of water on it, place a ‘heart’ and a ‘wrist’ in his hands, and bind his hands with a tuft of red wool.	You pour a libation bowl of wine on the head of the ram, throw finest flour on it, ... , place a libation bowl of water on it, place a ‘heart’ and a ‘wrist’ (bread) in his hands, and bind his hands with a tuft of red wool. You sing, “... ” You sing: “I am exhausted, I pray to the Lord of Radiance.” You sing, “O Anu, father of the gods, creator of everything.”
Disregard that an angry man, or one in distress, spoke angrily the words of his report... 	Disregard that an angry, furious man spoke angrily the words of his report... 
Witness Kabtî.	Witness NN.
Marduk-apla-iddina (II) (Merodach-baladan), king of Karduniaš (Babylonia), became frightened by my battle array; he shred his lordly garments and quickly departed from Babylon.	Marduk-apla-iddina (II) (Merodach-baladan) ... became frightened by his (Sennacherib’s) battle array; ... he quickly departed from Babylon (... ).
The  ... wrote (to me), saying: "my ... 	... listened to me, saying, "... "
Perhaps the king, my lord, will say: "What is the news of Urarṭu?"	... Perhaps the king, my lord, will say: “... in ... 
... military duty ... 	... the deity ... 
Adad-... , bodyguard of the crown prince;	... of the crown prince
Witness Aplaya, city lord of Hu... 	Witness Sasî, mayor of ... 
As to (... ) what you wrote	As to what you wrote me: ... 
... eans	... Luhuteans
Total, in the town of ... butu near the town of Galali.	Total, (in) the town of Yanatâ, near the town of Haurina.
They argued about the house of Hunanu as long as it existed. Now they are arguing about Kar-Šarrukin. Not a day passes without their quarreling about the spoils.	They argued about the house of Hunanu as long as it existed. Now they are arguing about Kar-Šarrukin... Not a day passes without their quarreling about the spoils.
Witness Nabû-rim-ilani, mayor of Nineveh.	Witness Nabû-reši-išši, chariot driver.
1 tureen of soup.	a tureen of soup.
The 15th: perfect seed;	The 15th day: perfect seed.
Witness Bel-le'i.	Witness Bel-ahu-... 
... were received ... 	... red ... 
the woman Nikkal-... ;	the woman Nikkal-amat.
Venus ... 	when ... 
his royal couch, the treasure of his palace, his palace women, his sons and his daughters, 30,000 captives, their cattle  and sheep without number you took as spoils. Four hundred and seventy-six cities in the vicinity you razed, destroyed and burned.	his royal bed, the treasure of his palace, his palace women, his sons and his daughters, 30,000 captives, their cattle and their sheep without number I took as spoil. Four hundred and seventy-six cities in their vicinity I razed, destroyed and burned."
we have ... 	when ... 
Month Ab (V), 10th day, eponym year of Sagab, governor of Harran (651).	Month Nisan (I), 9th day, eponym year of Sagab (651).
Witness NN, cohort commander of the queen.	Witness Nuranu, cohort commander.
A basket of (mixed) fruit.	1 basket of (mixed) fruit.
Witness Ahu-eriba, palace manager.	Witness Ubru-Nabû, palace manager.
... the sartinnu; take ... 	... the right ... 
A built house ... 	house ... 
If the moon and sun are in balance: the land will become stable; reliable  speech will be placed in the mouth of people; the king of the land will  make his throne last long.	If the moon and sun are in balance: reliable speech will be placed in the mouth of people; ... ; i.e. on the 14th day (the moon) will be seen with the sun.
The lower part is elevated... 	The upper part is elevated.
which on ... 	when ... 
Ešrayu, horse trainer of the ša šēpē guard, has contracted and bought them for 32 shekels of silver from Aššur-belu-da'an.	Ninuayu, eunuch the king, has contracted and bought her for 35 shekels of silver from Yamani.
Concerning the ... about which the king, my lord, wrote to me:  "Right now ... 	As to what the king, my lord, wrote to me: "Set out ... !
Belonging to the temple of the god Aššur. Shalmaneser, vice-regent of the god Aššur, son of Adad-nārārī (I) (who was) also vice-regent of the god Aššur, made it at his tākultu.	Belonging to the temple of the god Aššur. Shalmaneser, king of the universe, son of Adad-nārārī (I) (who was) also king of the universe, made it at his tākultu.
portions                            	Issar-šimanni                            
x ... ditto, the front black;	... ditto, red (and) black;
An estate of 4 decares of field ... adjoining Šamaš-kenu-dugul, adjoining ... ,	An estate of 3 decares of field adjoining ... , adjoining the field ... ,  adjoining ditto ... —
On my fourth campaign, I marched to the land Bīt-Yakīn. In the course of my campaign, I defeated Šūzubu (Mušēzib-Marduk), a Chaldean who lives in the marshes, at the city Bittūtu. As for him, he  became frightened of my weapons, and (then) he fled alone and his (hiding) place could not be found.	On my fourth campaign, the god Aššur, my lord, encouraged me so that I mustered my numerous troops and ordered the march to the land Bīt-Yakīn. In the course of my campaign, I defeated Šūzubu (Mušēzib-Marduk), a Chaldean who lives in the marshes, at the city Bittūtu. (iii 55) As for him, terror of doing battle with me fell upon him and his heart pounded. He fled alone like a lynx and his (hiding) place could not be found.
The palace of Tukultī-Ninurta, king of the universe, king of Assyria, son of Adad-nārārī (II), king of Assyria: I/he restored the ruined (portions) of the towers of the door of the god Enpi.	The palace of Tukultī-Ninurta, king of the universe, king of Assyria, son of Adad-nārārī (II), king of the universe, king of Assyria, son of Aššur-dān (II) (who was) also king of the universe (and) king of Assyria.
The 2nd day. Care of Nabû-šarru-uṣur.	eponym year of Nabû-šarru-uṣur.
... šallim... 	... my ... 
Hanunu and his people, ... ,	Danduru and his people, ... ,
15 ... 	4 ... 
... containing ... 	... front ... 
Good health to the king, my lord! May DNN bless the king, my lord.	To the king, my lord: your servant PN. Good health to the king, my lord! May Bel and Nabû bless the king, my lord.
Witness Rimu'a.	Witness Kusayu.
Witness NN, deputy of the palace scribe.	Witness NN, servant of the crown prince.
To the king, my lord: your servant, Nergal-šarrani. Good health to the king, my lord. May Nabû and Marduk bless the king, my lord... 	To the king, my lord: your servant Nabû-naṣir. May Nabû and  Marduk bless the king, my lord!
an estate of 2 hectares 5 decares belonging to Kê-lamši ... , adjoining Nabû-šumu-uṣur, Aplî, and NN;	An estate of 2 hectares x decares belonging to Ilu-ereš, adjoining Ilu-ereš, Kê-lamši, and Ululayu;
... Now then the messenger ... 	... into the presence ... 
