I brought ... and gave ... where ... 	... whom the king ... 
Mercury ... its position	... s to ... 
4 mules:	... male sheep
one stone (for) Ea-šarru, one stone (for) Damkina, three stones (for) the gods of Subartu, two stones (for) the Judges behind the God.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
They are systematically scaring me. There is no friend of mine here. I put my trust in the king, my lord. I do not give one shekel (or even) half a shekel to anybody but the king, my lord.	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
Concerning the new tablets that are being written, the king  has spoken as follows about us: "... the talk that is better than  this ... ; there is much space, there is much ... Assign some  ten ... sentences and send them to me, I shall have a look." — ... I continually listen to what the king, my lord, has written to me.	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
a total of x horses have come in today. They will handle  (them) tonight.	News of Merodach-Baladan: he is in Babylon... will not overthrow him but ... 
All (my) men are in the mountains, felling trees in groves where there are (trunks suitable for) door-beams and roof-beams.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
adjoining the estate of Marduk-belu-uṣur,	adjoining the house of Ṣil-Nabû,
a basket of fruit,	adjoining the house of Ṣil-Nabû,
(With regard to) 154 talents, 26 minas, (and) 10 shekels of red gold, 1,604 talents (and) 20 minas of pure silver, copper, iron, obsidian, lapis-lazuli, banded agate, (... ) blue turquoise, green turquoise (... ), (iii' 5) (and) muššaru-stone in large quantities, blue-purple wool, red-purple wool, garments with multi-colored trim and linen (garments), boxwood, cedar, cypress, (and) every kind of aromatic, the products of Mount Amanus, whose scent(s) are pleasant — from the beginning of my reign until (my) third year, I presented (these things) as gifts (iii' 10) to the deities Marduk, Zarpanītu, Nabû, Tašmētu, and the (other) gods who dwell in the cult centers of the land of Sumer and Akkad.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
... , saying	... we captured
with an interpreter ... :	Witness ... 
In the future may a later prince, when the facing (of the quay wall) and the drains therein become dilapidated and he renews (them), restore the name of Aššur-uballiṭ (I), my forefather, and my inscribed name to their places. (Then) Aššur will listen to his prayers.	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
She who raises and lowers, sage of Ezida.	Witness Ubru-Issar, servant of ... 
... on the 14th day the moon was seen with the sun.	... and shall send ... 
We will ... Šamaš-šumu-ukin ... , 	... whom the king ... 
Moreover, as for Iranzu of the land Mannea, (iii 25) Daltâ of the land Ellipu, (and) the city rulers of the land Namri, the land (Bīt)-Singibūti (Bīt-Sangibūti), (and) of all of the eastern mountains — I imposed upon them horses, mules, Bactrian camels, oxen, (and) sheep and goats, (iii 30) (tribute that) I am to receive annually in Assyria.	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
The moon will be seen together with the sun, it will let the eclipse pass by, it will not make (it).	If the left of the gall bladder is attached: your expeditionary force will slay the enemy.
(As for) the archers among whom Tammaritu, the king of the land Elam, had bragged within the land Elam about fighting with the troops of Assyria, now, inside Assyria, (viii 5) those archers were repeatedly coming close to my ... The deities Aššur, Sîn, Šamaš, Bēl (Marduk), Nabû, Ištar of Nineveh, Šarrat-Kidmuri, Ištar of Arbela, (viii 10) Ninurta, Nusku, (and) Nergal, who ... my foes ... Moreover, (as for) the rest, ... 	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
May Šamaš with an iron plough overturn your city, your  country and your district.	Just as bread and wine enter into your intestines, (so)  may they (= the gods) make this (oath) enter into your intestines and  into those of your sons and your daughters.
The town is captured. They have brought the great šihu down on their shoulders.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
Amēl-Marduk, son of Nebuchadnezzar, and Lâbâši-Marduk, son of  Neriglissar, ... their fathers ... and ... their ... they made void. Their words	... NN, son of the chief singer, is saying: "... ; I heard it from the mouth of the temple steward. I and the chief singer have written a letter and sent it to the palace."
700 men ... 	Witness ... 
As to what the king, my lord, wrote to me: "I have gathered you,  your nephews and your cousins, you belong (now) to my entourage" — may Aššur together with his family, Bel and Nabû together with their  families, and the great gods of heaven and earth together with their families in the same way gather the name and seed, offspring, descendants and progeny of the king, my lord, and let them stay in their entourage! As long as heaven and earth exist, may they be commanders of the whole world! How fine, how good, how choice, how  correct, how full of love is what the king, my lord, has done!	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
... creator of the royal crown ... diviners ... the oil expert ... difficult ... who makes decision(s), filled with radiance, (i 5') ... perfect lambs that had no black spots. He repeated to me all that was in his heart. He did not impart (it) to the wise diviners, (but rather) he wrote (it) on a tablet, put (it) in an envelope, sealed (it), (and) gave (it) to them. He did not sleep all night until the giver of decisions, the lord of lords, the god Šamaš shone. (i 10') To obtain (correct) decisions, hands were raised (praying). His favorite son prayed to the gods Šamaš and Adad concerning me (and) he made skilled diviners kneel down before them. Until they had assigned a station (and) ... distressed ... 	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
... One mina of (copper) was set (as the price) of grain. Arik-dīn-ili ... the cities ... -turiḫa, Ḫabaruḫa which to ... the city Kutila, their army he moved away ... the cities Tarbiṣi, Kudina he ... he gave them. The city Kutila ... At that time with 90 of his chariots ... the lower rivers he crossed. 600 men of the city i... with ... he killed. Remaku ... for the  punishment  of the city Nagabbilḫi he killed... 	I, Šamaš-rēša-uṣur, governor of the land of Sūḫu and the land of Mari, brought down from the mountain of the people of Ḫabḫu the bees which gather honey — which none from among my forefathers had seen or brought down to the land of Sūḫu — and I established them in the gardens of the town Āl-gabbāri-bānî.
NN and his associate have written to me:	... and shall send ... 
They ... ed the image of the king inside the loop of Nikkal, as well as the gold cast.	... ditto, ditto, the front red, of the port; 4 ... ;
... -iqbi	... we arrived
And Bel-Harran-... 	Witness Ubru-Issar, servant of ... 
... judgement of the city ... 	Witness Ubru-Issar, servant of ... 
Witness ... aya	Witness ... 
... -šaduni ... 	Witness ... 
To the king, my lord: your servant Inurta-ila'i.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
Šamaš-šallim, horse trainer;	Mannu-aki-Aššur, of Horse Trainer Town;
Month Elul (VI), 5th day, eponym year of Nabû-nadin-ahi.	Month ... , 23rd day, eponym year of Zazaya.
If ditto, and the Old Man star stands in it: in that year, fall of people; it will not affect cattle and sheep.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
The city Turmuna where the king appointed me is well. The land  has been subjugated. They are cultivating the fields and plastering  roofs. We are standing in the city like one (family). Where there  were criminals, there are ... s; where there were ... 	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
... litigation	... we captured
Ilu-u... , reporter.	... we captured
All ... and the servants of Bit-Dakkuri do not submit under his rule. Yet at the same time ... there are servants of ... who are devoted to Nabû-taklak ... 	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
Etel-pu;	Bel-eṭir;
To the king, our lord: your servants Nabû-ahhe-lumur and NN. Good health to the king, our lord. The city and the guard of the king, our lord, are well.	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
Nabû-ahu-iddina ... 	Witness ... 
I raged up like a lion, then put on armor (and) placed a helmet suitable for combat on my head. (v 15') In my anger, I rode quickly in my exalted battle chariot, which lays enemies low. I took in my hand the mighty bow that the god Aššur had granted to me (and) I grasped in my hand an arrow that cuts off life.	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
When they came ... 	Witness ... 
and the men ... 	Witness ... 
As for the one who removes my inscriptions and my name: May the goddess Ištar, my mistress, break his weapon (and) hand him over to his enemies.	Legitimate heir of Aššur-dān (I), bearer of the holy scepter, commander of the subjects of the god Enlil, the one whose deeds and offerings are pleasing to the great gods, and who lived to a ripe old age;
the woman (... )kabuttu	Witness ... 
We shall see ... 	Witness ... 
The 'path' and 'well-being' are present ... 	Witness Ubru-Issar, servant of ... 
... of the Review Palace.	... we captured
Hana-Si, shepherd;	Haldi-ereš;
... , the Sun-image, ... ,	Witness ... 
As to the order which the king, my lord, gave me: "Send your messenger to Birate and send me a detailed report on the Urarṭian" —	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
 I transferred the beams which had been damaged to the  intact ones; now, they have been counted by the Palace Herald and  the Treasurer on top of the damaged ones. Perhaps the king, my lord  (now) says: "Why is it that there appears to be a deficit in the figures?"	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
... of the centre of the city	... we captured
May Adad, canal inspector of heaven and earth, ... so that whatever is therein cannot rise ... 	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
2 cuts of shoulder of an ox  of the temple of Dagan, of the chief treasurer;	The king will be shut up in his palace; ... and good for the king my lord.
... beet-like carnelian	... we captured
I am writing to you right now: the day you see this letter of mine, go and tell these words to ... He should set out and go to ... in accordance with the report, and tell  him: "I have received the following royal order: '... have set ... "	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
Month Iyyar (II), 14th day, eponym year of Upaq-ana-Arbail.	Month ... , 23rd day, eponym year of Zazaya.
before the (king) of Hamath ... 	4 minas ... ;
I expertly fashioned four mountain sheep colossi of silver (and) bronze, together with mountain sheep colossi of massive mountain stone, and in four directions I made (them) hold their (the gates’) suitable door bolt(s).	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
Nabû-šezib from Tyre has sent me this sealed Aramaic document, saying:  "Let it be sent to the Palace." I have sent it to the Palace.	The governor threw the sceptre from his hands, placed his arms on his chest, and said: "You are his servants! What are you saying? You ... your dynastic house! I ... your city."
... with them to ... 	Witness ... 
There are ... 	Witness ... 
NN, gardener, his wife.	Witness Marduk-zeru-ibni, scribe.
Esarhaddon, king of the world, king of Assyria; son of Sennacherib, king of the world (and) king of Assyria; the one who (re)constructed the temple of the god Aššur, (re)built Esagil (5) and Babylon, ... , restored  the shrines of cult centers, completed the rites and ... , (10) (and) (re)confirmed the sattukku offerings ... of the great gods, am I.	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
a king who before ... 	Witness ... 
at the disposal of Partama.	adjoining the house of Ṣil-Nabû,
When the king my lord wrote to the crown prince and he punished me, ... These words ... I swear no one of the brothers of Gidgidanu has gone out of Dur-Šarruken!	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
I opened up a foundation pit for the outer wall, Badnigerimḫuluḫa, (which means) “Terrorizer of Enemies,” then ... (vii 45') Until I had (it) reach the water table, I dug down into the water forty-five nindanu, then I bound together strong mountain stone below and above I expertly carried out its construction with large limestone (blocks) up to its copings.	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
My husband, who ... , cried out: Do not ... me, my charming wife!	Month ... , 23rd day, eponym year of Zazaya.
Nirgî             	Marduk-bani-zeri             
... of the royal road ... 	... we captured
A tablet of Nabû-ila'i to Puṭiširi. Good health to my brother! May Nabû and Marduk bless my brother.	To the king, my lord: your servant NN. Good health to the king, my lord!
Concerning the men of whom the king, my lord, wrote to me, ... 188 men, among them 53 dependents, 20 oxen, 24 donkeys, x sheep, x minas of gold	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
Remanni-Adad, chariot driver of the king, has contracted and bought him from Mušezib-Marduk for 1 1/2 minas (of silver) by the (mina) of the king.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
The temple of the gods Nabû (and) Marduk that had previously been built opposite the new gate facing north, became dilapidated and Adad-nārārī (III), son of Šamšī-Adad (V), king of Assyria (... ), a prince who preceded me, (re)built (it). The foundations of this temple were not made strong and its foundation wall was not fixed like bedrock. Seventy-five years elapsed and it became old and dilapidated (lit.: “dilapidated and old”). In order not to change its location (and) to build (it) beside the temple of the goddess Ištar of Nineveh, I requested the command of the god Nabû (... ), my lord, and by means of the diviner’s bowl he answered me with (his) firm approval not to change its location. Then, from its foundations to its crenellations, I completely (re)constructed the temple of the gods Nabû and Marduk, my lords, (that) had been built beside the temple of the goddess Ištar of Nineveh, and I set my clay sikkatu-cones (in place).	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
Do not trust in man. Lift up your eyes, look to me! I am Ištar of Arbela; I reconciled Aššur with you. When you were small, I took you to me. Do not fear; praise me!	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
Tukultī-Ninurta, king of the universe, strong king, king of Assyria, conqueror of the rebellious — those who do not submit (to him and) who are hostile to the god Aššur—, defeater of all the unsubmissive rebels (of) the lands of the Uqumanu and Papḫu, crusher of the land Katmuḫu (and) the army of the land of the Qutu — difficult mountain (regions) — , disperser of the forces of the land of the Šubaru in their entirety, overwhelmer of all the unsubmissive (of) the lands Alzu (and) Purulumzu, legitimate prince who marches about in the four quarters with the support of the god Aššur and the great gods and has neither successful opponent nor rival, capturer of enemy districts above and below, strong king, capable in battle, the one who took over the rule of all the lands Nairi and subdued the forty kings, their commanders, at his feet, (the one who) added the lands Azalzi and Šepardi to his territory; son of Shalmaneser (I) king of Assyria; son of Adad-nārārī (I) (who was) also king of Assyria:	(As for) the citizens of (the cities) Sippar, Nippur, Babylon, (and) Borsippa who through no fault of their own had been held captive in them, I put an end to their imprisonment and let them see the light (of day). (With regard to) their fields, which long ago, while the land was in disorder, the Sutians had taken away and appropriated for their own — I struck down (those) Sutians, the people of the steppe, with the sword. I restored to their former status their territories, (whose boundaries) had been forgotten (and) fallen into disuse during the troubled period in the land. I (re)-established the freedom (from obligations) of (the cities) Ur, Uruk, Eridu, Larsa, Kullaba, Kissik, (and) Nēmed-Laguda. Moreover, I returned their gods that had been carried off as booty to their cult centers and I restored their regular offerings that had been discontinued.
x cans of beer	May I see your messenger!
x+1 ditto-garment, ditto, the front ... 	Witness Ubru-Issar, servant of ... 
I took cedar, box-tree, Kanish oak from the lands over which I had gained dominion — such trees which none among previous kings, my forefathers, had ever planted — and I planted (them) in the orchards of my land. I took rare orchard fruit which is not found in my land (and therewith) filled the orchards of Assyria.	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
tribute of the month of ... 	Witness ... 
Witness Kiṣir-Aššur, ditto.	Witness ... 
Witness Nabû-kenu-balliṭ.	Witness ... 
... they have given me	... we captured
In order to be able to draw water by bucket every day, I had bronze wire chains and bronze cables made and, instead of poles, I had tree trunks and date palm(s) of copper placed over wells.	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
Tarhundapî has contracted and bought him for 32 shekels of silver.	Disregard that an unclean person has performed extispicy in this place... 
As to the news of the Urarṭian, he set out on the ... day and was making sacrifices in the city of A... on the ... th with his magnates, (when) a message from the Hubuškian came to him:	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
Witness Bel-abu-uṣur. Witness Ki-Mama, from Naṣibina.	Witness Ubru-Issar, servant of ... 
Witness Ahi-ila'i.	Witness ... 
x shield-spearmen, NN; 24 Cilician ditto, NN; 4 Samarian ditto, NN; 1 Samarian ditto, NN; 33 Maqamarian ditto, A... ; in all 128 shield-spearmen; 5 Labdudian archers, NN; 4 Labdudian ditto, NN; 12 Labdudian ditto, NN; 4 Hindirian ditto, NN; 23 Hindirian ditto, NN; 4 Martenian ditto, NN; 20 Rahiqian ditto, NN; 6 Puqudian ditto, NN; in all 81 archers; all together 209, of Zababa-eriba, recruit of the palace manager.	Aššur-Ištar of Arbela, Berua of ditto, Ištar-image of ditto, Ištar-images of ditto, Ištar-yoke of ditto, Ištar-niphu of ditto, Ištar-panther of ditto, Ištar-lions of ditto, Ištar-thunderbird of ditto, Ninittu of ditto, Kulittu of ditto, Qibi-dunqi of ditto, Šina-marati of ditto, Umbidaki of ditto, Papsukkal of ditto, Šiltahanu of ditto, Siaku of ditto, royal image of ditto, Ištar of Pinas, Sîn of Purunda —
Ditto by all the gods of Sumer and Akkad!	... ditto, ditto, the front red, of the port; 4 ... ;
The Lady of Babylon, who has black wool on her back and red wool on her front, ... The red wool on her front is the blood of the heart which was shed.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
1 hectare in a meadow adjoining the fields of Addî and Šamaš-iqiša;	adjoining the house of Ṣil-Nabû,
6 temple stewardesses ... ;	Witness ... 
With the support of Aššur, my lord, I overwhelmed all their lands with my fear. Bi... , son of Amme-baʾal, wrote to me: “With regard to Bialasi, I have sent my forces against him. They pursued him and he went from the city Udu to the city Ša... ” His son together with the (other) guilty men, ... his property, his possessions, his booty, the extensive treasure of his palace, his gods, his herds, as gifts he (i.e. Bi... , son of Amme-baʾal) took and they were removed from his custody to Nineveh (and) brought before me.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
As the king last year summoned his scholars, he did not summon me with them, (so) I wrote to the palace: "The apprentices whom the king appointed in my charge have learned Enūma Anu Enlil; what is my fault that the king has not summoned me with his scholars?"	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
I together with ... 	Witness ... 
(Property) of Bēl-... , the ša rēši of the king.	... whom the king ... 
the exempts ... 	Witness ... 
40 hectares of land in the town of Ṣelâ, assigned to Kalhayu, the ša šepi guard(sman).	If the left of the gall bladder is attached: your expeditionary force will slay the enemy.
As to the weir about which the king, my lord, wrote to me: "Be attentive! Why is the work assignment behind schedule?" — they have not finished digging the rivers which they undertook, it being the time of cultivating the seeds, but have moulded bricks and trodden (earth).	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
... resting place	... we captured
1 talent 1 mina, Mannu-ki-... , chief of the sailors.	... ditto, ditto, the front red, of the port; 4 ... ;
I have already written to my lord twice: 46 horses, 165 oxen, 4,635 sheep are in my charge (and) 33 horses, 135 oxen are in the charge of Aššur-naṣir.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
Witness Na'nu, ... 	Witness ... 
... as on the first day	... we captured
Babylon, ... 	Witness ... 
2 (cuts of) salted meat,	3 litres of bread, 2 litres per day,
I was listening to their words, but I did not believe (them) and became distressed.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
220, the cupbearer(s).	of the campaign ... 
Maybe he will change his looks to get out like a thief; do not let anyone pass uninterrogated, even if he should pass with a face of gypsum!	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
Palace of Sennacherib, king of Assyria. Whoever erases my inscribed name (or) places (it) in the service of a god (or another) person, may the deities ... , Šamaš, Adad, ... , (and) Nergal make his name (and) his seed disappear. Booty of the city Dumetu.	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
now the gods of the king have taken action: when the king, my lord appointed me, ... to move on.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
To the 'farmer,' my lord: your servant Nabû-naṣir. May Nabû and Marduk bless the 'farmer', my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
Witness Ahu-lamur, horse trainer.	Witness ... 
... your chosen name ... 	4 minas ... ;
... Jupiter 	... we captured
(... ) should ask (... ) the elders of his land: “Is it true that Šamaš-rēša-uṣur, governor of the land of Sūḫu and the land of Mari, accomplished these tasks?”	Disregard that a clean or an unclean person has touched the sacrificial sheep, or blocked the way of the sacrificial sheep... 
... in the city Zikkû —	... we captured
Three or four times, I and NN have ... the men who fled to ... 	... ditto, ditto, the front red, of the port; 4 ... ;
Without the king ... 	Witness ... 
27 ... ;	Witness ... 
Witness Iqbi-ilu, ... 	Witness ... 
x, Babylon;	x, x+1, Bel-emuranni;
5 shekels, for ... 	Witness ... 
Of NN ... 	Witness ... 
knows ... " He said (this). Now then I am sending them to my brother.	... ditto, ditto, the front red, of the port; 4 ... ;
If a planet in ... 	Witness ... 
my people ... 	Witness ... 
x, Enuma Anu Enlil,	x, x+1, Bel-emuranni;
Sennacherib, king of the world, king of Assyria, the one who fashioned image(s) of the deities Aššur, Anu, Sîn, Šamaš, Adad, Nergal, Ištar of Bīt-Kidmuri, Bēlet-ilī, and the (other) great gods, I: With white limestone, I laid the foundation(s) of the akītu-house, the residence of (the god) Aššur, my lord.	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
If ... (and) there is a hole in its ... ,             	... whom the king ... 
2 minas 23 1/3 shekels, NN,	4 minas ... ;
There are 5 Hatalleans,	... they removed again
... happened by the command of my great divinity; I shall not answer ... Why did you turn to me, ignoring Šamaš?"	(On the) 14th day of month of Nisan (I) he led the oxen away.
Riba-Adad is the guarantor.	Witness Ubru-Issar, servant of ... 
The palace and the inhabitants of Nineveh are well; may Bel  and Nabû also grant health to you!	To the king, my lord: your servant NN. Good health to the king, my lord!
which to ... 	Witness ... 
To the king, my lord: your servant Ubru-Libbali. Good health to  the king, my lord!	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
... entered and	... we captured
... I set a eunuch of mine as provincial governor over them and considered them as people of Assyria ... 	Disregard that an unclean person has performed extispicy in this place... 
Let it be brought and thrown on the river Zab.	... ditto, ditto, the front red, of the port; 4 ... ;
(As for) Nebuchadnezzar (II), king of Babylon, son of Nabopolassar, a king who came before me,  his heart prompted (him) to (re)build that temple and he sought out the original foundation(s)), but did not find (them) and (therefore) did not (re)build (Eulmaš).	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
Witness Aqaba. Witness Ba... 	Witness ... 
... -Adad, chariot owner;	... we captured
Ashur-natkil.	... Aššur-mukin-paleya
... without ... I utterly demolished ... of sixteen districts of the land Bīt-Ḫumria (Israel). I carried off (to Assyria) ... captives from ... , (5') 226 captives from ... , ... captives from ... , 400 (and ... ) captives from ... , 656 captives from the city Sa... , ... (altogether) 13,520 people, ... , (10') with their belongings. I ... the cities Arumâ (and) Marum, (... ) which are situated in rugged mountains.	... two bull colossi of white limestone ... the gate of that watercourse, I had erected... the strong wave and wild tide that rise up and ... canal(s), dike(s), and irrigation ditch(es) eroded their bank(s) and ... when there was breach, harvests were submerged ... I had magnificent ... s of iron made and ... the outflow of water ... when its flood was in full spate ... 
