x talents, Sam'al;	x talents, the manager of the Review Palace;
the king should send ... 	Mars reached Cancer; the king should know and be circumspect until it goes out.
1/2 shekel of thyme;	1 sheep of the temple;
and brought to me ... 	On the 13th of Tammuz (IV), tomorrow, the 'farmer' goes to the  qirsu, enters the reed hut, sits down, (then) returns from the qirsu and goes ... A barber enters. The nails which he cuts are put into a bottle (which) is sealed and brought to the border of the enemy country.
in all 100+x tablets,	in all 342 tablets,
... tax-exempt field	An estate of 10 hectares of land, cornland under cultivation, in the town of Til-bu... — (tax-)exempt ... 
To the king, my lord: your servant Ila'i-Bel. Good health to the king, my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
... we got scared	... we captured
whether there is ... 	there is ... 
Witness Nabû-ahhe-eriba, scribe, keeper of the tablet.	Witness Nabû-eṭir-napšati, scribe, keeper of the tablet.
Near Nineveh, in the territory of the city Balāṭāya, by divine will, white limestone was discovered in abundance, and (then) I created bull colossi (and) sphinxes of alabaster, and slabs of alabaster, as well as magnificent slabs of breccia. I cut (them) free on both sides from their mountains, and (then), for the construction of my palace, I had (them) dragged into Nineveh.	Near Nineveh, in the territory of the city Balāṭāya, by divine will, white limestone was discovered in abundance, and (then) I created bull colossi and (other) statues with limbs of alabaster that are sculpted from a single stone, (whose) proportions are perfect, (and) who stand high on their own pedestals; sphinxes of alabaster whose features are exquisite (and) whose bodies shine like a brilliant day; (and) magnificent slabs of breccia. I cut (them) free on both sides from their mountains, and (then), for the construction of my palace, I had (them) dragged into Nineveh.
When I was in the town Ur... ,	2,000 stalks of vine in the town ... 
You perform a sheep offering before the Igigi gods and before the bed, make a flour/incense-offering, pour oil, honey, beer and wine, and sing, “... ”	You perform a sheep offering before the Anunnaki gods, make a flour/incense offering, pour oil, honey, beer and wine, and sing, “... ”
1 piece of baltu-stone for 1.	1 piece of abašmu-stone for one gem;
have not ... ;	... the god Aššur, my lord, encouraged me and I marched to the land Judah. In the course of my campaign, I received a payment from the kings of ... With the strength of (the god) Aššur, my lord, I ... the district of ... -Yaū (Hezekiah) of the land Judah like ... (5') ... the city Azaqâ, a place upon which he relied, which (is situated) between my ... and the land Judah, ... is situated upon a mountain peak. Like the blade(s) of daggers, without number, they rise up high into the heavens ... were well fortified and rival high mountains. Looking upon (them), like ... from the heavens ... 
May a later prince restore its ruined (portions) (and) return my inscription to its place. (Then) the gods Aššur (and) Adad, the great gods, will listen to his prayers. May he return my clay cone to its place.	May a later prince restore its weakened (portions) and return my inscription to its place. (Then) Aššur, the god Anu, and the god Adad will listen to his prayers. May he return my clay cone to its place.
In the future may a later prince, when that site becomes old and dilapidated, repair it. May he restore my monumental inscription (and) my inscribed name to its place. (Then) the god Aššur will listen to his prayers.	In the future may a later prince, when that temple becomes dilapidated and he renovates (it), anoint my monumental inscriptions with oil, make a sacrifice, and return (them) to their places. (Then) the god Šamaš will listen to his prayers.
... shekels, their silver.	of 2 1/2 minas 3 shekels of silver.
Concerning the wall of the Nergal temple of Cutha about which I wrote to the king, my lord: 	Concerning the work of the town of Dur-Tinutâ about which I wrote  to the king, I am bringing the bricks in but I have not yet started  to ... 
total, 5 horse trainers of the king's chariots.	Witness Mannu-ki-Harran, horse trainer of the open chariotry.
who ... have lifted ... from my presence	... agreeable ... from my presence
Qurdi-Mullissu.	The governor supplies the food for the wedding night of Mullissu.
Will Esarhaddon, king of Assyria, return alive and set foot on Assyrian soil? Does your great divinity know it?	Will Mamitiaršu listen to him? Will he comply? Will he be pleased? Will he become hostile to Esarhaddon, king of Assyria this year? Does your great divinity know it?
In the course of my campaign, I surrounded, conquered, (and) plundered the cities Amatu, Ḫauae, Supapu, Nuqabu, Bīt-Sannabi, Qudayyin, Kidrina, Dūr-Ladini, Bitāti, (and) Bānītu, the land Guzummānu, the cities Dūr-Yanṣuri, Dūr-Abī-Yataʾ, Dūr-Rudumme, Bīt-Raḫê, Ḫapiša, Sadian, Ḫurudu, Ṣaḫrina, Iltuk, Allallu, Marad, Yaqimuna, Kupruna, Bīt-Kudurri, Sūqa-Marusi, altogether 33 fortified cities, fortresses of the land of the Bīt-Dakkūri, together with 250 small(er) settlements in their environs;	In the course of my campaign, I surrounded, conquered, (and) plundered the cities Amatu, Ḫauae, Supapu, Bīt-Sannabi, Qudayyin, Kidrina, Dūr-Ladini, Bitāti, Bānītu, Guzummānu, Dūr-Yanṣuri, Dūr-Abī-Yataʾ, Dūr-Rudumme, Bīt-Raḫê, Ḫapiša, Sadian, Ḫurudu, Ṣaḫrina, Iltuk, Allallu, Sabḫānu, Kār-Nergal, Apak, Bīt-Dannāya, Bīt-Abdāya, Baḫir, Marirâ, Marad, Yaqimuna, Kupruna, Bīt-Kudurri, Sūqa-Marusi, altogether 34 fortified walled cities of the land of the Bīt-Dakkūri, together with 250 small(er) settlements in their environs;
... bowls ... ,	What else? Let these ... s go out too, don't let ... grow ... 
... "Otherwise you ... 	... these ... 
A built house with its beams and doors, ... 	A built house with its beams,
x teams of horses:	I had in harness for the forces of my land more chariots and teams of horses than ever before. To Assyria I added land and to its people I added people. I brought contentment to my people (and) provided them with a secure abode.
Witness Adad-milki-... 	Witness Adad-... 
Witness Puhrati-Issar.	Witness Ubru-Issar, servant of ... 
An estate of 5 decares ... adjoining ... 	an estate of 4 hectares of land adjoining the road which leads from the village of Dannaya to the village of ... , a total of 5 (hectares) adjoining the field of Išmanni-... 
eat bread ... 	... he (Argištu) abandoned his camp (and) with a single horse he disappeared... 
x minas of red wool, 25 minas of black wool ... ;	In all, 26 minas of red wool, 26 minas of black.
An estate of 15 hectares of land adjoining the road which leads (from) the village of Dannayato the village of Ildiši and adjoining ... ;	an estate of 4 hectares of land adjoining the road which leads from the village of Dannaya to the village of ... , a total of 5 (hectares) adjoining the field of Išmanni-... 
... to the land A... 	For (the god) Aššur, king of the gods, the father who engendered the Igīgū and Anunnakū gods, ... , the one who decrees fates, lord of the lands, ... , who resides in Eḫursaggalkurkurra, which is inside Ešarra, the great lord, his lord:
... the land of Halzi	... the yield of his threshing floor
to Marubištu ... 	He says: Concerning Munnabitu ... 
... the ship ... 	and who ... ed the kingship ... 
... for the second time ... 	... of the land Ḫimme ... against/upon ... his city ... their fortresses, their ... , of the land Ḫimme, I conquered and destroyed/plundered. Men and sheep which, like the stars of heaven, had no number, I carried off. All of their cities, of the land Ḫimme, I conquered and destroyed. I did not leave a single warrior alive. I flayed the men, their city-rulers, ... Over against their numerous cities I built into mounds the corpses of their warriors which I had felled with the sword in the battlefield ... Soldiers, armed troops, ... without number I blinded. (Thus) I achieved vengeance for my land which ... their blood/corpses ... 
... said ... 	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
who to the limit(s) of heaven and netherworld ... 	For the god Nabû, powerful, eminent, wisest of the gods, exalted, noble, scribe of everything, supervisor of the totality of heaven and netherworld, who makes opposing forces agree, who knows everything, splendid, perfect, who has gathered to himself all the (divine) offices, who controls the omens, lord of skillful works, whose command is pre-eminent in the assembly of the gods, his fathers, (one with) a far-reaching mind, whose heart none among the gods knows, supreme lord, who raises up lords (and) the fame of rulers, who gives scepter, throne, and reign, who confirms kingship, compassionate one, who bestows for future days power and victory; most important son of the god Asari (Marduk), offspring of the goddess Erua — queen (and) goddess of ladies — who dwells in Ezida — the true house, (located) in Borsippa, the cult center which is worthy of honor — great lord, my lord:
Witness Abnanu.	Witness Azi-il, scribe.
30 talents, Que;	20 talents, the house of the queen;
Seal of Nabû-šallim-ahhe.	Seal of Nabû-ahu-riba, haruspex,
... eats me up ... 	The king makes kamanu-cakes dance, opens the vat ... , ... s x cups ... 
Why ... the horses ... ?	Let them ... the corpse ... 
... he wrote ... 	... who ... 
... Now from ... 	... who ... 
Witness Mannu-ki-Aššur, ditto of the prince.	Witness ... su, inspector of the Šamaš Gate. Witness Mannu-ki-Ištar,  ditto of the Tigris Gate.
... Nabû'aya.	... Nabû-mar-šarri-uṣur
On its side ... 	We did indeed find a writing-board inside (the house), just as the king my lord had written; I sealed it and put it inside (... ).
Nabû-nadin-apli;	Nabû-epuš, the priest of Ea, has stolen property from the temple. He peeled off and removed the golden ... from the  massive (offering) table which is in front of Ištar. Nabû-nadin-apli, the  temple guard, caught him red-handed. 
14 mares.	x black horses, 9 mares.
Eri... —	... — ... -ili
very much; a golden star ornament ... 	under the golden star ornament ... 
... city gate	... two bull colossi of white limestone ... the gate of that watercourse, I had erected... the strong wave and wild tide that rise up and ... canal(s), dike(s), and irrigation ditch(es) eroded their bank(s) and ... when there was breach, harvests were submerged ... I had magnificent ... s of iron made and ... the outflow of water ... when its flood was in full spate ... 
the Dais of Destinies in the palace ... 	After Aššur has gone to the Dais of Destinies in the palace,
Stand by and ... 	... which a king of the past had built and ... its walls — which a former king had restored but did not properly adorn its structure — a long time ago became weak, collapsed, and heavy rains and downpours carried away its walls.
... Ariye	... Arbela
Sargon (II), king of the world, king of Assyria ... a city ... residence ... the deity ... 	I, Sargon (II), king of the world, king of Assyria, built a city in accordance with my heart’s desire and named it Dūr-Šarrukīn. I built inside it a palace that was according to my wishes (and) that had no equal in the four quarters (of the world).
x+20 hectares of land in the town ... 	Padî, gardener; 1 son; 3 women; 4,000 stalks of vine; x+2 hectares of arable land in the town of Ṣaidina near Harran.
of the city Kullania	Duʾūzu (IV), the ... day, eponymy of Nabû-šar-aḫḫēšu, <gove>rnor of the city Samaria (645).
in all 3 farmers; ... 	Total 5 farmers; 1 ... garden, 1 ... 
... to drink blood ... 	... our lord ... 
... them ... and	... these ... 
I have blocked ... 	we have counted ... 
saying: "... , the ‘mule house man' ... 	... the 'mule-house man' ... 
The palace of Adad-nārārī, overseer, son of Arik-dīn-ili (who was) also overseer: (brick) belonging to the facing (of the quay wall) which fronts onto the River (Tigris).	The palace of Adad-nārārī, king of the universe, son of Arik-dīn-ili, king of Assyria: (brick) belonging to the facing (of the quay wall) at the mouth of the canal of the palace complex.
... to Silim-Aššur	72 miscellaneous sheep belonging to Silim-Aššur, at the disposal of Hanṭasanu and Marduk.
south and north.	if the brothers of Gidgidanu working with me, if even one of them has gone out of the city gate of Dur-Šarruken and gone to the south or north, may the king my lord not let me live!
he went ... Now ... of	What else? Let these ... s go out too, don't let ... grow ... 
the 23rd day in front of Gula ... ;	the xth day in front of Marduk ... ;
Babylon for/to ... ,	... and to Babylon ... 
To the palace scribe, my lord: your servant Nahiši, the ... 	To the king, my lord: your servant PN, the scribe of ... , who ... in ... Good health to the king, my lord! May Nabû and Marduk bless the king, my lord.
... I said: "... to	... I said: "He should know!" Wholeheartedly
— The 15th day (means) the Westland and ... 	Sivan (III) means the Westland; the 15th day means the Westland.
An estate of 5 decares of field adjoining Ṭab-Bel, adjoining Susî.	An estate of 3 decares of field adjoining ... , adjoining the field ... ,  adjoining ditto ... —
Witness Hara-Dadi.	Witness Issar-nadin-ahhe, ša šēpi guard.
the iron sword ... the gods	the one whom ... the god Nabû, (and) the goddess Tašmētu, with their benevolent glance, steadfastly looked upon and selected for kingship; (i 5') (the one) who the luminary of the heavens, the god Sîn, crowned with the crown of lordship to make the foundation of the land firm, to organize the people, to bring order to what is confused, (and) repair what is destroyed; (i 10') (the one) in whose hands the god Nabû, overseer of the universe, placed a just scepter (and) legitimate rod for shepherding a widespread population; broad-minded, discerning, who comprehends rational thought and counsel, the one who learned deliberation, reliable judge, the one who speaks about truth and justice; (i 20') to whom treacherous talk is taboo (and) lies an abomination; pious prince, competent governor,  
Witness Luqu, ... 	Witness ... 
The king should know all this!	Mars reached Cancer; the king should know and be circumspect until it goes out.
Concerning what the king, my lord, previously wrote to me ... 	Concerning what the king, my lord, wrote to me: "Review the implements and ... in Bab-bitqi, seal them with your seals, and entrust them in the hands of Nergal-belu-uṣur!" — now then I have reviewed them ... 
32 sheaves — Nuraya	112 sheaves — Urda-Nabû
Shalmaneser, king of all people, prince, vice-regent of Aššur, strong king, king of Assyria, king of all the four quarters, sun(god) of all people, (15) ruler of all lands, the king (who is the) desired object of the gods, chosen of the god Enlil, trustworthy appointee of Aššur, attentive prince, who has seen remote and rugged regions, who has trodden upon the mountain peaks in all the highlands, receiver of booty (20) and tax from all the (four) quarters, who opens paths above and below, at whose strong attack for combat the (four) quarters are distressed... 	Shalmaneser, king of all people, prince, vice-regent of Aššur, strong king, king of all (5) the four quarters, sun(god) of all people, ruler of all lands, king, desired object of the gods, chosen of the god Enlil, (10) trustworthy appointee of Aššur, attentive prince, who has seen remote and rugged regions, who has trodden upon the mountain peaks in all the highlands, receiver of booty (and) tax from all the (four) quarters, who opens paths above and below, at whose strong attack for combat (15) the (four) quarters are distressed (and) cities convulsed, strong male who acts with the support of Aššur (and) the god Šamaš, the gods his allies, and has no rival among the princes of the four quarters, magnificent king of lands, who has kept progressing by difficult ways through mountains and seas;
Nemed-Issar             	Marduk-bani-zeri             
“The God Ea Is the One Who Properly Directs (Water Flow into) My Cisterns”: (this is) the Mašqû Gate. (vii 65) “The One Who Brings in Income from the Settlements”: (this is) the Quay Gate. “The One Who Regulates Everything”: (this is) the Armory Gate. In total, three gates (facing) towards the west (and) I gave them (these) names.	“The God Ea Is the One Who Properly Directs (Water Flow into) My Cisterns”: (this is) the Mašqû Gate. (vii 95) “The One Who Brings in Income from the Settlements”: (this is) the Quay Gate. “The Presents of the People of Sumuʾel and Tēma (viii 1) Enter Through It”: (this is) the Desert Gate. “The One Who Regulates Everything”: (this is) the Armory Gate. “The God Šarur Is the One Who Cuts Down the King’s Enemy”: (this is) the Ḫandūru Gate. In total, five gates (facing) towards the west (and) I gave them (these) names.
There is a 'weapon'-mark on the right side of the 'turban' of the lung and it faces upward... 	If there is a 'weapon'-mark on the right side of the 'turban' of the lung and it faces upward: the gods of my army will abandon it... 
Witness Sunu... 	Witness ... 
... two feet	... to the bodyguard and to ... 
Witness Dunqi-Issar.	Witness Ubru-Issar, servant of ... 
... let them enter ... and	As to the cure of the blotches ... , they should let me enter ... 
15 cavalry mounts:	The ... cavalry mounts did not arrive, and the ... about  which I wrote to the king, my lord, are in Adia. If the king, my  lord, commands, they should cross over to Nineveh. Let king, my lord,  send a letter in reply to (this) letter. 
If cloudbanks lie in the path of the sun: the gods will make a favorable decision about the land.	If the moon is not seen: the gods will make an unfavorable decision about the land.
The line count of the inscription is 71 (lines). Sibūti, eponymy of Nabû-lēʾi, governor of the city Arbela (702).	The line count of the inscription is 63 (lines). Sibūti, eponymy of Nabû-lēʾi, governor of the city Arbela (702).
... have ... ed against you.	From the beginning the Marteneans have sinned against you. They brought Nabû-bel-šumati across the river, initiating the fights between Assyria and Elam. Then you wrote: "Send Nabû-bel-šumati here," and I seized Nabû-bel-šumati and sent him to you.
In the future, one of the kings, my descendants, whom the god Aššur and the goddess Ištar name for shepherding the land and (vi 55) people — when that palace becomes old and dilapidated, may a future ruler renovate its dilapidated section(s) when that palace becomes old and dilapidated. May he find an inscribed object bearing my name, anoint (it) with oil, make an offering, (and) return (it) to its place. The god Aššur and the goddess Ištar will (then) hear his prayers.	In the future, may one of the kings, my descendants, whom the god Aššur names for shepherding the land and people, renovate its dilapidated section(s) when that wall becomes old and dilapidated. May he find an inscribed object bearing my name, (viii 70) anoint (it) with oil, make an offering, (and) return (it) to its place. The god Aššur and the goddess Ištar will (then) hear his prayers.
I shall write to the king, my lord, ... whatever it is.	These troops which came to Malak — it is not yet clear whether they will proceed to Der or whether they will turn back. As soon as there is clear news as to where they are bound to, I shall write to the king, my lord.
... this news,	... his messenger
Witness Bel-lamur, scribe.	Witness Azi-il, scribe.
(... ) Aššur-dān, appointee of the god Enlil, vice-regent of Aššur (... ), son of Adad-nārārī (III), appointee of the god Enlil, vice-regent of Aššur (... ), son of Šamšī-Adad (V), (who was) also appointee of the god Enlil and vice-regent of Aššur (... ) :	Shalmaneser, appointee of the god Enlil (and) vice-regent of Aššur, builder of Eḫursagkurkurra the temple of Aššur his lord, son of Adad-nārārī (I), appointee of the god Enlil (and) vice-regent of Aššur, son of Arik-dīn-ili who was also appointee of the god Enlil (and) vice-regent of Aššur: ... 
At that time, Nineveh, the exalted cult center, the city loved by the goddess Ištar in which all of the rituals for gods and goddesses are present; the enduring foundation (and) eternal base whose plan had been designed by the stars (lit. “writing”) of the firmament and whose arrangement was made manifest since time immemorial; (65) a sophisticated place (and) site of secret lore in which every kind of skilled craftsmanship, all of the rituals, (and) the secret(s) of the lalgar (cosmic subterranean water) are apprehended; 	At that time, Nineveh, the exalted cult center, the city loved by the goddess Ištar in which all of the rituals for gods and goddesses are present; the enduring foundation (and) eternal base whose plan had been designed by the stars (lit. “writing”) of the firmament and whose arrangement was made manifest since time immemorial; a sophisticated place (and) site of secret lore in which every kind of skilled craftsmanship, all of the rituals, (and) the secret(s) of the lalgar (cosmic subterranean water) are apprehended; 
their names ... 	... the god Aššur, my lord, encouraged me and I marched to the land Judah. In the course of my campaign, I received a payment from the kings of ... With the strength of (the god) Aššur, my lord, I ... the district of ... -Yaū (Hezekiah) of the land Judah like ... (5') ... the city Azaqâ, a place upon which he relied, which (is situated) between my ... and the land Judah, ... is situated upon a mountain peak. Like the blade(s) of daggers, without number, they rise up high into the heavens ... were well fortified and rival high mountains. Looking upon (them), like ... from the heavens ... 
You ... a pot ... 	All the horses and ... that ... 
15 talents 10 minas, the deputy.	7 talents 10 minas, upon statues; multiplied by three, 22 talents of scarlet dye for red wool.
Witness Ramman-ram.	Witness Šamaš-remanni. Ubru-Issar.
If the moon's horns at its appearance are pointed: the king will strike down the land of his enemy.	If the moon's horns at its appearance are pointed: the king of Akkad will rule the land wherever he goes, variant: the king of Akkad will weaken the land wherever he intends.
fingernail of Abzî,	Fingernail of Šarru-lu-dari,
5 hectares 2 decares, ditto, ... ;	3 hectares 3 decares, the town ... ;
To the king, my lord: your servant Marduk-šakin-šumi. The best of  health to the king, my lord! May Nabû and Marduk bless the king, my  lord! May Ištar of Arbela give happiness and health to the king, my  lord! May she sate the king, my lord, with old age and fullness of life!  May she present the king, my lord, with long-lasting days!	To the king, my lord: your servant Marduk-šakin-šumi. The best  of health to the king, my lord! May Nabû and Marduk bless the king,  my lord! May they sate the king, my lord, with old age and fullness of life!
the (grand) total is 88  fortified walled cities of Chaldea, together with 820 small(er) settlements in their environs.	the cities Dūr-Appê, Dūr-Tanê, Dūr-Samaʾ, Sarrabātu, Ṣalaḫatu, Dūr-Abdāya, Sappi-ḫimari, Ṣibtu-ša-Makkamê, altogether 8 fortified walled cities of the land of the Bīt-Saʾalli, together with 120 small(er) settlements in their environs;
The ancient city Kalḫu which Shalmaneser, king of Assyria, a prince who preceded me, had built  — this city had become dilapidated; it lay dormant. I rebuilt this city. I took people which I had conquered from the lands over which I had gained dominion, from the land Sūḫu, (from) the entire land of Laqû, (from) the city Sirqu which is at the crossing of the Euphrates, (from) the entire land of Zamua,	The city Kalḫu I took in hand for renewal. I removed the old ruin hill (and) dug down to water level. I sank (the foundation pit) down to a depth of 120 layers of brick. I took people which I had conquered from the lands over which I had gained dominion, from the land Sūḫu, (from) the entire land Laqû, (from) the city Sirqu which is at the crossing of the Euphrates, (and from) the entire land of Zamua. I settled (them) therein. I dug out a canal from the Upper Zab (and)
... , who does not go out with Bel to the Akitu House, holds the fetter of the prisoner and sits with him.	... who does not go out with Bel to the Akitu House, carries the fetter of the prisoner and sits with him. The ... , which they place on the marinaded roasted meat in front of Bel, is that of ... 
“Should the kamanu-cakes be removed?” Favourable. 	“Should the saplišhu be removed?” Favourable. 
... those who are with him	You wrote me that in addition to the 500 logs of ... and the 500 of ... , another ... have been piled up on the river  bank. That's exactly why the governor of Til-Barsip did ... ! I  (gave the order): "These should go to ... Aššur-šarru-uṣur plus the ... who are with him, and ... the logs into ... of 40 (pieces) each." To no avail; they did not do any work ... (break of two lines) ... have rebelled ... 
... Ṭurušpâ	I went down to ... as far as the ... of the Na'iri land. I received tribute horses from the cities of Tikki and Hubuškia; the rest of the tribute I received (in) Ṭurušpâ.
If he does not, he shall pay (in) silver according to the market price of Nineveh.	If he does not, he shall pay according to the market price of Nineveh.
he will speak malicious words of evil against Esarhaddon, and make an insurrection or revolt against him.	he will speak malicious words, evil things against Esarhaddon, king of Assyria, and make insurrection and rebellion against him.
... the land to your hands ... 	... the land of Raši ... 
do not ... this ... 	... his ... in the town of ... 
He pours ... beer, (while) he sings, “... of the army.”	He pours ... , (while) he sings, “Awesome queen.”
Witness ... -ila'i, 'third man' of the crown prince.	Witness Rapi', 'third man' of the palace.
Umban-kidinni             	Marduk-bani-zeri             
From the booty of those lands that I had plundered, I conscripted 30,000 archers (and) 20,000 shield bearers and added (them) to my royal contingent. (v 20) I divided up the rest of the substantial enemy booty like sheep and goats among my entire camp and my governors, (and) the people of my great cult centers.	From the booty of those lands, I conscripted 30,500 archers (and) 20,200 shield bearers and added (them) to my royal contingent. I divided up the rest of the substantial enemy booty like sheep and goats among my entire camp and my governors, (and) the people of my cult centers.
shall place 10 minas of refined silver (and) one mina of pure gold in  the lap of Ninurta residing in Calah.	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
I/He traversed ... 	... horse trainers ... 
13 Kushite horses,	24 Kushite horses total;
(Property) of Nabû-šumu-libūr, king of the world.	(Property) of Adad-apla-iddina, king of the world.
... -ilani, farmer; 1 woman; 2 daughters, of 3 spans' height: a total of 4 people.	Hanî, son of Palṭi, formerly of the scarf weavers, farmer; Nusku-šezibanni, his son, of 4 spans' height; 1 woman; 1 daughter, of 3 spans' height: a total of 4 people.
You pour a libation bowl of wine on the head of the ram, throw finest flour on it, ... , place a libation bowl of water on it, place a ‘heart’ and a ‘wrist’ in his hands, and bind his hands with a tuft of red wool.	You pour a libation bowl of wine on the head of the ram, throw finest flour on it, ... , place a libation bowl of water on it, place a ‘heart’ and a ‘wrist’ (bread) in his hands, and bind his hands with a tuft of red wool. You sing, “... ” You sing: “I am exhausted, I pray to the Lord of Radiance.” You sing, “O Anu, father of the gods, creator of everything.”
Disregard that an angry man, or one in distress, spoke angrily the words of his report... 	Disregard that an angry, furious man spoke angrily the words of his report... 
Witness Kabtî.	Witness Ubru-Issar, servant of ... 
The  ... wrote (to me), saying: "my ... 	concerning whom my brother ... wrote me, saying: “... 
Perhaps the king, my lord, will say: "What is the news of Urarṭu?"	Perhaps the king, my lord, will say: "Did they kill (people) within  the city gates?" I swear by the gods of the king, my lord, that they entered  only one cubit, one span into the city centre. The king, my lord, may ask about it.
Adad-... , bodyguard of the crown prince;	Concerning the people of Barik-il about whom the king, my lord, wrote to me, now then Nabû-šallim of Larak has seized 53 souls and given them to Umadi, the bodyguard of the crown prince.
Witness Aplaya, city lord of Hu... 	Witness NN, ... Witness Aplaya, chief ... 
As to (... ) what you wrote	As to what you wrote to me: "I went to Der. Der is a great metropolis whose foundations are as firm as the mass of a mountain... I surrounded and captured that city. The gods  dwelling in Der together with their extensive property, the property of the palace ... ,
For 12 bows for the king's own use — Bazazanu.	For 22 bows for the king's own use, the sinews for the bowstrings — Sasî.
Total, in the town of ... butu near the town of Galali.	Total, (in) the town of Yanatâ, near the town of Haurina.
They argued about the house of Hunanu as long as it existed. Now they are arguing about Kar-Šarrukin. Not a day passes without their quarreling about the spoils.	They argued about the house of Hunanu as long as it existed. Now they are arguing about Kar-Šarrukin... Not a day passes without their quarreling about the spoils.
Witness Nabû-rim-ilani, mayor of Nineveh.	Witness Nabû-šarrani, city overseer of Nineveh.
1 tureen of soup.	A tureen of bouillon;
The 15th: perfect seed;	The 15th day: perfect seed.
... were received ... 	... , who nobody among the kings, my ancestors, ... I received ... as his audience gift. 
the woman Nikkal-... ;	the woman Nikkal-amat.
his royal couch, the treasure of his palace, his palace women, his sons and his daughters, 30,000 captives, their cattle  and sheep without number you took as spoils. Four hundred and seventy-six cities in the vicinity you razed, destroyed and burned.	his royal bed, the treasure of his palace, his palace women, his sons and his daughters, 30,000 captives, their cattle and their sheep without number I took as spoil. Four hundred and seventy-six cities in their vicinity I razed, destroyed and burned."
Month Ab (V), 10th day, eponym year of Sagab, governor of Harran (651).	Month Tishri (VII), 11th day, eponym year of Sagab (651).
Witness NN, cohort commander of the queen.	NN, king of Assyria, exempted (from taxes) and sealed with his royal seal, which is not to be altered, and gave it to NN, cohort  commander of the chief eunuch, the son of Babilayu.
which in the reign of the king, your father, they looted ... ,	An Urukian, Bulluṭu, son of Hummuru, testified against him in the presence of the king, your father, and they were sentenced to an ordeal. Bulluṭu was saying: "You gave ten chariots and horses to the king of Elam. The Urukians did not hand you over." When they went to the ordeal, Bulluṭu came through clear, but Hinnumu refused it. The king, your father, wrote to him later on and told him: "You yourself ... 
A basket of (mixed) fruit.	1 basket of (mixed) fruit.
Witness Ahu-eriba, palace manager.	Witness Ubru-Nabû, palace manager.
... the sartinnu; take ... 	which ... for your ... of the earthquake ... 
A built house ... 	My father's house ... 
If the moon and sun are in balance: the land will become stable; reliable  speech will be placed in the mouth of people; the king of the land will  make his throne last long.	If the moon and sun are in balance: the land will become stable; reliable speech will be placed in the mouth of people; the king ... will make the throne last long.
Concerning the ... about which the king, my lord, wrote to me:  "Right now ... 	As to ... about which the king my lord wrote to me, what else  should we do? There is no danger ... 
Belonging to the temple of the god Aššur. Shalmaneser, vice-regent of the god Aššur, son of Adad-nārārī (I) (who was) also vice-regent of the god Aššur, made it at his tākultu.	Belonging to the temple of the god Aššur. Shalmaneser, king of the universe, son of Adad-nārārī (I) (who was) also king of the universe, made it at his tākultu.
portions                            	Issar-šimanni                            
x ... ditto, the front black;	... , ditto, the front ditto, 1 1/4 mina;
An estate of 4 decares of field ... adjoining Šamaš-kenu-dugul, adjoining ... ,	An estate of 3 decares of field adjoining ... , adjoining the field ... ,  adjoining ditto ... —
On my fourth campaign, I marched to the land Bīt-Yakīn. In the course of my campaign, I defeated Šūzubu (Mušēzib-Marduk), a Chaldean who lives in the marshes, at the city Bittūtu. As for him, he  became frightened of my weapons, and (then) he fled alone and his (hiding) place could not be found.	On my fourth campaign, the god Aššur, my lord, encouraged me so that I mustered my numerous troops and ordered the march to the land Bīt-Yakīn. In the course of my campaign, I defeated Šūzubu (Mušēzib-Marduk), a Chaldean who lives in the marshes, at the city Bittūtu. (iii 55) As for him, terror of doing battle with me fell upon him and his heart pounded. He fled alone like a lynx and his (hiding) place could not be found.
The palace of Tukultī-Ninurta, king of the universe, king of Assyria, son of Adad-nārārī (II), king of Assyria: I/he restored the ruined (portions) of the towers of the door of the god Enpi.	The palace of Tukultī-Ninurta, king of the universe, king of Assyria, son of Adad-nārārī (II), king of the universe, king of Assyria, son of Aššur-dān (II) (who was) also king of the universe (and) king of Assyria: stone slab of the city Kaḫat.
The 2nd day. Care of Nabû-šarru-uṣur.	Of the wedding night of Mullissu — of the crown prince. Care of Nabû-šarru-uṣur.
... šallim... 	... that house ... all ... the goddess Šerua ... which he/they donated and (re)built their ... had become dilapidated. I removed their ruined portions. I (re)built them from top to bottom (and) restored them. I deposited my monumental inscription.
Hanunu and his people, ... ,	Danduru and his people, ... ,
... containing ... 	... king ... 
Witness Rimu'a.	Witness ... manu.
its weight is x minas ... 	Concerning what the king, my lord, wrote to me: "Where are these kakkussu-ornaments placed?" — they are placed upon the mole of the god Šidada, outwards. There are seven of them, and their weight is 5 minas and fifty shekels of gold. One mina and 10 shekels of the gold is for the breast of the god Humhum. A total of 7 minas of gold has been used in the time of the king, my lord, but there is no written record on it.
Witness NN, deputy of the palace scribe.	Witness Nabû'a, deputy of the tracker.
