...𒅅𒀜𒋫𒍝𒀸𒁉𒀉	... ig at-ta-ṣa ina be₂-et 	I brought ... and gave ... where ... 
...𒀭𒉌𒌋𒈨...𒁉𒊒𒌑𒈠...	... an-ni-u me-... bi-ru u₂-ma-... 	All this ... came in.
𒇻𒍝𒉌𒉡𒀀𒈾𒆪	lu za-ni-nu a-na-ku 	I am indeed the provider.
𒌍𒀲𒆳𒈨𒌍𒍦𒋾	30 {ANŠE}-KUR-MEŠ ṣib-ti 	30 horses, ṣibtu-tax;
𒌑𒊺𒍝𒄯𒊓𒀭𒄿𒌅𒊏	u₂-še-ṣa hur-sa-an i-tu-ra 	He refused the river ordeal.
𒄑𒇀𒈨𒌍𒀸𒌷𒅈𒍪𒄭𒈾𒀸𒋗𒈫𒅀𒊭𒄿...	{GIŠ}-GIGIR-MEŠ ina {URU}-ar-zu-hi-na ina ŠU.2-ia ša i-... 	The chariots are in my charge in Arzuhina. Those which ... 
...𒀭𒀝𒄿𒋛𒌋𒌋	... {d}-AG i-se-niš 	... -Nabû together
𒉌𒌓𒈩𒁹𒈬𒇲𒀭𒂗𒇽o	{NA₄}-KIŠIB {1}-mu-LAL—DINGIR EN LU₂ o 	Seal of Mutaqqin-ilu, owner of the man.
𒌗𒋗𒌓...𒆚𒅆𒈬𒁹𒌋𒌋𒉡𒆠𒀭𒅎	{ITI}-ŠU UD ... KAM₂ lim-mu {1}-man-nu—ki—{d}-IM 	Month Tammuz (IV), ... th day, eponym year of Mannu-ki-Adad.
...𒃻𒈠𒐖𒌍𒌋𒊕𒄯𒅆𒅆𒂟	... GAR-ma 150 U SAG MUR IGI SIG₅ 	... is present, and the left side of the 'finger' faces the top of the lung. Favorable... 
𒁹𒀭𒉺𒂗𒉆𒈨𒌍𒆳𒌓𒁴𒀀𒀀𒆷𒉽𒅕𒁵𒁹𒀭𒊹𒆕𒀀𒌋𒌋𒆳𒀸𒋩𒆕𒌓𒋗𒈫𒅗𒂗𒋙𒃻𒉌𒅖𒈬𒅗𒃲𒀀𒋡𒇺𒄑𒆳𒌑𒈠𒄿𒈨𒋙𒊩𒁹	{1}-{d}-PA—EN—NAM-MEŠ KUR—tam-tim-a.a la PAB-ir MUN {1}-AN.ŠAR₂—DU₃—A MAN KUR—aš-šur DU₃-ut ŠU.2-ka EN-šu₂ ša₂ ni-iš MU-ka GAL-a qa-liš iz-kur-u₂-ma i-me-šu₂ šal-ṭiš 	Nabû-bel-šimate, the Sealander, who did not keep the favor of Assurbanipal, king of Assyria, your creature, his lord, who invoked your great name lightly, and disregarded it haughtily —
𒈨𒊑𒃻𒀀𒋙𒀭𒀫𒌓𒂗𒃲𒌑𒈜𒉺𒇺𒈠𒀀𒈾𒈗𒁺𒉣𒍝𒊩𒌆𒋙𒇺𒊿𒁷𒆠𒈠𒋼𒈨𒂗𒁷𒌁𒆠𒇷𒆪𒉡𒁄𒈨𒌍𒋙	šip-ri ša₂-a-šu₂ {d}-AMAR.UTU EN GAL-u₂ lip-pa-lis-ma a-na LUGAL-GIN NUN za-nin-šu₂ liš-ruk TIN ki-ma te-me-en TIN.TIR {KI} li-ku-nu BALA.MEŠ-šu₂ 	May the god Marduk, great lord, look upon this work of mine (with pleasure) and may he grant (a long) life to Sargon, the prince who provides for him. May his reign be as firm as the foundation of Babylon.
𒀀𒄭𒀀𒈾...	a-hi a-na ... 	my energy to ... 
𒌋𒌋𒐋𒁹𒈫𒈠𒀸𒊓𒋼...	26 1:2 MA ina sa te ... 	26 1/2 minas in ... 
𒇷𒊩𒁉𒊒𒁄𒌑𒅗𒄠𒈨𒉌𒄠𒈨𒉌𒁹𒂗𒋙𒈫𒋙𒈗𒂗𒀀𒄠𒄯𒈠𒌋𒌋𒈠𒌌𒅖𒀪𒀠𒀭𒉌𒆠𒄿𒈬𒃻𒆳𒌵𒆠𒀸𒅆𒈗𒂗𒐊𒆷𒁀𒉡𒌑𒅇𒄭𒀉𒀀𒈾𒈗𒁁𒉌𒅀𒄴𒂅𒌑	li-šal-bi-ru BALA-u₂-ka am—mi₃-ni am—mi₃-ni 01.en-šu₂ 02-šu₂ LUGAL EN-a am-hur-ma mam-ma ul iš-ʾa-al-an-ni ki-i MU ša₂ KUR—URI {KI} ina IGI LUGAL EN-ia₂ la ba-nu-u₂ u₃ hi-iṭ a-na LUGAL be-li₂-ia ah-ṭu-u₂ 	Why is it that I have more than once petitioned the king, my lord, but nobody has questioned me, as if the name of the land of Akkad were not good in the eyes of the king, my lord, and as if I had sinned against the king, my lord?
𒋬𒊮𒂍𒃲𒄿𒊓𒌓𒌋𒉌𒈠𒀀𒅕𒁉𒌑𒄠𒈥𒋼𒋛𒉺𒉌𒄠𒈥𒋫𒁺𒅗𒉌𒋗𒄙𒊏𒀸𒂍𒃲𒊺𒁉𒆷𒉌𒌑𒈠𒀀𒀭𒉡𒋆𒀀𒊓𒁕𒊏𒀸𒌋𒅗𒄭𒂗𒅀𒌑𒋛𒁉𒆷	TA@v ŠA₃ E₂.GAL i-sa-par-u-ni ma-a er-bi-u₂ am—mar te-si-pa-ni am—mar ta-du-ka-ni šu-ṭur-ra ina E₂.GAL še-bi-la-ni u₂-ma-a an-nu-rig a-sa-ṭa-ra ina UGU-hi EN-ia u₂-se-bi-la 	They wrote to me from the Palace: "Write down all the locusts that you collect and all that you kill, and send  (the information) to the Palace!" Now then I am writing it down and sending it to my lord.
𒅆𒁹𒌋𒀜𒉽𒀀𒁹𒂦𒌋	IGI {1}-10—AD—PAB A {1}-BAD₃—10 	Witness Adad-abu-uṣur, son of Duri-Adad.
𒋗𒌑𒀸𒌋𒅗𒈗𒂗𒅀𒌑𒋛𒁉𒆷𒋙𒈗𒁁𒉌𒇺𒀠𒋙𒀀𒁺𒅋𒌨𒀭𒉌𒌑𒋛𒁉𒆷𒋙	šu-u₂ ina UGU LUGAL EN-ia u₂-se-bi-la-šu₂ LUGAL be-li₂ liš-al-šu₂ a-du il-lik-an-ni u₂-se-bi-la-šu₂ 	I am sending him (= the tracker) to the king, my lord. The king, my lord,  may ask him. I sent him as soon as he had come back.
𒐐𒀀𒀭𒋾𒅅𒉿𒈦𒃷𒅆𒆤𒋾𒋙𒉿𒋾𒅅𒌓𒀊𒋾𒅅𒌓𒆷𒀀𒌑𒂷𒇷𒀸𒌗𒄭𒂵𒌓𒈨𒊺𒈨𒂊𒍢𒅕𒌓𒇷𒂊𒋙𒀀𒌓𒀳𒋙𒀜𒁲𒌑𒆥𒈜𒈾𒊍𒋢𒀸𒁉𒊕𒃾𒅗𒋃𒅗𒋙𒀊𒇻𒌌𒄠𒄩𒍝𒊩𒆷𒅈𒋙𒆷𒁉𒅔𒋞𒄭𒀀𒋙𒍝𒁉𒇻𒁾𒋝𒆠𒋙𒀸𒂊𒇷𒇷𒉌𒄖𒌓𒌑𒁄𒌓𒌝𒋙𒀸𒄾𒈨𒌍𒊑𒃻𒀀𒋾𒌌𒌅𒀳𒋙𒀀𒁲𒃮𒁳𒁉𒂊𒋙𒅈𒍦𒂊𒇷𒊭𒈗𒈨𒌍𒀜𒈨𒌍𒅀𒋗𒁁𒋢𒌑𒊐𒄫𒌑𒊬𒊑𒄩𒅁𒊺𒋾𒋙	50.AM₃ ti-ik-pi maš-kan₂ ši-kit-ti-šu₂ pi-ti-iq-tu₂ ap-ti-iq tam-la-a u₂-mal-li ina ITI DUG₃.GA u₄-me še-me-e ṣe-er tam-le-e šu₂-a-tu₂ UŠ₈-šu₂ ad-di u₂-kin lib-na-as-su ina KAŠ.SAG GEŠTIN ka-lak-ka-šu₂ ab-lu-ul am-ha-ṣa šal-la-ar-šu₂ la-bi-in SIG₄.HI.A-šu₂ za-bi-lu tup-šik-ki-šu₂ ina e-le-li ni-gu-tu₂ u₂-bal u₄-um-šu₂ ina HUL₂.MEŠ ri-ša₂-a-ti ul-tu UŠ₈-šu₂ a-di gaba-dib-be₂-e-šu₂ ar-ṣip e-li ša LUGAL.MEŠ AD.MEŠ-ia šu-bat-su u₂-rap-piš u₂-šar-ri-ha ep-še-ti-šu₂ 	On the site of its (original) structure, I fashioned its brickwork fifty courses of brick (high). I filled in the terrace. In a favorable month, (on) an auspicious day, (vi 45) I laid its foundation(s) on that terrace (and thereby) secured its brickwork. I mixed its kalakku-mortar with beer and wine; I blended its šallaru-plaster. Its brick maker(s and) hod carrier(s) spent their days in rejoicing (and) singing. While there were joyous celebrations, I built (it) from its foundation(s) to its crenellations. (vi 50) I made its structure larger (and) its workmanship more splendid than the one of the kings, my ancestors.
...𒁺𒌋𒉌𒉌	... du-u-ni-ni 	... they ... us
𒅆𒁹𒀀𒍣𒀭𒇽𒑳	IGI {1}-a-zi—DINGIR {LU₂}-:. 	Witness Azi-il, ditto.
...𒀉𒋫𒋃𒁲...	... it-ta-lak di-... 	... he has gone... 
...𒈨𒊑𒂊𒋾𒀉...	... šip-re-e-ti it-... 	... messages ... 
𒈫𒈠𒀀𒈾𒀝𒋡𒁀𒉌𒊭𒂵𒈨𒁕𒋼	02 MA a-na aq-qa-ba-ni ša ga-me-da-te 	2 minas for the hind-part of the ... -garments.
𒌌𒄿𒁺𒐌𒈬𒀭𒈾𒀀𒂵𒍦𒋾𒅆𒉡𒂟𒋫𒆪𒃻𒆷𒈗𒂍𒀀𒈾𒀀𒋙𒃻𒋃𒅀𒄷𒌓𒂅𒌑𒀸𒁍𒁀𒀀𒋾𒃻𒃻𒄭𒀀𒄿𒈾𒍦𒋾𒐊𒀀𒈠𒀀𒌅	ul i-du 07 MU.AN.NA a-ga ṣib-ti lem-nu ṣab-ta-ku ša₂ la LUGAL E₂-a na-a-šu₂ NIG₂.ŠID-ia hu-uṭ-ṭu-u₂ ina bu-ba-a-ti ša₂ NINDA-HI.A i-na ṣib-ti-ia₂ a-ma-a-tu 	These seven years I have been held in durance vile. Without the king, they have taken my estate (and) destroyed my property. I am dying of hunger in my imprisonment.
𒀭𒂗𒀭𒉺𒌋𒀭𒌓𒍮𒇷𒂊𒅗𒆠𒄿𒅖𒈬𒌑𒉌𒈗𒋾𒃻𒁕𒊏𒀀𒋫𒁄𒂊𒁍𒁕𒈨𒌍𒀀𒈾𒈗𒁁𒉌𒐊𒀉𒆗𒉡𒅇𒆠𒈠𒍢𒂊𒋫𒀭𒌓𒅆𒆳𒆳𒃮𒁉𒀸𒍢𒂊𒋾𒅗𒉆𒊒𒅇𒀀𒈾𒆪𒀸𒊮𒂊𒂅𒋾𒋼𒀀𒊩𒈨𒈨𒉌𒀀𒁲𒉺𒀭𒈗𒆷𒀀𒌑𒃼𒊐𒀭𒉌𒄩𒁀𒆷𒋫𒅀𒊭𒀀𒈾𒌉𒈗𒌉𒈗𒂗𒐊𒄴𒄯𒌋𒉌𒈗𒁁𒉌𒄑𒋛𒅀𒅖𒁓𒌋𒉌𒈠𒀀𒄭𒉈𒀀𒋼𒋙𒊓𒄩𒊏𒁲𒈾	{d}-EN {d}-PA u {d}-UTU ṣu-le-e-ka ki-i iš-mu-u₂-ni LUGAL-ti ša₂ da-ra-a-ta BALA-e GID₂.DA-MEŠ a-na LUGAL be-li₂-ia₂ it-tan-nu u₃ ki-ma ṣe-e-ta {d}-UTU-ši KUR.KUR gab-bi ina ṣe-e-ti-ka nam-ru u₃ a-na-ku ina ŠA₃ e-ṭu-ti kar-rak me-me-ni a-di pa-an LUGAL la-a u₂-qar-rab-an-ni ha-ba-la-ta-ia ša a-na DUMU—LUGAL DUMU—LUGAL EN-ia₂ ah-hur-u-ni LUGAL be-li₂ is-si-ia iš-pur-u-ni ma-a hi-bil-a-te-šu₂ sa-ha-ra di-na 	Bel, Nabû and Šamaš heard (this) prayer for you, and they gave the king, my lord, an everlasting kingship (and) a long reign. And like sunshine, all the countries are illuminated by your light. But I have been left in darkness; no one brings me before the king. My outstanding debts, because of which I appealed to the crown prince, my lord, and (because of which) the king, my lord, sent (his messenger) with me, saying, "Give his outstanding debts back to him!" —
...𒋙𒀀𒈨𒅇𒄿𒈾𒅗...𒈨𒌍	... šu₂ a-šib u₃ i-na KA ... MEŠ 	... is resident in ... And according to ... 
...𒁹𒌍𒂊	... {1}-30—E 	... Sin-iqbi.
𒀭𒈨𒌍𒆕𒋙𒉡𒊭𒌷𒆕𒍣𒈫	DINGIR-MEŠ DU₃-šu₂-nu ša {URU}-kal₃-zi MIN 	Ditto by all the gods of Kilizi!
𒀸𒌗𒆥𒌑𒁄𒆷𒀸𒌷𒅈𒉻𒁕𒀀𒈾𒂗𒉿𒆤𒋼𒂗𒉿𒆤𒋼𒊭𒁹𒀭𒉺𒌆𒌋𒌋𒉽𒄿𒆗o	ina {ITI}-KIN u₂-bal-la ina {URU}-ar-pad-da a-na EN—pi-qit-te EN—pi-qit-te ša {1}-{d}-PA.TUG₂—MAN—PAB i-dan o 	He shall bring in the month Elul (VI) and give (them) to the official of Nusku-šarru-uṣur in Arpadda.
𒅆𒁹𒄑𒋾𒀀𒉡𒇽𒃲𒐐𒇽𒃲𒐐𒃻𒈠𒄭𒍝𒀀𒉌	IGI {1}-{GIŠ}-TI-a-nu {LU₂}-GAL—50 {LU₂}-GAL—50 ša₂ ma-hi-ṣa-a-ni 	Witness Pilaqqanu, commander-of-fifty of the mounted archers.
...𒋙𒉏𒈠...	... šu₂-nim-ma ... 	... they ... and
...𒈲...	... MUŠ ... 	Snake ... 
𒁹𒀯𒀸𒁁𒀸𒌗𒀊𒋬𒌓𒁹𒆚𒂗𒌓𒌍𒆚𒀸𒀭𒌓𒋙𒀀𒀉𒁄𒂙𒆳𒋛𒁲	1 {MUL}-dil-bat ina {ITI}-AB TA@v UD 01-KAM₂ EN UD 30-KAM₂ ina {d}-UTU.ŠU₂.A it-bal BURU₁₄ KUR SI.SA₂ 	If Venus in Tebet (X) from the 1st to the 30th day disappears in the west: the harvest of the land will prosper.
𒁹...𒊭𒋗𒈫𒁹𒍝𒈪...𒁹...𒀪𒀴𒊭𒁹...𒁹...𒄠𒊭𒋗𒈫𒁹𒄯𒈪...𒐈𒁮𒃼𒈨𒌍𒀭𒉡𒌓𒋗𒉡𒅆𒈨𒌍𒅀𒀸𒊮𒆷𒄥𒁍𒉌	{1}-... ša ŠU.2 {1}-za-mi-... {1}-... aʾ ARAD ša {1}-... {1}-... am ša ŠU.2 {1}-har-mi-... 03 {LU₂~v}-DAM.QAR-MEŠ an-nu-tu₂ šu-nu {LU₂~v}-IGI-MEŠ-ia ina ŠA₃ la qur-bu-ni 	NN, a subordinate of Zami... ; ... a', a servant of NN, and ... am, a subordinate of Harmi... — these three merchants are my witnesses; they are not involved.
𒅆𒁹𒀴𒀭𒈦𒀀𒁀	IGI {1}-ARAD—{d}-MAŠ {LU₂~v}-A.BA 	Witness Urda-Inurta, scribe.
𒉺𒄢𒌑𒃵𒈥𒀸𒃻𒅗𒊏𒊑𒀭𒈨𒌍𒌒𒉺𒀾𒆠𒄑𒁍𒄿𒁉𒉺𒅁𒇻𒀬𒈨𒌍𒄿𒈾𒆤	pa-gul u₂-gam-mar ina NINDA ka-ra-ri DINGIR-MEŠ up-pa-aš₂ ki-is-pu i-kas₂-sap {UDU}-SISKUR-MEŠ i-na-sah 	He pours out a libation bowl. While bread is being placed (on the table), he treats the gods, performs a funerary offering, and performs sheep offerings.
𒆷𒄿𒊏𒄴𒄷𒊻𒌌𒌅𒁹𒀭𒀝𒈬𒃻𒌦𒅇𒁹𒀭𒌍𒁺𒊑𒋼𒀀𒍢𒐊𒀀𒈾𒈗𒄿𒆪𒇻	la i-ra-ah-hu-uṣ ul-tu {1}-{d}-AG—MU—GAR-un u₃ {1}-{d}-30—du-ri kar-ṣi-ia₂ a-na LUGAL i-ku-lu 	After Nabû-šuma-iškun and Sîn-duri libelled me to the king,
𒀸𒐉𒁄𒈨𒌍𒅀𒀸𒌗𒄞𒌓𒌋𒐈𒆚𒋫𒌷𒉌𒉡𒀀𒀜𒌅𒈲𒀀𒇉𒀀𒋥𒀸𒈪𒇷𒊭𒂊𒋼𒄵𒂕𒁹𒀀𒄷𒉌𒌉𒀀𒁲𒉌𒅈𒋾𒁲𒆳𒅆𒌓𒋥𒆳𒌑𒁀𒀭𒆳𒂊𒊭𒀀𒉺𒀀𒇉𒀀𒋥𒊭𒆠𒈠𒅎𒋛𒀀𒋫𒀭𒂊𒋗𒋡𒇻𒆳𒀀𒈾𒆗𒉡𒋾𒋙𒅖𒆲𒆳𒌑𒁀𒈾𒀜𒆳𒂊𒀀𒋛𒁉𒀝𒋫𒆳𒁹𒀀𒄷𒉌𒀀𒁲𒀭𒈨𒌍𒉌𒋙𒄑𒇀𒈨𒌍𒋙𒀲𒆳𒊏𒈨𒌍𒋙𒌋𒌋𒅆𒈫𒅆𒂟𒈨𒌍𒋙𒀀𒋢𒄩𒋗𒀀𒈾𒌷𒅀𒀸𒋩𒌒𒆷	ina 4 BALA.MEŠ-ia ina {ITI}-GU₄ UD.13.KAM₂ TA {URU}-ni-nu-a at-tu-muš {ID₂}-A.RAD ina mi-li-ša e-te-bir EGIR {m}-a-hu-ni DUMU-a-di-ni ar-ti-di {KUR}-ši-tam-rat {KUR}-u₂-ba-an KUR-e ša a-hat {ID₂}-A.RAD ša ki-ma DUNGU TA AN-e šu-qa-lu-lat a-na dan-nu-ti-šu₂ iš-kun {KUR}-u₂-ba-na-at KUR-e a-si-bi ak-ta-šad {m}-a-hu-ni a-di DINGIR.MEŠ-ni-šu₂ {GIŠ}-GIGIR.MEŠ-šu₂ ANŠE.KUR.RA.MEŠ-šu₂ 20 LIM 2 LIM ERIM.MEŠ-šu₂ a-su-ha-šu a-na URU-ia aš-šur ub-la 	In my fourth regnal year, on the thirteenth day of the month Ayyāru, I moved out from Nineveh (and) crossed the Euphrates in flood in pursuit of Aḫunu, the man of Bīt-Adini. He had made as his stronghold (ii 5) Mount Šītamrat, a mountain peak on the bank of the Euphrates which is suspended from heaven like a cloud. I besieged (and) captured the mountain peak. Aḫunu, together with his gods, his chariots, his horses, (and) 22,000 of his troops I uprooted (and) brought to my city, Aššur. 
𒌑𒋡𒀪𒌑𒂗𒈾𒆠𒄿𒀾𒈬𒌑𒀸𒋗𒈫𒋙𒉡𒀉𒋼𒄴𒅋𒋼𒈨𒋙𒉡𒌓𒀀𒈾𒉿𒉿𒋙𒉡𒀉𒋫𒋃𒆳𒉏𒈠𒆠𒃮𒁉𒉈𒂊𒈨𒅋𒋳𒉌𒍥𒁕𒆜𒈫𒋢𒉡𒄿𒄭𒊒	u₂-qa-ʾu-u₂ en-na ki-i aš₂-mu-u₂ ina ŠU.2-šu₂-nu it-te-eh il-te-me-šu₂-nu-tu₂ a-na pi pi-šu₂-nu it-ta-lak {KUR}-NIM.MA {KI} gab-bi ṭe₃-e-me il-tak-ni ZID₂.DA.KASKAL.2-su-nu i-hi-ru 	Now I have heard that he has relented in their hands (and) listened to them, (and) has gone (and) given orders to the whole of Elam in accordance with their command. They have prepared their travel provisions ... 
𒇽𒋃𒇻𒀬𒀬𒈨𒌍𒄿𒈾𒆤...𒈠𒆷𒄷𒂊𒉺𒀾𒀀𒈾...𒌑𒉺𒊕𒊓𒊑𒌑𒊺𒋳...	{LU₂}-SANGA {UDU}-SISKUR.SISKUR-MEŠ i-na-sah ... ma-la-hu e-pa-aš₂ a-na ... u₂-pa-sak sa-ri u₂-še-taq ... 	The priest performs sheep offerings, ... , does malāhu, ... s to ... , cleans the table, (and) sweeps the room with a broom ... 
...𒊏𒀀𒈾𒌷𒁲𒊑𒆠𒄿𒋫𒌁...	... ra a-na {URU}-de-ri {KI} i-ta-tir ... 	... has exceeded Der ... 
𒁹𒌍𒀸𒅆𒇲𒋙𒃻𒄣𒈠𒅆𒅕𒉽𒀸𒆳𒄿𒌨𒆠	1 30 ina IGI.LAL-šu₂ ša₂-qu-ma IGI-ir KUR₂ ina KUR i-leq-qi₂ 	If the moon at its appearance is high and becomes visible: the enemy will plunder in the land.
𒀀𒈾𒁹𒀭𒉺𒋢𒉽...	a-na {1}-{d}-PA—SU—PAB ... 	to Nabû-tartiba-uṣur
...𒀭𒈹𒅅𒊑𒁁𒋗𒄿𒊺𒈨𒈬𒉌𒀘𒅆𒀉𒊑𒅀𒅇𒋗𒈪𒅀	... {d}-INANNA ik-ri-be-šu i-še-me mu-ne₂-kir₆ ši-iṭ-ri-ia u₃ šu-mi-ia 	May a later prince, when that wall, ziggurrat, and gate become dilapidated, restore them. (Then) the goddess Ištar will listen to his prayers.
𒀭𒁀𒀠𒊓𒈨𒈨𒀭𒁀𒀠𒈠𒆷𒄀𒂊𒀭𒁀𒀠𒍝𒁍𒉡𒅎𒅆𒉡𒀸𒄑𒈣𒈨𒌍𒆪𒉡𒇻𒆳𒁀𒄑𒈥𒆜𒅆𒈾𒈜𒂅𒌨𒄑𒋻𒆰𒆷𒅆𒈾𒇷𒄑𒋢𒄷𒂊𒁺𒌋𒆗𒉡𒀸𒌓𒁴𒇷𒁕𒁉𒅆𒈾𒌑𒊒𒀀𒄖𒌋𒂊𒇷𒆪𒉡𒇷𒇷𒀀	{d}-ba-al—sa-me-me {d}-ba-al—ma-la-ge-e {d}-ba-al—ṣa-pu-nu TU₁₅ lem-nu ina {GIŠ}-MA₂-MEŠ-ku-nu lu-šat-ba {GIŠ}-mar-kas-ši-na lip-ṭu-ur {GIŠ}-ṭar-kul-la-ši-na li-is-su-hu e-du-u dan-nu ina tam-tim li-ṭa-bi-ši-na šam-ru a-gu-u e-li-ku-nu li-li-a 	May Baal Shamaim Baal Malagê and Baal Saaphon raise an evil wind against your ships to undo their moorings and tear out their mooring pole, may a strong wave sink them in the sea and a violent tide rise against you.
𒅆𒁹𒍣𒍣𒅀	IGI {1}-zi-zi-ia 	Witness Ziziya, ditto.
𒉌𒅁𒁷𒀝...	ni-ip-tin ak-... 	we want to become strong ... 
𒌑𒆷𒀀𒀀...𒀸𒌋𒅗𒁹𒆠𒈲𒀸𒋩...	u₂-la-a a-... ina UGU {1}-ki-ṣir—aš-šur ... 	Otherwise, ... to Kiṣir-Aššur.
𒌣𒆬𒄀𒈠𒀀𒆬𒄀𒇻𒋥𒁺𒌦𒈾𒅆	{LU₂~v}-SIMUG.KUG.GI ma-a KUG.GI lu-rad-du-un-na-ši 	The goldsmiths say they need more gold.
𒉌𒌓𒈩𒁹𒌋𒄥𒌋𒌋𒉽...	{NA₄}-KIŠIB {1}-U.GUR—MAN—PAB {LU₂~v}-... 	Seal of Nergal-šarru-uṣur, ... 
𒊩𒂍𒃲𒌓𒀸𒊮𒁉...	{MI₂}-E₂.GAL-tu₂ ina ŠA₃-bi ... 	the lady Ekallitu in ... 
𒌉𒆍𒀭𒊏𒆠𒌉𒆍𒀭𒊏𒆠𒋗𒌋𒀸𒌋𒅗𒄭𒅀𒀉𒊑𒅗𒈠𒀀𒁲𒁉𒀸𒅗𒅀𒈠𒀀𒀸𒂍𒃲𒇻𒁉𒇻𒌋𒉌	DUMU—KA₂.DINGIR.RA {KI} DUMU—KA₂.DINGIR.RA {KI} šu-u ina UGU-hi-ia it-tal-ka ma-a di-bi ina KA-ia ma-a ina E₂.GAL lu-bi-lu-u-ni 	A Babylonian has come to me, saying: "I have things to say; let them take me to the Palace" —
𒅆𒁹𒃶𒉣𒀀𒀀𒊩𒋢𒁕𒆷𒀀𒉌	IGI {1}-HE₂.NUN-a.a {LU₂~v}-rak-su da-la-a-ni 	Witness Nuhšaya, ... conscript.
...𒌉𒋙𒂗𒈨𒌍...	... DUMU-šu₂ EN-MEŠ ... 	... , his son, ... s ... 
𒃻𒉌𒅀𒀪𒉡...	ša₂-ni-ia-aʾ-nu ... 	For the second time ... 
𒈗𒁁𒉌𒀸𒌋𒅗𒁹𒊓𒉌𒅀𒂊𒂗𒌷𒂗𒌷𒇺𒁓𒁹𒆪𒈠𒀀𒀀𒀭𒉡𒋼𒇻𒍝𒁉𒀉𒀸𒌋𒅗𒈗𒁁𒉌𒐊	LUGAL be-li₂ ina UGU {1}-sa-ni-ie-e EN—URU EN—URU liš-pur {1}-ku-ma-a.a an-nu-te lu-ṣa-bi-it ina UGU LUGAL be-li₂-ia₂ 	The king, my lord, should write to Saniye, the city lord, that he should arrest these Kummeans and send them to the king, my lord.
𒈠𒀀𒈗𒆳𒉏𒈠𒆠...𒀸𒌷𒂍𒁍𒅘𒆠𒋗𒌑	ma-a LUGAL {KUR}-NIM.MA {KI} ... ina {URU}-E₂—bu-nak-ki šu-u₂ 	The king of Elam ... is in Bit-Bunakki.
...𒉌𒈫𒌷𒋗𒊏𒀀𒀀	... ni 02 {URU}-šu-ra-a.a 	Witness ... ni, 2 (witnesses from) Šuru.
𒐉𒊕𒁺𒃮𒊭𒇻𒀴𒋗𒁉𒂊	04 SAG.DU GABA ša UDU.NITA₂ šu-be₂-e 	4 heads (and) breasts of x roast sheep.
...𒀀𒃻𒀀𒈾...	... a ša₂ a-na ... 	My ... , whom ... to ... 
𒁹...𒇷...𒌉𒁹𒁀𒆷𒋢𒇽...	{1}-... li ... DUMU {1}-ba-la-su {LU₂}-... 	NN, son of Balasu, ... 
𒆠𒆗𒅗𒁴𒋾𒀀𒋩𒊩𒆠𒃻𒉺𒅁𒆷𒉡𒄀𒈨𒌍𒂊𒆷𒌋𒌋𒀀𒇒𒌓𒀀𒀉𒋾𒉌𒌓𒉿𒄿𒇷𒃲𒈨𒌍𒂄𒉡𒌋𒌋𒀝𒋛𒐊𒈨𒐐𒐉𒄿𒈾𒁹𒌑𒁍𒁕𒈫𒈨𒐕𒌋𒌋𒑆𒀸𒁹𒌑𒂼𒀀𒊮𒌌𒌅𒈠𒀀𒈨𒌑𒊺𒇴𒈠𒀀𒈾𒋻𒉺𒅆𒂊𒌑𒌁𒍢𒅕𒈨𒅆𒄴𒋾𒌓𒇷𒄿𒈤𒊑𒂊𒇻𒌑𒋥𒁲𒈠𒀀𒈾𒋛𒄭𒅕𒋾𒋗𒄿𒈾𒁹𒈨𒐕𒌍𒋾𒅁𒆠𒌌𒆷𒀀𒊑𒅆𒋙𒀀𒈾𒑆𒈨𒌋𒐉𒀸𒆹𒈝𒃲𒋾𒍑𒅇𒐉𒈨𒐏𒀸𒆹𒈝𒃲𒁴𒊕𒆠𒅆𒆤𒋾𒂍𒃲𒌑𒌁𒈠𒋗𒁁𒊓𒍑𒊐𒁉	qe₂-reb ka-tim-ti a-sur-rak-ki-ša₂ šap-la-nu GI.MEŠ e-la-niš ESIR.UD.A it-ti {NA₄}-pi-i-li GAL.MEŠ dun-nu-niš ak-si 5 ME 54 i-na 1.KUŠ₃ GID₂.DA 2 ME 89 ina 1.KUŠ₃ DAGAL A.ŠA₃ ul-tu ma-a-me u₂-še-lam-ma a-na tar-pa-še₂₀-e u₂-ter ṣe-er me-ši-ih-ti tam-li-i mah-re-e lu u₂-rad-di-ma a-na si-hi-ir-ti-šu i-na 1 ME 90 ti-ib-ki ul-la-a re-ši-šu₂ a-na 9 ME 14 ina AS₄.LUM GAL-ti UŠ u₃ 4 ME 40 ina AS₄.LUM GAL-tim SAG.KI ši-kit-ti E₂.GAL u₂-ter-ma šu-bat-sa uš-rab-bi 	In the hidden depths of its subterranean waters I very firmly bonded reeds below (and) bitumen above with large (blocks of) limestone. I raised a plot of land that was 554 cubits long (and) 289 cubits wide out of the water and converted (it) into an empty lot. (40) I added (it) to the former dimensions of the terrace, and raised its superstructure in its entirety 190 courses of brick. I enlarged the structure of the palace to 914 large cubits along (its) longer side and 440 large cubits along (its) shorter side and (thus) I made its site bigger.
