I brought ... and gave ... where ... 	... and shall send ... 
... of the centre of the city	... whom the king ... 
May Adad, canal inspector of heaven and earth, ... so that whatever is therein cannot rise ... 	The great gods of heaven and earth have sent health to the king, my lord ... 
2 cuts of shoulder of an ox  of the temple of Dagan, of the chief treasurer;	Of the wedding night of Mullissu — of the chief treasurer.
... beet-like carnelian	... we captured
I am writing to you right now: the day you see this letter of mine, go and tell these words to ... He should set out and go to ... in accordance with the report, and tell  him: "I have received the following royal order: '... have set ... "	I am writing to you right now: You have sent many of them to the south and to the north or wherever on (various) errands; summon them wherever they are, they must be there before my eunuch arrives. I shall now send my eunuch to make a review of them.
Month Iyyar (II), 14th day, eponym year of Upaq-ana-Arbail.	Month ... , 23rd day, eponym year of Zazaya.
before the (king) of Hamath ... 	... whom the king ... 
I expertly fashioned four mountain sheep colossi of silver (and) bronze, together with mountain sheep colossi of massive mountain stone, and in four directions I made (them) hold their (the gates’) suitable door bolt(s).	I fastened bands of bright copper on doors of white cedar and I installed (them) in their gates. I had magnificent bull colossi fashioned from white limestone that was discovered in the territory of the city Balāṭāya and on the right and left I made (them) hold their door bolt(s).
Nabû-šezib from Tyre has sent me this sealed Aramaic document, saying:  "Let it be sent to the Palace." I have sent it to the Palace.	We are dead dogs. We have spoken to the servants of the king, our lord, saying: "Let us see the face of the king, so that we may come to life."
... with them to ... 	... whom the king ... 
There are ... 	4 minas ... ;
NN, gardener, his wife.	11 gardeners;
Esarhaddon, king of the world, king of Assyria; son of Sennacherib, king of the world (and) king of Assyria; the one who (re)constructed the temple of the god Aššur, (re)built Esagil (5) and Babylon, ... , restored  the shrines of cult centers, completed the rites and ... , (10) (and) (re)confirmed the sattukku offerings ... of the great gods, am I.	Aššur-etel-ilani, mighty king, king of the world, king of  Assyria; son of Assurbanipal, king of the world, king of Assyria, overseer; son of Esarhaddon, king of the world, king of Assyria, likewise overseer; son of Sargon (II), king of the world, king of Sumer  and Akkad.
a king who before ... 	... whom the king ... 
at the disposal of Partama.	at the disposal of Mannu-ki-Nabû, courtier of the Succession Palace.
When the king my lord wrote to the crown prince and he punished me, ... These words ... I swear no one of the brothers of Gidgidanu has gone out of Dur-Šarruken!	If the king, my lord, (nevertheless) orders: "They must go!" then let ten (officials) from the Inner City and five from Calah stay to look after the bull colossi; the rest may go to Dur-Šarruken.
I opened up a foundation pit for the outer wall, Badnigerimḫuluḫa, (which means) “Terrorizer of Enemies,” then ... (vii 45') Until I had (it) reach the water table, I dug down into the water forty-five nindanu, then I bound together strong mountain stone below and above I expertly carried out its construction with large limestone (blocks) up to its copings.	I opened up a foundation pit for the outer wall, Badnigerimḫuluḫa, (which means) “Terrorizer of Enemies,” then I dug down forty-five nindanu and made (it) reach the water table. I bound together strong mountain stone in the water below and above I expertly carried out its construction with large limestone (blocks) up to its copings.
My husband, who ... , cried out: Do not ... me, my charming wife!	you conquered ... ; a priest should not ... the king! ... 
Nirgî             	Marduk-bani-zeri             
... of the royal road ... 	... whom the king ... 
A tablet of Nabû-ila'i to Puṭiširi. Good health to my brother! May Nabû and Marduk bless my brother.	To the king, my lord: your servant Nabû-naṣir. May Nabû and  Marduk bless the king, my lord!
Concerning the men of whom the king, my lord, wrote to me, ... 188 men, among them 53 dependents, 20 oxen, 24 donkeys, x sheep, x minas of gold	Concerning the people of Barik-il about whom the king, my lord, wrote to me, now then Nabû-šallim of Larak has seized 53 souls and given them to Umadi, the bodyguard of the crown prince.
Remanni-Adad, chariot driver of the king, has contracted and bought him from Mušezib-Marduk for 1 1/2 minas (of silver) by the (mina) of the king.	Šulmu-šarri, ... has contracted and bought it for 1/2 mina of silver ... 
The temple of the gods Nabû (and) Marduk that had previously been built opposite the new gate facing north, became dilapidated and Adad-nārārī (III), son of Šamšī-Adad (V), king of Assyria (... ), a prince who preceded me, (re)built (it). The foundations of this temple were not made strong and its foundation wall was not fixed like bedrock. Seventy-five years elapsed and it became old and dilapidated (lit.: “dilapidated and old”). In order not to change its location (and) to build (it) beside the temple of the goddess Ištar of Nineveh, I requested the command of the god Nabû (... ), my lord, and by means of the diviner’s bowl he answered me with (his) firm approval not to change its location. Then, from its foundations to its crenellations, I completely (re)constructed the temple of the gods Nabû and Marduk, my lords, (that) had been built beside the temple of the goddess Ištar of Nineveh, and I set my clay sikkatu-cones (in place).	At that time, (with regard to) the juniper palace in the city Kalḫu that Ashurnasirpal (II), a prince who preceded me had previously built, the foundations of this house had not been made strong and its foundations had not been secured upon firm ground, (on) bedrock. (15) It had become old (and) dilapidated  (lit.: “dilapidated (and) old”) due to downpours of rain; its footing had dissolved and its bondings given way. I identified its (former) location and reached the bottom of its foundation pit. I piled up its foundation terrace upon heavy limestone blocks like the base of a high mountain. I completely (re)constructed (it) from its foundations to its crenellations. I opened up an air passage to the left of its door for my pleasure. I depicted inside it (the palace) the conquest of cities, the triumph of my weapons, that I had achieved over the enemy, and I filled it with abundance for the inspection (of the people).
Tukultī-Ninurta, king of the universe, strong king, king of Assyria, conqueror of the rebellious — those who do not submit (to him and) who are hostile to the god Aššur—, defeater of all the unsubmissive rebels (of) the lands of the Uqumanu and Papḫu, crusher of the land Katmuḫu (and) the army of the land of the Qutu — difficult mountain (regions) — , disperser of the forces of the land of the Šubaru in their entirety, overwhelmer of all the unsubmissive (of) the lands Alzu (and) Purulumzu, legitimate prince who marches about in the four quarters with the support of the god Aššur and the great gods and has neither successful opponent nor rival, capturer of enemy districts above and below, strong king, capable in battle, the one who took over the rule of all the lands Nairi and subdued the forty kings, their commanders, at his feet, (the one who) added the lands Azalzi and Šepardi to his territory; son of Shalmaneser (I) king of Assyria; son of Adad-nārārī (I) (who was) also king of Assyria:	who regularly received the tribute of their lands and the produce of their mountains, ... designate of the god Anu, the one who with his fierce valor subdued princes (and) all kings, ... overwhelmer of all the unsubmissive (of) the lands Alzu and Purulumzu ... who took over the rule of all the land of the Šubaru ... exalted priest ... who regularly vied with ... with bronze clasps ... valiant hero, creature of the god Adad, who brought about the defeat of ... favorite of the god Ninurta, the one who controlled all quarters with his strong might ... who subdued at his feet ... ; son of Shalmaneser (I), king of Assyria; son of Adad-nārārī (I) (who was) also king of Assyria:
x cans of beer	the gods of Der. 
x+1 ditto-garment, ditto, the front ... 	1 ... -garment ... ,
tribute of the month of ... 	Witness Ubru-Issar, servant of ... 
Witness Kiṣir-Aššur, ditto.	Witness Ubru-Issar, servant of ... 
Witness Nabû-kenu-balliṭ.	Witness Azi-il, scribe.
... they have given me	... we arrived
In order to be able to draw water by bucket every day, I had bronze wire chains and bronze cables made and, instead of poles, I had tree trunks and date palm(s) of copper placed over wells.	In order to be able to draw water by bucket every day, I had bronze wire chains and bronze cables made and, instead of poles, I had tree trunks together with date palm(s) of copper placed over wells.
Tarhundapî has contracted and bought him for 32 shekels of silver.	Šulmu-šarri, ... has contracted and bought it for 1/2 mina of silver ... 
As to the news of the Urarṭian, he set out on the ... day and was making sacrifices in the city of A... on the ... th with his magnates, (when) a message from the Hubuškian came to him:	(As to) the news of the Urarṭians, ... the departure of ... the emissary of the Mannean (king) ... oxen and sheep ... "
Witness Bel-abu-uṣur. Witness Ki-Mama, from Naṣibina.	Witness Ahû'a-eriba. Witness Šamaš-nammir, merchant.
Witness Ahi-ila'i.	Witness ... 
Ditto by all the gods of Sumer and Akkad!	the gods of Der. 
The Lady of Babylon, who has black wool on her back and red wool on her front, ... The red wool on her front is the blood of the heart which was shed.	The king of Babylon and the king of the Elam abandoned their tents (and), in order to save their lives, they trampled the corpses of their troops as they pushed on. 
1 hectare in a meadow adjoining the fields of Addî and Šamaš-iqiša;	adjoining the field of ... ,
6 temple stewardesses ... ;	4 minas ... ;
I together with ... 	... whom the king ... 
(Property) of Bēl-... , the ša rēši of the king.	Seal of ... , owner of the ... being sold.
the exempts ... 	Witness ... 
40 hectares of land in the town of Ṣelâ, assigned to Kalhayu, the ša šepi guard(sman).	An estate of 2 hectares of land adjoining the field of ... adjoining the road that leads to Enati.
As to the weir about which the king, my lord, wrote to me: "Be attentive! Why is the work assignment behind schedule?" — they have not finished digging the rivers which they undertook, it being the time of cultivating the seeds, but have moulded bricks and trodden (earth).	Concerning the work of ... about which the king, my lord, wrote  to me, saying: "Let them process the gold according to this ... " —  we have now weighed out the gold and silver which are the property of  Sin and carry the seal of Nabû-zeru-ibni. We have melted down 23 minas  of gold in the agate-standard, including the votive gifts. Now they  will hammer (it) as thin as the king commands.
... resting place	... we captured
1 talent 1 mina, Mannu-ki-... , chief of the sailors.	at the disposal of Mannu-ki-Nabû, courtier of the Succession Palace.
I have already written to my lord twice: 46 horses, 165 oxen, 4,635 sheep are in my charge (and) 33 horses, 135 oxen are in the charge of Aššur-naṣir.	We have already given 150 sheep, 20 oxen and 2 horses, as audience gift of the town Dur-Šarruken."
Witness Na'nu, ... 	Witness ... 
... as on the first day	... whom the king ... 
Babylon, ... 	when ... 
2 (cuts of) salted meat,	3 litres of bread, 2 litres per day,
I was listening to their words, but I did not believe (them) and became distressed.	Now then I am sending to the king, my lord, the letter of Naṣibi that came to Nabû-iqiša.
220, the cupbearer(s).	400, the confectioners;
Palace of Sennacherib, king of Assyria. Whoever erases my inscribed name (or) places (it) in the service of a god (or another) person, may the deities ... , Šamaš, Adad, ... , (and) Nergal make his name (and) his seed disappear. Booty of the city Dumetu.	Palace of Sennacherib, king of Assyria: (This is) the audience gift that Karib-il, king of the land Saba, presented to me. Whoever places (it) in the service of a god (or another) person ... 
now the gods of the king have taken action: when the king, my lord appointed me, ... to move on.	The forts and the land of the king, my lord, are well.
To the 'farmer,' my lord: your servant Nabû-naṣir. May Nabû and Marduk bless the 'farmer', my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
Witness Ahu-lamur, horse trainer.	Witness Ubru-Issar, servant of ... 
... your chosen name ... 	... whom the king ... 
... Jupiter 	... we captured
(... ) should ask (... ) the elders of his land: “Is it true that Šamaš-rēša-uṣur, governor of the land of Sūḫu and the land of Mari, accomplished these tasks?”	son of Iqīša-Marduk, ditto (governor of the land of Sūḫu and the land of Mari), descendant of Adad-nādin-zēri, governor of the land of Sūḫu and the land of Mari, 
... in the city Zikkû —	... whom the king ... 
Three or four times, I and NN have ... the men who fled to ... 	The forts and the land of the king, my lord, are well.
Without the king ... 	Witness ... 
27 ... ;	Witness ... 
Witness Iqbi-ilu, ... 	Witness ... 
x, Babylon;	... Babylon
5 shekels, for ... 	when ... 
Of NN ... 	4 minas ... ;
knows ... " He said (this). Now then I am sending them to my brother.	Now then I am waiting for the king, my lord.
If a planet in ... 	4 minas ... ;
my people ... 	when ... 
x, Enuma Anu Enlil,	x one-column tablets, Enuma Anu Enlil,
Sennacherib, king of the world, king of Assyria, the one who fashioned image(s) of the deities Aššur, Anu, Sîn, Šamaš, Adad, Nergal, Ištar of Bīt-Kidmuri, Bēlet-ilī, and the (other) great gods, I: With white limestone, I laid the foundation(s) of the akītu-house, the residence of (the god) Aššur, my lord.	Sennacherib, king of Assyria, the one who fashioned image(s) of (the god) Aššur and the great gods, I: With baked bricks from a (ritually) pure kiln, I had the tikātu-house of the courtyard (where) the pedestals of the Igīgū gods (stand) in rows, made anew and I raised (it) as high as a mountain.
If ... (and) there is a hole in its ... ,             	... There is a niphu in the 'yoke.' ... 
2 minas 23 1/3 shekels, NN,	1 shekel, NN;
There are 5 Hatalleans,	There are ... unfavorable omens... 
... happened by the command of my great divinity; I shall not answer ... Why did you turn to me, ignoring Šamaš?"	in accordance with the command of your great divinity, Šamaš, great lord, and your favorable decisions,
Riba-Adad is the guarantor.	... to the bodyguard and to ... 
The palace and the inhabitants of Nineveh are well; may Bel  and Nabû also grant health to you!	A tablet of Marduk to the chief tailor, his lord. Good health to my lord! May Bel and Nabû be concerned with the health of my lord.
which to ... 	Witness ... 
To the king, my lord: your servant Ubru-Libbali. Good health to  the king, my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
... entered and	... we captured
... I set a eunuch of mine as provincial governor over them and considered them as people of Assyria ... 	A eunuch of mine, the provincial governor of the land Naʾiri, captured the cities Supurgillu, ... 
Let it be brought and thrown on the river Zab.	One litre for the pandugāni ceremony of the king; one litre  ... 
(As for) Nebuchadnezzar (II), king of Babylon, son of Nabopolassar, a king who came before me,  his heart prompted (him) to (re)build that temple and he sought out the original foundation(s)), but did not find (them) and (therefore) did not (re)build (Eulmaš).	I am the strong envoy of Nebuchadnezzar and Neriglissar, the kings who came before me. Their troops are entrusted to my hand. By their command(s), I am not negligent and I am the one who pleases them.
Witness Aqaba. Witness Ba... 	Witness ... 
... -Adad, chariot owner;	Witness NN, chariot driver.
Ashur-natkil.	Assurbanipal ... 
... without ... I utterly demolished ... of sixteen districts of the land Bīt-Ḫumria (Israel). I carried off (to Assyria) ... captives from ... , (5') 226 captives from ... , ... captives from ... , 400 (and ... ) captives from ... , 656 captives from the city Sa... , ... (altogether) 13,520 people, ... , (10') with their belongings. I ... the cities Arumâ (and) Marum, (... ) which are situated in rugged mountains.	... I enveloped him like a (dense) fog ... I utterly demolished ... of sixteen districts of the land Bīt-Ḫumria (Israel). I carried off (to Assyria) ... captives from the city ... barâ, 625 captives from the city ... a... , ... (5') ... captives from the city Ḫinatuna, 650 captives from the city Ku... , ... captives from the city Yaṭbite, 656 captives from the city Sa... , ... , with their belongings. I ... the cities Arumâ (and) Marum ... 
Whoever, in the future, at any time, whether Addî, or his sons (or) relatives, seeks and starts a lawsuit or litigation (against) Nabû-šarru-uṣur, shall return the money tenfold to its owner. He shall contest in his lawsuit and not succeed.	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
The city Tīl-Barsip, the fortified town, they (the gods) burned,	The victorious weapon is placed in the chariot of (the god) Aššur.
... containing ... 	4 minas ... ;
I surrounded, conquered, (and) plundered the city Ataun... 	who is revered and feared by the great gods ... 
... from its owner ... 	Witness ... 
The king, my lord, told me: "On the 28th you will go (and) ask!" Now, what is it that the king, my lord, commands?	To the king, my lord: your servant NN. Good health to the king, my lord!
... anniya	... we arrived
... the torch in ... 	... whom the king ... 
As to the king my lord's command: "Review these persons whom the Commander-in-Chief brought forth and extract men from their midst" —	As to what the king, my lord, wrote to me: "When are they going to cast the gate column-bases for the portico of the hilānu palaces?"
“Let me pray to the ... wild bull of heaven and earth,” an eršahunga-psalm to Ea.	The great gods of heaven and earth have sent health to the king, my lord ... 
Witness Banî, ... 	Witness ... 
I am sending the best report to the god Aššur, my lord, by so-and-so. One charioteer, two cavalrymen, (and) three scouts are dead.	... I am herewith sending to the king, my lord, Nabû-ereš, his two sons, his two daughters, his two maids ... (and) the people of Nabû-ereš.
They have now asked him, and he spoke as follows: "Why should we do ... the work ... " 	The Marqasians, servants of the king, my lord, should live here ... 
The (eastern) gate overlooking the river is the Gate of the Firmament, its entrance gate is the Entrance-of-the-Igigi Gate.	The assistant priest, the scribe of the House of God, the steward, the priest of Šerua, the chief gatekeeper, the chief chanter. 
the king should send ... 	... whom the king ... 
1/2 shekel of thyme;	20 talents, the house of the queen;
and brought to me ... 	... and shall send ... 
In this country, O king, my lord, they wield the plough with six oxen ... They cultivate the seed ... and make a good harvest ... 	As to what the king, my lord, said about Nabû-zeru-iddina: "When he ... before ... servants ... , he said to them ... 
The bird which they sent to the king, may my lord not eat it!	To the king, my lord: your servant NN. Good health to the king, my lord!
If a filament lies crosswise in the top of the 'station': the god will not listen to the prince's prayer. In warfare: the prince's army will not achieve its enterprise... 	If Jupiter becomes visible in the path of the Anu stars: there will be a flood, and the harvest of the land will prosper.
in all 100+x tablets,	... in all 10 persons,
... tax-exempt field	... we captured
To the king, my lord: your servant Ila'i-Bel. Good health to the king, my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
... we got scared	... we captured
whether there is ... 	... whom the king ... 
Witness Nabû-ahhe-eriba, scribe, keeper of the tablet.	Witness Marduk-zeru-ibni, scribe.
“The heaped-up lofty hand”: the Gate of Their Prudence.	The forts and the land of the king, my lord, are well.
4 bowls of silver, 3 ... , 5 shekels: the 28th day ... , from before the king ... :	30 shekels of silver, the fine for the maid which ... 
Near Nineveh, in the territory of the city Balāṭāya, by divine will, white limestone was discovered in abundance, and (then) I created bull colossi (and) sphinxes of alabaster, and slabs of alabaster, as well as magnificent slabs of breccia. I cut (them) free on both sides from their mountains, and (then), for the construction of my palace, I had (them) dragged into Nineveh.	Near Nineveh, in the territory of the city Balāṭāya, by divine will, white limestone was discovered in abundance, and (then) I created bull colossi and (other) statues with limbs of alabaster that are sculpted from a single stone, (whose) proportions are perfect, (and) who stand high on their own pedestals; sphinxes of alabaster whose features are exquisite (and) whose bodies shine like a brilliant day; (and) magnificent slabs of breccia. I cut (them) free on both sides from their mountains, and (then), for the construction of my palace, I had (them) dragged into Nineveh.
When I was in the town Ur... ,	... whom the king ... 
Šamaš will ... the king the area ... 	... whom the king ... 
You perform a sheep offering before the Igigi gods and before the bed, make a flour/incense-offering, pour oil, honey, beer and wine, and sing, “... ”	You offer fatty tissue and roast meat before Belet-ili, make a flour/incense-offering, pour oil, honey, beer and wine, ... oil, and sing, “O Belet-ili, you sit in the assembly of the Great Gods.”
... his lord	... we captured
1 piece of baltu-stone for 1.	a cup of hammurtu-beer.
have not ... ;	4 minas ... ;
The gods Aššur, Sîn, Šamaš, Bēl, Nabû, Ištar of Nineveh, (and) Ištar of Arbela saw the deeds of the usurpers which had been done wrongly against the will of the gods and they did not support them. They changed their strength to weakness and forced them to bow down to me. (i 50) The people of Assyria, who swore by oil and water to the treaty, an oath bound by the great gods, to protect my (right to exercise) kingship, did not come to their aid.	After the gods Aššur, Šamaš, Bēl, Nabû, Ištar of Nineveh, and Ištar of Arbela made me stand victoriously over my enemies and I attained everything I wanted, with the booty of the vast enemies which my hands had captured through the help of the great gods, my lords, I had the shrines of cult centers built in Assyria and Akkad; I decorated (them) with silver (and) gold and made (them) shine like daylight.
May a later prince restore its ruined (portions) (and) return my inscription to its place. (Then) the gods Aššur (and) Adad, the great gods, will listen to his prayers. May he return my clay cone to its place.	May a later prince restore it (and) return my monumental inscriptions and clay inscriptions to their places. (Then) the god Aššur will listen to his prayers.
The king, my lord, should ask Balassu: he is familiar with the work.	To the king, my lord: your servant NN. Good health to the king, my lord!
In the future may a later prince, when that site becomes old and dilapidated, repair it. May he restore my monumental inscription (and) my inscribed name to its place. (Then) the god Aššur will listen to his prayers.	The gods Aššur and Adad will listen to the prayers of a later prince when that wall becomes dilapidated and he rebuilds (it). May (the same prince) restore my clay cone to its place.
... shekels, their silver.	... we arrived
Concerning the wall of the Nergal temple of Cutha about which I wrote to the king, my lord: 	To the king, my lord: your servant NN. Good health to the king, my lord!
Witness Remanni-ilu.	Witness ... 
A letter from Aššur-reṣuwa came to me in which it was written that a messenger of the (king) of Ukku has gone to Urarṭu and that he has sent a letter about it to the Palace.	As to the news of Zaba-iqiša, a messenger of the Hubuškian has come and told the sartinnu: "He has been made to depart, and he is on his way to Rusa."
total, 5 horse trainers of the king's chariots.	the names of the kings and ... officials 
In the course of my campaign, I marched against Dunānu, the son of Bēl-iqīša, to the land Gambulu. I conquered the city Ša-pī-Bēl, his fortified city, ... I brought Dunānu (and) his brothers out of that city alive... 	On my tenth campaign, I marched to the land Elam... In the course of my campaign, I conquered the city Bīt-Imbî, (a city upon which the land Elam relied)... it ... 
who ... have lifted ... from my presence	... into the presence ... 
A tablet of NN to my brother NN. I am well; good health to my brother!	To the king, my lord: your servant NN. Good health to the king, my lord!
When the king is ready to set out, let them write to me and let me come  and see the king, my lord, (and) let me hear the answer of the king, my lord.	To the king, my lord: your servant Mar-Issar. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord! May the great gods bestow lasting days, well-being and joy upon the king, my lord!
Qurdi-Mullissu.	Hadi-lipushu,
... on	when ... 
... Also, did he not speak with the king ... , saying: "He is of ... ?"	As to the people about whom the king, my lord, wrote me ... 
Will Esarhaddon, king of Assyria, return alive and set foot on Assyrian soil? Does your great divinity know it?	will they instigate insurrection and rebellion against Esarhaddon, king of Assyria, (or) act with evil intent against him? Does your great divinity know it?
Naṣib-ilu and NN heard this and came ... 	... and shall send ... 
In the course of my campaign, I surrounded, conquered, (and) plundered the cities Amatu, Ḫauae, Supapu, Nuqabu, Bīt-Sannabi, Qudayyin, Kidrina, Dūr-Ladini, Bitāti, (and) Bānītu, the land Guzummānu, the cities Dūr-Yanṣuri, Dūr-Abī-Yataʾ, Dūr-Rudumme, Bīt-Raḫê, Ḫapiša, Sadian, Ḫurudu, Ṣaḫrina, Iltuk, Allallu, Marad, Yaqimuna, Kupruna, Bīt-Kudurri, Sūqa-Marusi, altogether 33 fortified cities, fortresses of the land of the Bīt-Dakkūri, together with 250 small(er) settlements in their environs;	the cities Dūr-Appê, Dūr-Tanê, Dūr-Samaʾ, Sarrabātu, Ṣalaḫatu, Dūr-Abdāya, Sappi-ḫimari, Ṣibtu-ša-Makkamê, altogether 8 fortified walled cities of the land of the Bīt-Saʾalli, together with 120 small(er) settlements in their environs;
... bowls ... ,	4 minas ... ;
... "Otherwise you ... 	... whom the king ... 
A built house with its beams and doors, ... 	mention of whom is pleasant ... 
x teams of horses:	1 ditto of grapes;
When you are to perform a sheep offering to Nusku, you go to the house of Sîn (and) let sunshine enter it through its doorway. 	“Should they perform the sheep offerings of Mullissu in the Akitu on the censer of Aššur and invoke the name of Mullissu?” An extispicy was made: favourable.
I erected my statue by the sea of the land Nairi (and) made sacrifices to the gods.	If Jupiter becomes visible in the path of the Anu stars: there will be a flood, and the harvest of the land will prosper.
Witness Adad-milki-... 	Witness ... 
Witness Puhrati-Issar.	Witness ... 
An estate of 5 decares ... adjoining ... 	An estate of x hectares of field according to the seah of 10 'litres' ... 
eat bread ... 	Witness ... 
x minas of red wool, 25 minas of black wool ... ;	in the lap of Ištar, gold ... 
An estate of 15 hectares of land adjoining the road which leads (from) the village of Dannayato the village of Ildiši and adjoining ... ;	An estate of x hectares of field according to the seah of 10 'litres' ... 
... to the land A... 	... whom the king ... 
The king should decide between ... and eight minas of ... 	The king will be shut up in his palace; ... and good for the king my lord.
... the land of Halzi	... whom the king ... 
returned.	... we captured
The priest of Aššur ... as far as the house of Dagan.	Tribute of Adinu, the man of Bīt-Dakkuri, the Chaldean.
to Marubištu ... 	Why in ... 
You are subjects of the king, my lord; you are no more subjects of the Urarṭian!"	To the king, my lord: your servant NN. Good health to the king, my lord!
... the ship ... 	Witness ... 
... for the second time ... 	... whom the king ... 
... said ... 	4 minas ... ;
who to the limit(s) of heaven and netherworld ... 	in the lap of Ištar, gold ... 
Witness Abnanu.	Witness ... 
30 talents, Que;	20 talents, the house of the queen;
Seal of Nabû-šallim-ahhe.	Seal of Adad-naṣir,
Hur-tibû,	Nashur-bel,
... eats me up ... 	4 minas ... ;
Why ... the horses ... ?	Witness ... 
... he wrote ... 	... we captured
... Now from ... 	... whom the king ... 
Witness Mannu-ki-Aššur, ditto of the prince.	Witness Marduk-zeru-ibni, scribe.
If his witnesses testify that he is a debtor, Inurta-ahu-uṣur ... 	Witness NN. Witness Inurta-abi-uṣur.
Instead of exempted men ... , the prefect should send ... 	Instead of his seal he impressed his fingernail.
2 minas ditto of Abdi-Samsi, Tyrian (... ).	10 minas of Šamaš-... 
... Nabû'aya.	... Arbela
x hectares of orchard, 7 persons, Šamaš-... , NN, ... -ahu-iqiša; a total of 10 persons ... 	... a-ṭab, his servant, ... -ila'i, his wife, ... atu, his daughter, a total of 3 persons —
On its side ... 	Witness ... 
Nabû-nadin-apli;	Nabû-šakin-šulmi, diviner.
14 mares.	4 minas ... ;
Eri... —	Witness ... 
total 2: town of Qablit (in) the land of Izalla	An estate of ... adjoining the road to Calah.
3 ... -garments ... ;	4 minas ... ;
Qalqalayu, his Arab associate.	... his associates.
very much; a golden star ornament ... 	they should intercalate ... 
witness Šašî, ditto Ṭab-pan-... ,	Witness Ubru-Issar, servant of ... 
... city gate	... we captured
I ask you, Šamaš, great lord, whether Assurbanipal, king of Assyria,	The word of Ištar of Arbela to Esarhaddon, king of Assyria:
the Dais of Destinies in the palace ... 	Disregard that an unclean person has performed extispicy in this place... 
Stand by and ... 	... and shall send ... 
3 textiles ... , multicoloured, 1 1/2 mina;	... 1 1/2 mina;
... Ariye	... we captured
Sargon (II), king of the world, king of Assyria ... a city ... residence ... the deity ... 	I, Esarhaddon, great king, mighty king, king of the world, king of Assyria, built anew an annex onto the House of Succession in the midst of the city of Nineveh.
x+20 hectares of land in the town ... 	they should intercalate ... 
of the city Kullania	of the campaign ... 
Witness Tardiya. Witness Ṣalmu. Witness Šemanni-... 	Witness Ahû'a-eriba. Witness Šamaš-nammir, merchant.
We watched on the 29th day; the clouds were dense, we did not see the moon. We watched on the 30th day; we saw the moon, (but) it was (already) very high. The (weather) of the 29th day has to do with it.	They watched the moon; the clouds were dense, and the moon was not seen. The 30th day became 'long.'
in all 3 farmers; ... 	Witness ... 
... to drink blood ... 	... whom the king ... 
... them ... and	Witness ... 
Two villages from their outskirts, the avengers who killed the village managers, did not come down. Their brothers told Nabû-taqqinanni: "We shall bring them down and take them before the governor; ... them." As soon as they have come down, I shall send them to the king, my lord.	These troops which came to Malak — it is not yet clear whether they will proceed to Der or whether they will turn back. As soon as there is clear news as to where they are bound to, I shall write to the king, my lord.
I have blocked ... 	... and shall send ... 
saying: "... , the ‘mule house man' ... 	... whom the king ... 
The mother of the king, my lord, knows that they are reliable words. Also one of the Chaldeans has written (to me) accordingly.	To the king, my lord: your servant Balasî. Good health to the king, my lord!
The palace of Adad-nārārī, overseer, son of Arik-dīn-ili (who was) also overseer: (brick) belonging to the facing (of the quay wall) which fronts onto the River (Tigris).	The palace of Adad-nārārī, king of the universe, son of Arik dīn-ili, king of Assyria, son of Enlil-nārārī (who was) also king of Assyria: (brick) belonging to the courtyard of the goddess Bēlat-ekallim.
Concerning the observation of the moon and the sun, here is the relevant interpretation:	Concerning the application of the ṣillibānu-treatment about which the king, my lord, said: "It is very hot" — 
... to Silim-Aššur	... — ... -ili
the criminals of Arrapha (and) of the domain of the palace herald have banded together and are making raids there. I have now moved troops up to keep watch; if they catch them, they will bring them to the king, my lord.	I have not come to the presence of the king, but I shall not quit the king's work, I have not ... ed the ... which they placed before the king, my lord.
south and north.	the Sealand ... 
total — Ištar of Bit-Eqi.	total — the god ... 
he went ... Now ... of	when ... 
the 23rd day in front of Gula ... ;	Month ... , 23rd day, eponym year of Zazaya.
Babylon for/to ... ,	my lord ... 
To the palace scribe, my lord: your servant Nahiši, the ... 	To the king, my lord: your servant NN. Good health to the king, my lord!
... I said: "... to	... whom the king ... 
— The 15th day (means) the Westland and ... 	The day (means) the sun. 
Maybe a prefect who ... has done an evil thing ... good ... ;	Seal of ... , owner of the ... being sold.
An estate of 5 decares of field adjoining Ṭab-Bel, adjoining Susî.	An estate of x hectares of field according to the seah of 10 'litres' ... 
Witness Hara-Dadi.	Witness ... 
He ascended the dais and set the table before Lord Tiara. The king ... from ... He filled a golden pithos on ... The priest of Aššur placed a napkin on the king’s shoulder. He offered hand-water, strewed salt, and performed the feeding ritual.	He ascends (the dais) and sets the table. He places upon it loaves of bread, plates with spicy grains, budê-confection, and all sorts of fruit. They fill up the cauldrons, the pithoi and the pots, and place a napkin on the king’s shoulders. The king offers hand-water to Aššur, strews salt, and says thus: “Aššur and Mullissu, Adad (and) Mašmaš, accept life!” He strews salt on the tables to the right and left.
An estate of 13 hectares of land in the city of Allî of the domain of the commander-in-chief, adjoining the woman Aššur-... , Minu-ahṭi-ana-ili, and the fields of ... -ilu and Dagan-šimti, manager of the garden, field, road and the plows —	An estate of 3 hectares of land on the edge of an irrigation outlet, adjoining the road to Calah, (the field of) Zabinu, and the side road to the village of the Aramean;
Bronchitis;	Banini;
